,PAROLES,Dimension Dialogique,Domaine,Langue,Unnamed: 0.1,Unnamed: 0
29,"oui, je comprends comment vous avez votre logement personnel avec le gars dans lequel il s'intègre ou non, mais il peut quand même le partager",,7,af,154.0,424.0
30,"oui, je comprends comment tu l'as, tu as ton logement personnel après le gars, ça te va ou pas mais ensuite il peut partager quand même",,7,sq,155.0,425.0
31,"Oui, je comprends que vous ayez votre résidence privée après un gars avec qui il est d'accord mais il peut quand même partager.",,7,am,156.0,426.0
32,"Oui, je comprends comment vous obtenez votre logement personnel après que le gars lui convient ou non, mais il peut quand même partager",,7,ar,157.0,427.0
33,"Oui, je comprends que vous ayez votre propre demeure privée avec un homme avec qui elle est compatible ou non, mais elle peut ensuite la partager dans les deux sens.",,7,hy,158.0,428.0
34,"oui, je comprends comment tu vas, tu as ton propre logement après le gars avec qui elle correspond mais il peut quand même le partager.",,7,az,159.0,429.0
35,"oui, je comprends que vous ayez votre propre demeure privée après un petit ami, que cela lui convienne ou non, mais il peut ensuite la partager de toute façon",,7,be,161.0,431.0
36,"oui, je comprends comment vous avez votre logement personnel après le gars, qu'il convient ou non, mais il peut ensuite partager dans tous les cas",,7,ceb,166.0,436.0
37,"Oui, je comprends que vous ayez votre propre logement après la personne qui vous convient ou non, mais elle peut quand même partager.",,7,ny,167.0,437.0
38,"oui, je comprends comment vous avez votre logement personnel selon le type qui vous convient ou non, mais je peux alors partager dans tous les cas",,7,co,169.0,440.0
39,mais si par contre si vous avez par exemple un appartement pour quatre personnes et un studio par exemple bien alors finalement,,10,af,256.0,530.0
40,mais si par contre si par exemple vous avez genre un appartement pour quatre personnes et un studio par exemple bon alors enfin,,10,sq,257.0,531.0
41,"Mais d'un autre côté, si vous avez par exemple un appartement pour quatre personnes et par exemple un studio, au final",,10,am,258.0,532.0
42,"Mais d'un autre côté, si vous avez par exemple un appartement pour quatre personnes et un studio par exemple, ça va finalement",,10,ar,259.0,533.0
43,"mais si par contre, si vous avez par exemple un appartement pour quatre personnes et par exemple un studio, alors enfin",,10,hy,260.0,534.0
44,"mais d'un autre côté, si vous avez par exemple un appartement pour quatre personnes et par exemple un studio, enfin",,10,az,261.0,535.0
45,"mais si par contre, si vous avez par exemple un appartement pour quatre personnes et un studio par exemple, eh bien, enfin",,10,be,263.0,537.0
46,mais si par contre si vous avez par exemple un appartement pour quatre personnes et un studio par exemple bien alors au final,,10,ceb,267.0,542.0
47,mais si par contre si par exemple tu as comme une maison quatre personnes et un studio par exemple bon alors enfin,,10,ny,268.0,543.0
48,la perceuse tu veux pas l'emprunter mais ce que je veux dire c'est qu'en fait culturellement si tout change et tu te dis bien en fait ma perceuse c'est un peu la perceuse de tout le monde j'ai envie de dire tu n'es pas obligé de vérifier l'atelier avec les gens ce que tu vois,,7,af,340.0,636.0
49,une formation que tu veux pas emprunter mais ce que je veux dire c'est qu'en fait culturellement si tout change et que tu te dis ben en fait ma formation c'est un peu la formation de tout le monde je veux dire tu n'es pas obligé d'aller à l'atelier avec les gens que tu veux voir,,7,sq,341.0,637.0
50,"Vous ne voulez pas emprunter la perceuse, mais ce que je veux dire, c'est que si culturellement tout change et que vous vous dites bien, en fait ma perceuse est comme celle de tout le monde, vous n'êtes pas obligé d'y aller. L'atelier avec les gens que vous voyez",,7,am,342.0,638.0
51,"La formation tu veux pas prêter mais ce que je veux dire c'est qu'en fait culturellement, si tout change et que tu te dis ok, en fait mon exercice c'est un peu comme l'exercice de tout le monde j'ai envie de dire qu'il ne faut pas y aller l'atelier avec les gens que vous voyez",,7,ar,343.0,639.0
52,"un exercice que tu ne veux pas donner, mais ce que je veux dire c'est qu'en fait culturellement, si les choses ont changé et que tu te dis que c'est bien, en fait mon exercice est un peu comme l'exercice de tout le monde, je veux dire, tu ne le fais pas je dois y aller. atelier avec les gens que vous voyez",,7,hy,344.0,640.0
53,"vous ne voulez pas prêter la perceuse, mais ce que je veux dire, c'est qu'en fait, si les choses ont changé culturellement et si vous vous dites bon, en fait, ma perceuse est un peu comme celle de tout le monde. séminaire avec des personnes que vous voyez",,7,az,345.0,641.0
54,"tu ne veux pas emprunter un exercice mais je veux dire qu'est-ce qui est vraiment culturel si les choses changent et que tu te dis eh bien en fait mon exercice est un peu comme l'exercice de tout le monde je veux dire tu n'es pas obligé d'aller à un séminaire avec des gens, ce que tu voir",,7,be,347.0,643.0
55,la perceuse tu veux pas la prêter mais ce que je veux dire c'est qu'en fait la culture quand tout a changé et tu te dis ben en fait ma perceuse c'est comme la perceuse de tout le monde j'ai envie de dire tu n'es pas obligé d'aller à l'atelier du les gens que tu vois,,7,ceb,352.0,648.0
56,forage tu ne veux pas louer mais ce que je veux dire c'est qu'en fait la culture si tout a été changé et que tu te dis bien en fait mon forage c'est un peu comme forer tout le monde j'ai envie de dire tu ne devrais pas aller au rendez-vous avec les gens que tu vois,,7,ny,353.0,649.0
57,la perceuse tu veux pas faire vite mais ce que je veux dire c'est qu'en fait culturellement si tout a changé et tu dis bien en fait ma perceuse c'est un peu la perceuse de tout le monde je veux dire on veut pas aller à l'atelier avec les gens tu vois,,7,co,355.0,652.0
58,sur ce principe se démerder finit par avoir un rapport différent avec l'accès à faire le truc,,9,af,443.0,742.0
59,dans ce principe pour enfin se débarrasser d'une autre relation avec l'accès à faire cette chose,,9,sq,444.0,743.0
60,"Selon ce principe, descendre de l'âne a une relation différente avec le fait de finalement obtenir la chose.",,9,am,445.0,744.0
61,"Sur ce principe de se démerder, tu as enfin un rapport différent à l'accessibilité de faire la chose",,9,ar,446.0,745.0
62,"sur ce principe, sortir des sentiers battus, avoir enfin un rapport différent à la disponibilité pour faire le travail",,9,hy,447.0,746.0
63,"Ce principe de se démerder enfin, qui a un rapport différent avec la capacité à faire les choses",,9,az,448.0,747.0
64,sur ce principe défonce-toi enfin avoir une autre relation avec accès pour faire le boulot,,9,be,450.0,749.0
65,dans ce principe de se sortir du cul au final il y a un rapport différent avec l'accès à faire le truc,,9,ceb,455.0,754.0
66,sur ce point bas de la fin d'avoir une relation différente avec l'opportunité de faire la chose,,9,ny,456.0,755.0
67,sur ce principe de se démerder enfin avoir un rapport différent avec l'accès pour faire la chose,,9,co,458.0,758.0
68,"non, parce qu'on paie moins si on consomme moins",,10,af,544.0,848.0
69,"Non, car si vous consommez moins, vous payez moins",,10,am,545.0,850.0
70,"Non, car on paie moins si on consomme moins",,10,ar,546.0,851.0
71,"non, parce que si tu consommes moins, tu paies moins",,10,az,547.0,853.0
72,"non, parce qu'on paie moins quand on consomme moins",,10,be,548.0,855.0
73,"non, parce que tu paies moins si tu manges moins",,10,ny,551.0,861.0
74,oui c'est ça mais après si tu as quelque chose je ne sais pas euh du sel dans le verre de je ne sais pas on va pas tout acheter en groupe,,17,af,571.0,954.0
75,oui c'est tout mais si vous avez quelque chose vous ne connaissez pas le sel du verre et vous ne savez pas ce que nous n'achèterons pas tout cela en groupe,,17,sq,572.0,955.0
76,"Oui, mais si vous avez quelque chose que je ne connais pas, euh, du sel au verre, je ne sais pas, nous n'achetons pas tout cela en groupe.",,17,am,573.0,956.0
77,Ouais c'est ça mais si tu as quelque chose que je ne sais pas euh du sel dans une tasse je ne sais pas ce qu'on n'achètera pas tout ça en sets,,17,ar,574.0,957.0
78,"oui, mais si tu as quelque chose, je ne connais pas, du sel, je ne sais pas quoi, nous n'allons pas tout acheter en grappes",,17,hy,575.0,958.0
79,"oui, mais s'il y a quelque chose que je ne sais pas, du sel dans le verre, je ne sais pas quoi, nous n'achèterons pas tout ça en groupe.",,17,az,576.0,959.0
80,"ouais, c'est ça, mais après quand tu as un truc comme, je ne sais pas, du sel dans un verre, je ne sais pas quoi, on ne va pas tout acheter en groupe",,17,be,578.0,961.0
81,oui c'est vrai mais si tu as je ne sais pas euh du sel dans le verre je ne sais pas ce qu'on n'achète pas dans tout le groupe.,,17,ceb,583.0,966.0
82,oui c'est ça mais alors si tu as ce que je ne sais pas euh le sel du verre je ne sais pas quoi on n'achète pas tout ça en groupe.,,17,ny,584.0,967.0
83,oui c'est comme ça mais après si tu as quelque chose je ne sais pas euh du sel dans le verre de je ne sais quoi on est pas obligé d'acheter tout ça en groupe,,17,co,586.0,970.0
84,et puis le jour est complètement mort,,18,af,674.0,1060.0
85,Puis le jour meurt complètement,,18,ar,675.0,1063.0
86,et puis le jour meurt complètement,,18,az,676.0,1065.0
87,et puis le soleil est complètement mort,,18,ceb,677.0,1072.0
88,et puis le jour est définitivement mort,,18,ny,678.0,1073.0
89,"pour que tout le monde soit sur le même pied - il n'y a pas de hiérarchie par distance, on ne voit rien, on essaie tous de mettre une distance égale entre toutes les maisons et les points publics, donc des espaces collaboratifs",,10,af,703.0,1166.0
90,"pour que tout le monde soit sur le même pied - il n'y a pas de hiérarchie à distance, on ne voit rien, nous essayons tous d'établir une équidistance entre tous les logements et points publics, d'où les espaces collaboratifs",,10,sq,704.0,1167.0
91,"Pour que tout le monde soit sur le même pied - il n'y a pas de hiérarchie lointaine, ils ne regardent rien, nous essayons tous de créer l'égalité entre toutes les maisons et les espaces publics, d'où les espaces collaboratifs.",,10,am,705.0,1168.0
92,"Pour que tout le monde soit sur un pied d'égalité - il n'y a pas de hiérarchie par distance, rien à voir, nous essayons tous de mettre une distance égale entre tous les logements et points publics, donc des espaces collaboratifs",,10,ar,706.0,1169.0
93,"pour que tout le monde soit au même niveau. il n'y a pas de hiérarchie dans la distance, rien ne se voit, nous essayons tous de mettre une distance égale entre toutes les maisons et points publics, donc entre les espaces collaboratifs.",,10,hy,707.0,1170.0
94,"pour que tout le monde soit au même niveau - pas de hiérarchie par distance, rien de visible, nous essayons tous de mettre une distance égale entre toutes les maisons et les points publics, donc des espaces collaboratifs",,10,az,708.0,1171.0
95,"pour que tout le monde soit sur un pied d'égalité - il n'y a pas de hiérarchie de distance, on ne peut rien voir, nous essayons tous de mettre une distance égale entre toutes les maisons et tous les lieux publics, nous créons donc des espaces de collaboration",,10,be,710.0,1173.0
96,pour que tout le monde soit sur le même pied - il n'y a pas de hiérarchie de distance il n'y a rien qui se voit que nous essayons tous de mettre une équidistance entre tous les logements et les points publics donc des espaces collaboratifs,,10,ceb,715.0,1178.0
97,pour que tout le monde soit au même siège - il n'y a pas de leadership à distance rien vous voyez nous essayons tous de mettre un équilibre entre tous les bâtiments et espaces publics donc un espace partagé.,,10,ny,716.0,1179.0
98,pour que tout le monde soit au même niveau - il n'y a pas de hiérarchie par distance il n'y a rien à voir nous essayons tous de mettre une équidistance entre toutes les maisons et points publics donc des espaces collaboratifs,,10,co,718.0,1182.0
99,"mais si c'est le tableau, vous êtes plus dans une méthode de résolution, ou plutôt dans un outil de résolution que dans une méthode globale.",,2,af,806.0,1272.0
100,"mais si tel est le tableau, vous êtes plus dans une méthode de résolution, ou plutôt un outil de solution que dans une méthode globale.",,2,sq,807.0,1273.0
101,"Mais s’il s’agit du tableau, vous êtes dans la méthode solution, ou plutôt, non pas dans la méthode globale, mais dans l’outil solution.",,2,am,808.0,1274.0
102,"Mais s’il s’agit du tableau, alors vous utilisez la méthode de résolution, ou plutôt vous utilisez le solveur au lieu de la méthode générale.",,2,ar,809.0,1275.0
103,"mais si tel est le tableau, vous êtes plus dans une méthode solveur, ou plutôt un outil solveur, que dans une méthode globale.",,2,hy,810.0,1276.0
104,"mais si c'est une table, vous êtes dans une méthode solveur, ou plutôt un solveur, plutôt que dans une méthode globale.",,2,az,811.0,1277.0
105,"mais s'il s'agit d'un tableau, vous utilisez un solveur, ou plutôt un solveur, plutôt qu'une méthode globale.",,2,be,813.0,1279.0
106,"mais si c'est le tableau, vous êtes plus une méthode de résolution, ou plus un outil de résolution qu'une méthode globale.",,2,ceb,818.0,1284.0
107,"mais s'il dispose d'un tableau, vous êtes dans une solution, ou plutôt dans un outil de solution par opposition à une solution globale.",,2,ny,819.0,1285.0
108,auquel cas tu t'es vite retrouvé dans l'opposition tout le temps,,9,af,897.0,1378.0
109,sur quoi tu t'es vite retrouvé dans l'opposition tout le temps,,9,sq,898.0,1379.0
110,"Dans ce cas, on se retrouve toujours vite dans l’opposition",,9,am,899.0,1380.0
111,Dans ce cas on se retrouve vite tout le temps dans l’opposition,,9,ar,900.0,1381.0
112,auquel cas tu t'es vite retrouvé dans l'opposition,,9,hy,901.0,1382.0
113,dans ce cas on se retrouve vite tout le temps dans l'opposition,,9,be,903.0,1385.0
114,auquel cas on se retrouve facilement tout le temps dans l'opposition,,9,ceb,906.0,1390.0
115,c'est comme ça que tu t'es retrouvé en opposition constante,,9,ny,907.0,1391.0
116,et le but c'est pas de dire oh merde il consomme mon voisin consomme plus que moi donc je peux consommer encore plus ce qu'on est plus dedans ça détruit vraiment l'individualisme,,9,af,969.0,1484.0
117,et le but c'est pas de dire ah merde il consomme mon voisin consomme plus que moi donc je peux consommer encore plus ce qu'on est plus dedans ça détruit vraiment l'individualisme,,9,sq,970.0,1485.0
118,"Et le but n’est pas de dire, oh merde, il mange mon voisin, il mange plus que moi pour que je puisse manger plus de ce que nous avons, ça détruit en fait l’individualité.",,9,am,971.0,1486.0
119,"Et le but n'est pas de dire oh, il consomme, mon voisin consomme plus que moi donc je peux consommer plus, ce qui nous intéresse le plus, c'est vraiment de détruire l'individualité.",,9,ar,972.0,1487.0
120,"et le but n'est pas de dire, oh, il consomme mon prochain plus que moi pour que je puisse consommer davantage de ce que nous sommes, cela détruit vraiment l'individualité.",,9,hy,973.0,1488.0
121,"et le but ne veut pas dire qu'il consomme mon prochain, qu'il consomme plus que moi, donc je peux consommer plus.",,9,az,974.0,1489.0
122,et le but c'est pas de dire oh merde il consomme mon voisin consomme plus que moi donc je peux consommer encore plus on est plus dedans ça détruit vraiment l'individualisme,,9,be,976.0,1491.0
123,et le but c'est pas de dire ah merde mon voisin consomme plus que moi donc je peux consommer plus de ce qu'on a plus parce que ça détruit vraiment l'individualisme.,,9,ceb,980.0,1496.0
124,"et le but n'est pas de dire que ah merde, mon voisin mange plus que moi pour que je puisse manger plus de ce qu'on a et détruire l'individu.",,9,ny,981.0,1497.0
125,et le but c'est pas de dire ah merde il consomme mon voisin consomme plus que moi pour pouvoir consommer encore plus ce qu'on est plus là ça détruit vraiment l'individualisme,,9,co,983.0,1500.0
126,ah oui c'est faisable et d'un point de vue énergétique je pense que c'est rentable après ça dépend de la taille de ton panneau et du système que tu utilises pour le faire tourner et de son poids et tu as plein de facteurs qu'on ne va pas aborder maintenant tu vois étudier mais en soi je pense que c'est une idée quoi,,1,af,1067.0,1590.0
127,"ah oui c'est faisable et d'un point de vue énergétique je pense que c'est rentable alors ça dépend de la taille de ton panneau et du système que tu utilises pour le faire tourner et du poids de celui-ci et tu as plein de facteurs qu'on ne fera pas maintenant regarde l'étude, mais en soi je pense que c'est une idée, quoi ?",,1,sq,1068.0,1591.0
128,"Oui c'est faisable et je pense que c'est rentable d'un point de vue puissance, cela dépend de la taille de votre panneau et du système que vous utilisez pour le changer et du poids, et vous avez plein de raisons pour lesquelles on ne le fait pas . Maintenant, vous voyez apprendre, mais en soi, je me demande quelle est l'idée.",,1,am,1069.0,1592.0
129,"Ah, ouais, c'est faisable, et d'un point de vue énergétique, je pense que c'est rentable alors, et cela dépend de la taille de votre carte et du système que vous utilisez pour la convertir et de son poids, et vous avez un beaucoup de facteurs que nous n'allons pas voir maintenant et que vous examinez, mais en soi, je pense que c'est une idée de ce que",,1,ar,1070.0,1593.0
130,oui oui c'est possible et d'un point de vue énergétique je pense que c'est bénéfique après ça dépend de la taille de ton panneau et du système que tu utilises pour le faire tourner et du poids de celui-ci et tu as plein de facteurs qu'on ne prend pas en compte ça ne va pas le faire. maintenant tu vois apprendre mais en soi je pense que c'est une idée quoi,,1,hy,1071.0,1594.0
131,"oh ouais, c'est possible et du point de vue énergétique, je pense que cela dépend de la taille de votre panneau et du système que vous utilisez pour le convertir, de son poids et de nombreux facteurs que nous ne ferons pas. Maintenant vous regardez la lecture, mais en soi je me demande quelle est l'idée",,1,az,1072.0,1595.0
132,"ah ouais c'est faisable et d'un point de vue énergétique je pense que c'est bénéfique après ça, ça dépend de la taille de ton panneau et du système que tu utilises pour le faire tourner et du poids de celui-ci et tu as beaucoup de facteurs que nous ne sommes pas tu vas faire maintenant tu vois pour étudier, mais en soi je pense que c'est l'idée que",,1,be,1074.0,1597.0
133,ah oui c'est possible et d'un point de vue énergétique c'est utile après tout cela dépend de la taille de ton panneau et du système que tu utilises pour le convertir et de son poids et tu en as beaucoup car on ne le fait pas maintenant tu vois étude mais moi je pense que c'est une idée de quoi,,1,ceb,1079.0,1602.0
134,ah oui c'est possible et vu la puissance je pense que c'est bénéfique après tout ça dépend de la taille de ton équipe et du système que tu utilises pour convertir et du poids et tu as plein de choses qu'on ne peut pas faire. maintenant tu vois que tu vas apprendre mais en soi je pense quelle est l'idée,,1,ny,1080.0,1603.0
135,ah ouais c'est faisable et d'un point de vue énergétique je pense que c'est rentable après ça dépend de la taille de ton panneau et du système que tu utilises pour rentrer et de son poids et tu as plein de facteurs qu'on ne va pas faire. maintenant je vois étudier mais en soi je pense que c'est une idée qui,,1,co,1082.0,1606.0
136,donc si tout le monde possède une telle machine,,1,af,1170.0,1696.0
137,Donc si tout le monde avait une telle voiture,,1,sq,1171.0,1697.0
138,Donc si tout le monde avait une machine comme ça,,1,ar,1172.0,1699.0
139,si tout le monde avait une telle voiture,,1,az,1173.0,1701.0
140,si tu as une conscience collective de tes actes et tout ça,,14,af,1206.0,1802.0
141,si vous avez une conscience collective de votre action et de tout,,14,sq,1207.0,1803.0
142,Si vous avez une conscience collective de vos actions et tout ça,,14,am,1208.0,1804.0
143,Si vous avez une conscience massive de votre travail et tout ça,,14,ar,1209.0,1805.0
144,si tu as la conscience collective de tes actions et tout ça,,14,hy,1210.0,1806.0
145,si tu as une conscience collective de ta propre action et tout ça,,14,az,1211.0,1807.0
146,si vous avez beaucoup de connaissances sur vos actions et tout ça,,14,ny,1214.0,1815.0
147,et oui les éoliennes j'ai mis de jolies éoliennes car j'ai vu qu'ils développent des éoliennes en forme d'arbres et effectivement le vent finit par faire de fausses feuilles et le vent bouge les feuilles et donc il crée de l'énergie,,5,af,1253.0,1908.0
148,"et oui les éoliennes, j'ai choisi de belles éoliennes car j'ai vu qu'ils développent des éoliennes en forme d'arbres et en fait le vent finit par faire des fausses feuilles et le vent bouge les feuilles et donc crée de l'énergie",,5,sq,1254.0,1909.0
149,Et oui j'ai mis des éoliennes mais de belles éoliennes car j'ai vu que les éoliennes fonctionnaient en forme d'arbres et effectivement le vent finit par faire de fausses feuilles et le vent déplace les feuilles et crée de l'énergie.,,5,am,1255.0,1910.0
150,Et oui les éoliennes j'ai installé de belles éoliennes car j'ai vu qu'ils développent des éoliennes en forme d'arbres et en fait le vent finit par faire des fausses feuilles et le vent bouge les feuilles et génère ainsi de l'énergie,,5,ar,1256.0,1911.0
151,et oui des éoliennes j'ai mis mais de belles éoliennes car j'ai vu qu'elles développent des éoliennes en forme d'arbres et effectivement le vent finit par créer de fausses feuilles et le vent bouge les feuilles donc il crée de l'énergie.,,5,hy,1257.0,1912.0
152,et oui j'ai mis des éoliennes mais de belles éoliennes car j'ai vu qu'elles font des éoliennes en forme d'arbres et effectivement le vent finit par faire de fausses feuilles et le vent bouge les feuilles et donc crée de l'énergie,,5,az,1258.0,1913.0
153,et oui j'ai mis des éoliennes mais de belles éoliennes car j'ai vu qu'ils conçoivent des éoliennes en forme d'arbres et effectivement le vent fait des fausses feuilles et le vent bouge les feuilles et donc ça crée de l'énergie,,5,be,1260.0,1915.0
154,et oui j'ai mis des éoliennes mais de belles éoliennes car j'ai vu qu'ils développaient des éoliennes en forme d'arbres et en fait le vent au bout faisait des fausses feuilles et le vent bougeait les feuilles et donc ça crée de l'énergie,,5,ceb,1265.0,1920.0
155,et oui des éoliennes j'ai mis mais de belles éoliennes parce que j'ai vu qu'elles font des éoliennes comme des arbres et en fait le vent fait de fausses feuilles et le vent bouge les feuilles donc ça crée de l'énergie.,,5,ny,1266.0,1921.0
156,et oui des éoliennes j'ai mis mais de belles éoliennes car j'ai vu qu'ils développent des éoliennes en forme d'arbres et en fait le vent finit par faire de fausses feuilles et le vent déplace les feuilles et donc crée de l'énergie.,,5,co,1268.0,1924.0
157,"oui mais le principe de confiance n'est pas obligatoire, c'est à dire que tu peux avoir rencontré une personne pour plusieurs transactions différentes enfin une vingtaine de fois elle t'invite à prendre un café tu discutes 5 minutes ce n'est pas tant que demain tu es prêt à ne pas l'inviter et laisse-lui ta maison",,12,af,1354.0,2014.0
158,"oui mais le principe de confiance n'est pas contraignant, ça veut dire que vous avez peut-être rencontré une personne pour plusieurs transactions différentes, finalement une vingtaine de fois elle vous invite à prendre un café, vous discutez 5 minutes. et laisse-lui ta maison",,12,sq,1355.0,2015.0
159,"Oui, mais le principe de confiance n'est pas obligatoire, c'est-à-dire que vous pouvez rencontrer une personne pour de nombreuses transactions différentes, à la fin il vous invite à prendre un café vingt fois, ils parlent pendant 5 minutes, pas jusqu'à ce que vous soyez prêt à l'inviter demain. Laissez-lui et votre maison.",,12,am,1356.0,2016.0
160,"Oui, mais le principe de confiance n'est pas obligatoire, c'est-à-dire qu'il est possible de rencontrer quelqu'un pour plusieurs transactions différentes et finalement de vous inviter vingt fois à prendre un café et à discuter pendant 5 minutes, et pas tant que vous êtes prêt à l'inviter. demain et confie-lui ta maison.",,12,ar,1357.0,2017.0
161,"oui, mais le principe de confiance n'est pas obligatoire, c'est à dire que vous pouvez rencontrer la personne pour plusieurs transactions différentes, finalement vingt fois elle vous invite à un café, vous parlez 5 minutes, ce n'est pas tant que vous êtes prêt à inviter demain. lui et laisse-lui ta maison",,12,hy,1358.0,2018.0
162,"oui, mais le principe de confiance n'est pas obligatoire, c'est à dire que vous pouvez rencontrer une personne pour plusieurs opérations différentes, finalement vingt fois elle vous invite à un café, vous discutez 5 minutes, pas autant que vous êtes prêt à inviter demain. laissez-lui lui et sa maison",,12,az,1359.0,2019.0
163,"oui mais le principe de confiance est optionnel, ça veut dire que tu peux rencontrer une personne pour plusieurs deals différents, finalement vingt fois elle t'invite à prendre un café, tu discutes 5 minutes, ce n'est pas si long que demain, tu es prêt à inviter lui et laisse-lui ta maison",,12,be,1361.0,2021.0
164,"oui mais le principe de confiance n'est pas obligatoire, cela signifie que vous connaîtrez une personne dans différentes transactions les vingt dernières fois où elle vous a invité à prendre un café et à discuter pendant 5 minutes pas tant que vous êtes prêt à inviter demain. lui et laisse-lui ta maison",,12,ceb,1366.0,2026.0
165,"oui mais le principe de confiance n'est pas obligatoire, c'est à dire que tu peux rencontrer une personne dans plusieurs activités différentes au final une vingtaine t'invite à un café tu discutes 5 minutes pas longtemps demain tu es prêt à appeler. et laisse-lui ta maison",,12,ny,1367.0,2027.0
166,"oui, mais le principe de confiance n'est pas obligatoire, c'est à dire que vous avez peut-être rencontré une personne pour de nombreuses transactions différentes finalement une vingtaine de fois elle vous invite à un café elle discute 5 minutes ce n'est que demain que vous êtes prêt à inviter lui et laisse-lui ta maison",,12,co,1369.0,2030.0
167,non mais je pense que ça n'arrivera pas si souvent mais,,1,af,1457.0,2120.0
168,"Non, mais je ne pense pas que ça arrive souvent",,1,am,1458.0,2122.0
169,Non mais je pense que ça n'arrivera pas souvent mais,,1,ar,1459.0,2123.0
170,non mais je pense que ça n'arrivera pas très souvent mais,,1,hy,1460.0,2124.0
171,non mais je ne pense pas que ça arrive souvent mais,,1,az,1461.0,2125.0
172,"non, mais je pense que ça n'arrivera pas si souvent, mais",,1,be,1463.0,2127.0
173,non mais je pense que ça arrive rarement mais,,1,ny,1467.0,2133.0
174,"non, mais je pense que ça n'arrive pas si souvent mais",,1,co,1469.0,2136.0
175,"tout ce qui est orienté au sud, vous paierez un peu plus car vous aurez une orientation sud",,17,af,1504.0,2226.0
176,tout ce qui est exposé au sud vous paierez un peu plus car vous aurez une orientation sud,,17,sq,1505.0,2227.0
177,"tout ce qui est orienté vers le sud, vous paierez un peu plus car vous aurez une orientation sud",,17,hy,1506.0,2230.0
178,"tout ce qui est exposé au sud, vous paierez un peu plus car vous aurez une orientation sud",,17,be,1508.0,2233.0
179,"tout ce qui est orienté vers le sud, vous paierez moins cher car vous êtes orienté vers le sud.",,17,ceb,1510.0,2238.0
180,"tout ce qui est exposé au sud, vous paierez moins cher car vous aurez un côté sud",,17,ny,1511.0,2239.0
181,non mais ça évoque quand même le fait que tu es jugé par les autres et si tu déranges le truc,,20,af,1579.0,2332.0
182,"non, mais ça impose quand même le fait que tu es jugé par les autres, et si tu joues avec tes gènes",,20,sq,1580.0,2333.0
183,"Non, mais le fait d'avoir été jugé par les autres vous oblige quand même",,20,am,1581.0,2334.0
184,"Non, mais cela renforce toujours le fait que d'autres personnes vous jugent, que se passe-t-il si vous gâchez les choses ?",,20,ar,1582.0,2335.0
185,"non, mais cela renforce toujours le fait que vous êtes jugé par les autres, et si vous jouez avec cette chose ?",,20,hy,1583.0,2336.0
186,"non, mais ça s'applique quand même au fait que tu es jugé par les autres, et si tu te trompes",,20,az,1584.0,2337.0
