,PAROLES,Domaine,Langue
71,Donc cela nous empêche d'imprimer comme Bitcoin,16,fa
72,donc cela nous empêchera d'imprimer comme Bitcoin,16,pl
73,donc cela nous empêchera d'imprimer comme Bitcoin,16,pt
74,Donc ça nous empêchera d'imprimer comme Bitcoin,16,pa
75,donc cela nous empêchera d'imprimer en bitcoin,16,ro
76,donc cela ne nous permettra pas d'imprimer comme Bitcoin,16,ru
77,donc ça nous empêchera d'imprimer comme Bitcoin,16,sm
78,donc cela nous empêchera d'imprimer comme Bitcoin,16,gd
79,donc cela nous empêchera d'imprimer en bitcoin,16,sr
80,donc cela nous empêchera d'imprimer comme Bitcoin,16,st
81,donc cela nous empêchera d'imprimer comme Bitcoin,16,sn
82,Donc cela nous empêchera d'imprimer comme le bitcoin,16,sd
83,Donc cela nous empêche d'imprimer comme le bitcoin,16,si
84,donc ça nous empêche d'imprimer comme le bitcoin,16,sk
85,donc cela nous empêchera d'imprimer en bitcoin,16,sl
86,donc cela nous empêchera de l'imprimer comme le bitcoin,16,so
87,donc cela nous empêchera d'imprimer en bitcoin,16,es
88,donc cela nous empêchera d'imprimer comme Bitcoin,16,su
89,donc cela nous empêchera de taper comme Bitcoin,16,sw
90,donc cela nous empêchera d'imprimer en bitcoin,16,sv
91,Donc cela nous empêche d'imprimer comme le bitcoin,16,tg
92,Cela empêche donc l'impression comme Bitcoin,16,ta
93,Cela empêche donc l'impression comme Bitcoin,16,te
94,Cela nous empêchera donc de taper comme Bitcoin.,16,th
95,Donc cela nous empêchera d'imprimer comme le bitcoin,16,tr
96,donc ça ne nous permettra pas d'imprimer comme des bitcoins,16,uk
97,Cela nous empêchera donc d’imprimer comme Bitcoin.,16,ur
98,Donc cela nous empêche d'imprimer comme des bitcoins,16,ug
99,donc ça nous empêche d'imprimer comme le bitcoin,16,uz
100,donc cela nous empêchera d'imprimer comme Bitcoin,16,vi
101,donc cela nous empêchera d'imprimer en bitcoin,16,cy
102,donc cela nous empêchera de l'imprimer en bitcoin,16,xh
103,Donc cela nous empêchera d'imprimer comme Bitcoin,16,yi
104,donc cela nous empêchera de taper comme Bitcoin,16,yo
105,donc cela nous empêchera d'imprimer en bitcoin,16,zu
106,"oui, mais si ce n'est pas le cas, c'est quand même chaud",1,af
107,"oui, mais sinon, c'est quand même chaud",1,sq
108,sinon c'est encore frais,1,am
109,"Oui mais si ce n'est pas le cas, il fait toujours chaud",1,ar
110,"oui, mais sinon, c'est quand même chaud",1,hy
111,"Oui, mais sinon, c'est quand même chaud",1,az
112,"oui, mais sinon, c'est quand même chaud",1,eu
113,"oui, mais si ce n'est pas le cas, il fait toujours chaud",1,be
114,"Oui, mais sinon, c'est quand même chaud",1,bn
115,"oui, mais sinon, c'est quand même chaud",1,bs
116,"oui, mais si ce n'est pas le cas, il fait toujours chaud",1,bg
117,"Oui, mais sinon, c'est quand même chaud",1,ca
118,oui mais sinon il fait encore chaud,1,ceb
119,"oui, mais sinon, c'est quand même chaud",1,ny
120,"Oui, mais sinon, c'est quand même chaud",1,zh-cn
121,"Oui, mais sinon, c'est quand même chaud",1,zh-tw
122,"Oui, mais sinon, c'est quand même chaud",1,co
123,"oui, mais sinon, c'est quand même chaud",1,hr
124,"oui, mais sinon, c'est quand même chaud",1,cs
125,"oui, mais si ce n'est pas le cas, il fait toujours chaud",1,da
126,"Oui, mais sinon, c'est quand même chaud",1,nl
127,"ouais mais si ce n'est pas le cas, il fait toujours chaud",1,en
128,oui mais sinon il fait encore chaud,1,eo
129,"oui, mais sinon, c'est quand même chaud",1,et
130,oui mais sinon il fait encore chaud,1,tl
131,"ouais, mais sinon, il fait toujours chaud",1,fi
132,"oui, mais si ce n'est pas le cas, il fait toujours chaud",1,fy
133,"oui, mais sinon il fait encore chaud",1,gl
134,"Oui, mais si ce n'est pas le cas, il fait toujours chaud",1,ka
135,"Oui, mais sinon, c'est quand même chaud",1,de
136,"oui, mais si ce n'est pas le cas, il fait toujours chaud",1,el
137,"Oui, mais si ce n'est pas le cas, il fait toujours chaud",1,gu
138,"oui mais si ce n'est pas le cas, il fait toujours chaud",1,ht
139,"oui mais sinon, ça fait mal",1,ha
140,"Oui, mais sinon, il fait encore chaud",1,haw
141,"Oui mais sinon, c'est quand même chaud",1,iw
142,"Oui mais sinon, c'est quand même chaud",1,he
143,"Oui, mais si ce n'est pas le cas, il fait toujours chaud",1,hi
144,"oui mais sinon, il fait encore chaud",1,hmn
145,"oui, mais sinon, c'est quand même chaud",1,hu
146,"oui mais si ce n'est pas le cas, il fait encore chaud",1,is
147,oui mais sinon c'est quand même chaud,1,ig
148,oui mais sinon c'est quand même chaud,1,id
149,"ouais mais si ce n'est pas le cas, il fait toujours chaud",1,ga
150,"oui, mais sinon, c'est quand même chaud",1,it
151,"Oui, mais même si ce n'est pas le cas, il fait toujours chaud",1,ja
152,oui mais sinon c'est quand même chaud,1,jw
153,"Oui mais si ce n'est pas le cas, c'est quand même chaud",1,kn
154,"oui, mais sinon, c'est quand même chaud",1,kk
155,"Oui, mais sinon, il fait encore chaud.",1,km
156,"Ouais, si ça ne marche pas, c'est toujours chaud.",1,ko
157,"oui, mais sinon, c'est quand même chaud",1,ku
158,"oui, mais sinon, c'est quand même chaud",1,ky
159,"Oui, mais si ce n'est pas le cas, il fait toujours chaud",1,lo
160,ouais mais sinon il fait trop chaud,1,la
161,"oui, mais si ce n'est pas le cas, c'est quand même chaud",1,lv
162,"oui, mais sinon, c'est quand même chaud",1,lt
163,"oui, mais si ce n'est pas le cas, c'est quand même chaud",1,lb
164,"oui, mais sinon, c'est quand même chaud",1,mk
165,"oui, sinon il fait encore chaud",1,mg
166,"ouais mais si ce n'est pas le cas, il fait toujours chaud",1,ms
167,"Oui, sinon, il fait encore chaud",1,ml
168,"oui mais si ce n'est pas le cas, il fait toujours chaud",1,mt
169,"oui mais sinon, ça brûlera quand même",1,mi
170,"Oui, mais sinon, c'est quand même chaud",1,mr
171,"oui, mais sinon, c'est quand même chaud",1,mn
172,"Oui, mais sinon c'est quand même chaud.",1,my
173,"Oui, mais si ce n'est pas le cas, c'est quand même chaud",1,ne
174,"oui, mais si ce n'est pas le cas, il fait toujours chaud",1,no
175,"Oui, mais si ce n'est pas le cas, il fait toujours chaud",1,or
176,"Oui, mais si ce n'est pas le cas, c'est quand même chaud",1,ps
177,"Oui, mais si ce n'est pas le cas, il fait toujours chaud",1,fa
178,"oui, mais sinon, c'est quand même chaud",1,pl
179,"oui, mais si ce n'est pas le cas, il fait toujours chaud",1,pt
180,"Oui, mais si ce n'est pas le cas, il fait toujours chaud",1,pa
181,"oui, mais sinon, c'est quand même chaud",1,ro
182,"oui, mais sinon, c'est quand même chaud",1,ru
183,oui mais sinon il fait encore chaud,1,sm
184,"Oui, mais si ce n'est pas le cas, il fait toujours chaud",1,gd
185,"oui, mais sinon, c'est quand même chaud",1,sr
186,"oui mais si ce n'est pas le cas, il fait toujours chaud",1,st
187,"oui, mais si ce n'est pas le cas, il fait toujours chaud",1,sn
188,"Oui, mais si ce n'est pas le cas, c'est quand même chaud",1,sd
189,"Oui, mais si ce n'est pas le cas, il fait toujours chaud",1,si
190,"oui, mais sinon, c'est quand même chaud",1,sk
191,"oui, mais sinon, c'est quand même chaud",1,sl
192,"Oui, mais si ce n'est pas le cas, il fait toujours chaud",1,so
193,"Oui, mais sinon, il fait encore chaud.",1,es
194,"ouais mais sinon, il fait toujours chaud",1,su
195,"oui, mais si ce n'est pas le cas, il fait toujours chaud",1,sw
196,"oui mais si ce n'est pas le cas, il fait encore chaud",1,sv
197,"oui, mais si ce n'est pas le cas, il fait toujours chaud",1,tg
198,"Oui, mais si ce n'est pas le cas, c'est quand même chaud",1,ta
199,"Oui mais si ce n'est pas le cas, c'est quand même chaud",1,te
200,"Oui, mais sinon, il fait encore chaud.",1,th
201,oui mais sinon il fait encore chaud,1,tr
202,"oui, mais sinon, c'est quand même chaud",1,uk
203,"Oui, mais si ce n'est pas le cas, c'est quand même chaud.",1,ur
204,"Eh bien, sinon, il fait encore chaud",1,ug
205,"Oui, mais sinon, c'est quand même chaud",1,uz
206,ouais mais sinon c'est toujours chaud,1,vi
207,"oui mais si ce n'est pas le cas, c'est quand même chaud",1,cy
208,"oui, mais si ce n'est pas le cas, il fait toujours chaud",1,xh
209,"Oui, mais sinon, c'est quand même chaud",1,yi
210,"Oui mais si ce n'est pas le cas, il fait toujours chaud",1,yo
211,"oui mais si ce n'est pas le cas, il fait toujours chaud",1,zu
212,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,af
213,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,sq
214,Je pense que les éoliennes ne produisent pas beaucoup d'énergie.,1,am
215,Je pense que les éoliennes ne produisent pas beaucoup d'énergie,1,ar
216,Je ne pense pas que les éoliennes produisent beaucoup d'énergie,1,hy
217,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,az
218,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,eu
219,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,be
220,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,bn
221,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,bs
222,Je pense que les éoliennes ne produisent pas beaucoup d'énergie,1,bg
223,Je pense que les éoliennes ne produisent pas beaucoup d'énergie,1,ca
224,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,ceb
225,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,ny
226,Je ne crois pas que les éoliennes produisent beaucoup d'énergie,1,zh-cn
227,Je ne crois pas que les éoliennes produisent beaucoup d'énergie,1,zh-tw
228,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,co
229,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,hr
230,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,cs
231,Je veux dire que les éoliennes ne produisent pas beaucoup d'énergie,1,da
232,Je pense que les éoliennes ne produisent pas beaucoup d'énergie,1,nl
233,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,en
234,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,eo
235,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,et
236,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,tl
237,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,fi
238,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,fy
239,Je ne pense pas que les éoliennes produisent beaucoup d'énergie,1,gl
240,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,ka
241,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,de
242,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,el
243,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,gu
244,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,ht
245,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,ha
246,Je pense que les éoliennes ne sont pas très économes en énergie,1,haw
247,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,iw
248,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,he
249,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,hi
250,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,hmn
251,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,hu
252,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,is
253,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,ig
254,Je suis sûr que les éoliennes ne produisent pas beaucoup d'énergie,1,id
255,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,ga
256,Je pense que les éoliennes ne produisent pas beaucoup d'énergie,1,it
257,Je ne pense pas que les éoliennes produisent autant d'énergie,1,ja
258,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,jw
259,Je pense que les éoliennes ne produisent pas beaucoup d'énergie,1,kn
260,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,kk
261,Je pense que les éoliennes ne produisent pas beaucoup d'énergie.,1,km
262,Je pense que les éoliennes ne produisent pas beaucoup d'énergie.,1,ko
263,Je crois que les éoliennes ne génèrent pas beaucoup d'énergie,1,ku
264,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,ky
265,Je pense que les éoliennes ne produisent pas beaucoup d'énergie.,1,lo
266,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,la
267,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,lv
268,Je crois que les parcs éoliens ne produisent pas beaucoup d'énergie,1,lt
269,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,lb
270,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,mk
271,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,mg
272,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,ms
273,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,ml
274,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,mt
275,Je pense que les éoliennes ne sont pas très efficaces,1,mi
276,Je crois que les éoliennes ne génèrent pas beaucoup d'énergie,1,mr
277,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,mn
278,Je pense que les éoliennes ne produisent pas beaucoup d'énergie.,1,my
279,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,ne
280,Je veux dire que les éoliennes ne produisent pas beaucoup d'énergie,1,no
281,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,or
282,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,ps
283,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,fa
284,Je ne pense pas que les éoliennes produisent beaucoup d'énergie,1,pl
285,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,pt
286,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,pa
287,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,ro
288,Je pense que les éoliennes ne produisent pas beaucoup d'énergie.,1,ru
289,Je crois que la moto ne produit pas beaucoup de puissance,1,sm
290,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,gd
291,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,sr
292,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,st
293,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,sn
294,Je comprends que les éoliennes ne produisent pas beaucoup d'énergie,1,sd
295,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,si
296,Je pense que les éoliennes ne produisent pas beaucoup d'énergie,1,sk
297,Je ne pense pas que les éoliennes produisent beaucoup d'énergie,1,sl
298,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,so
299,Je pense que les éoliennes ne produisent pas beaucoup d'énergie.,1,es
300,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,su
301,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,sw
302,Je pense que les éoliennes ne produisent pas beaucoup d'énergie,1,sv
303,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,tg
304,Je crois que les parcs éoliens ne produisent pas beaucoup d'énergie,1,ta
305,Je pense que les éoliennes ne produisent pas beaucoup d'énergie,1,te
306,Je pense que les éoliennes ne produisent pas beaucoup d'énergie.,1,th
307,Je pense que les éoliennes ne produisent pas beaucoup d'énergie,1,tr
308,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,uk
309,Je pense que les éoliennes ne produisent pas beaucoup d'énergie.,1,ur
310,Je crois que les éoliennes ne peuvent pas produire beaucoup d'énergie,1,ug
311,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,uz
312,Je pense que les éoliennes ne produisent pas beaucoup d'énergie,1,vi
313,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,cy
314,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,xh
315,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,yi
316,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,yo
317,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,1,zu
318,oui au début ça va coûter cher car il faut payer les nouvelles installations etc mais après,17,af
319,"oui, au début ça va coûter cher car il faut payer pour de nouvelles installations, etc. mais plus tard",17,sq
320,"Oui, cela coûtera cher au début car il faudra payer pour les nouvelles installations, etc. mais plus tard",17,am
321,Oui au début cela sera cher car il faudra payer pour de nouveaux raccords etc mais après,17,ar
322,"oui, au début, cela coûtera cher car vous devrez payer pour une nouvelle installation, etc. mais ensuite",17,hy
323,"oui, cela coûtera cher au début car vous aurez besoin de nouveaux luminaires, etc. tu devras payer, mais ensuite",17,az
324,"oui, au début, cela coûtera cher car il faudra payer pour de nouvelles installations, etc. mais ensuite",17,eu
325,"oui, cela coûtera cher au début car il faut payer pour de nouvelles installations, etc. mais ensuite",17,be
326,"Oui, au début, cela coûtera cher car vous devrez payer pour une nouvelle installation, etc., mais plus tard",17,bn
327,"oui, cela coûtera cher au début car vous devrez payer pour les nouvelles installations, etc. mais plus tard",17,bs
328,oui ça va coûter cher au début car il faut payer pour les nouvelles installations etc. mais après,17,bg
329,si au départ cela va coûter cher car il faut payer pour de nouvelles installations etc. mais alors,17,ca
330,oui au début c'est cher car il faut payer pour de nouvelles installations etc. mais ensuite,17,ceb
331,oui au début ça va coûter cher car il faut payer pour les nouvelles installations etc. mais plus tard,17,ny
332,"Oui, cela coûtera cher au début car vous devrez payer pour une nouvelle installation, etc., mais après cela",17,zh-cn
333,"Oui, cela coûtera cher au début car vous devrez payer pour une nouvelle installation, etc., mais après cela",17,zh-tw
334,oui au début ça va coûter cher car il faut payer pour les nouvelles installations etc. mais plus tard,17,co
335,"oui, cela coûtera cher au début car vous devrez payer pour les nouvelles installations, etc., mais plus tard",17,hr
336,"oui au début, cela coûtera cher car vous devrez payer pour de nouvelles installations, etc. mais ensuite",17,cs
337,oui au début ça va coûter cher car il faut payer les nouvelles installations etc. mais après,17,da
338,"oui au début ça va coûter cher car il faut payer les nouvelles installations etc, mais après",17,nl
339,oui au début ça va coûter cher car il faut payer les nouvelles installations etc mais après,17,en
340,"oui au début, cela coûtera cher car il faudra payer pour les nouvelles installations, etc. mais plus tard",17,eo
341,"oui, au début cela coûtera cher car il faudra payer pour de nouvelles installations, etc., mais plus tard",17,et
342,oui au début c'est cher car il faut payer pour les nouvelles installations etc mais ensuite,17,tl
343,oui au début ça va coûter cher car il faut payer pour les nouvelles installations etc mais après,17,fi
344,oui au début ça va coûter cher car il faut payer les nouvelles installations etc mais après,17,fy
345,"oui au début, ce sera cher car il faudra payer pour les nouvelles installations, etc. mais plus tard",17,gl
346,"Oui, cela coûtera cher au début car vous devrez payer pour les nouvelles installations, etc. Mais alors",17,ka
347,"Oui, ça va coûter cher au début car il faut payer pour la réinstallation etc mais après ça",17,de
348,"oui au début, ce sera cher car il faudra payer pour les nouvelles installations, etc. mais ensuite",17,el
349,"Oui, au début, cela coûtera cher car vous devrez payer pour une nouvelle installation, etc., mais plus tard",17,gu
350,"oui au début, cela coûtera cher car il faudra payer pour les nouvelles installations, etc. mais après",17,ht
351,oui au début ça va coûter cher car il faut payer pour du nouveau matériel etc. mais plus tard,17,ha
352,Oui au début ce sera payant car il faut payer pour les nouveaux réglages etc. mais plus tard,17,haw
353,Oui au début ça va coûter cher car il faut payer pour les nouvelles installations etc mais plus tard,17,iw
354,Oui au début ça va coûter cher car il faut payer pour les nouvelles installations etc mais plus tard,17,he
355,"Oui, cela coûtera cher au début car vous devrez payer pour une nouvelle installation, etc., mais plus tard",17,hi
356,oui la première fois ça va coûter cher car il faut payer pour de nouvelles installations etc. mais ensuite,17,hmn
357,oui ça va coûter cher au début car il faut payer pour les nouvelles installations etc. mais après,17,hu
358,oui au début ça va coûter cher car il faut payer les nouvelles installations etc. mais après,17,is
359,oui au début ça va coûter cher car il faut payer pour les nouvelles installations etc. mais plus tard,17,ig
360,oui au début ça va coûter cher car il faut payer pour une nouvelle installation etc. mais après ça,17,id
361,"au début, cela coûtera cher car il faudra payer pour les nouvelles installations, etc. mais après",17,ga
362,"oui, ça va coûter cher au début car il faudra payer pour de nouvelles installations, etc., mais après",17,it
363,"Oui, cela coûtera cher au début car il faudra payer pour de nouvelles installations, etc., mais après",17,ja
364,"oui au début, cela coûtera cher car vous devrez payer pour une nouvelle installation, etc., mais après cela",17,jw
365,"Oui, au début, cela coûtera cher car vous devrez payer pour de nouvelles installations, mais plus tard",17,kn
366,"oui, au début cela coûtera cher car il faudra payer pour de nouvelles installations, mais plus tard",17,kk
367,"Oui, au début, cela coûtera cher car il faudra payer pour une nouvelle installation. Mais plus tard",17,km
368,"Oui, cela coûte cher au début car il faut payer pour une nouvelle installation, etc., mais plus tard",17,ko
369,"oui au début, cela coûtera cher car vous devrez payer pour de nouvelles installations, etc., mais plus tard",17,ku
370,"oui, ça va coûter cher au début car il faut payer pour de nouvelles installations, mais plus tard",17,ky
371,"Oui, au début, cela coûtera cher car il faudra payer pour de nouvelles installations, etc., mais ensuite",17,lo
372,"au début, cela coûtera cher car il faudra payer pour de nouvelles installations, mais plus tard",17,la
373,oui au début ça va coûter cher car il faut payer les nouvelles installations etc. mais après,17,lv
374,"oui, cela coûtera cher au début car vous devrez payer pour de nouveaux appareils, etc., mais plus tard",17,lt
375,"oui au début ça va coûter cher car il faut payer les nouvelles installations etc, mais après",17,lb
376,oui ça va coûter cher au début car il faut payer pour les nouvelles installations etc mais après,17,mk
377,"au début, cela coûtera cher car il faudra payer pour la nouvelle installation, etc. mais ensuite",17,mg
378,"oui au début, cela coûtera cher car vous devrez payer pour une nouvelle installation, etc., mais après cela",17,ms
379,"Oui, cela coûtera cher au début car il faudra payer pour de nouvelles installations, etc., mais plus tard",17,ml
380,oui au début ça va coûter cher car il faut payer pour les nouvelles installations etc mais plus tard,17,mt
381,Oui au début cela coûtera cher car il faudra payer pour de nouvelles installations etc. mais plus tard,17,mi
382,"Oui, au début, cela coûtera cher car vous devrez payer pour de nouvelles installations, etc., mais plus tard",17,mr
383,"oui, au début cela coûtera cher car il faudra payer pour de nouvelles installations etc., mais plus tard",17,mn
384,"Oui, au début, vous devrez payer pour de nouvelles installations, mais plus tard, cela coûtera cher.",17,my
385,"Oui, au début, cela coûtera cher car vous devrez payer pour de nouvelles installations, etc., mais plus tard",17,ne
386,oui au début ça va coûter cher car il faut payer les nouvelles installations etc mais après,17,no
387,"Oui, au début, cela coûtera cher car vous devrez payer pour une nouvelle installation, etc., mais plus tard.",17,or
388,"Oui, au début, cela coûtera cher car vous devrez payer pour de nouvelles installations, etc., mais plus tard",17,ps
389,"Oui, cela coûtera cher au début car vous devrez payer pour de nouvelles installations, etc., mais après cela",17,fa
390,"oui, ce sera cher au début car vous devrez payer pour de nouvelles installations, etc. mais plus tard",17,pl
391,"oui, au début cela coûtera cher car il faudra payer pour de nouvelles installations, etc., mais plus tard",17,pt
392,"Oui, au début, cela coûtera cher car vous devrez payer pour de nouvelles installations, etc., mais plus tard",17,pa
393,"oui, au début ça va coûter cher car il faut payer les nouvelles installations, etc. mais plus tard",17,ro
394,"oui, cela coûtera cher au début car il faudra payer pour de nouvelles installations etc., mais ensuite",17,ru
395,oui au début ça va coûter cher car il faut payer pour les nouvelles installations etc. mais plus tard,17,sm
