,PAROLES,Dimension Dialogique,Domaine,Langue
70,"On peut avoir une confiance directe dans les gens qu'on voit au fil du temps et donc oui, il y a une zone de confiance et donc ne pas s'enfermer dans le système monétaire, c'est lié au fait qu'une confiance en est une autre",2,12,ps
71,"On peut directement faire confiance aux personnes qu'on rencontre au fil du temps et donc oui, il y a une zone de confiance et donc on ne s'enferme pas dans un système monétaire, il s'agit du fait qu'on se fait confiance et",2,12,fa
72,"on pourrait avoir une confiance directe dans les gens qu'on rencontre au fil du temps et c'est pour ça oui, il y a une sphère de confiance et c'est pour ça qu'on ne s'enferme pas dans un système monétaire, c'est à dire, par rapport au fait, faire confiance à chacun autre et",2,12,pl
73,"nous pourrions avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc nous le faisons, il y a une sphère de confiance et donc nous ne nous enfermons pas dans un système monétaire, c'est à dire par rapport au fait que nous nous faisons confiance et",2,12,pt
74,"Nous pouvons faire directement confiance aux personnes que nous rencontrons au fil du temps et donc avoir une sphère de confiance et donc ne pas nous enfermer dans un système monétaire, qui consiste à se faire confiance par rapport au fait et au fait.",2,12,pa
75,"on pourrait faire directement confiance aux personnes que l'on rencontre au fil du temps et donc avoir oui, il y a une sphère de confiance et donc ne pas s'enfermer dans un système monétaire, c'est-à-dire par rapport au fait de se faire confiance et",2,12,ro
76,"nous pourrions avoir une confiance directe dans les personnes que nous rencontrons au fil du temps, et donc, oui, il existe une sphère de confiance et donc non enfermée dans le système monétaire, c'est-à-dire par rapport à la confiance mutuelle et",2,12,ru
77,"on peut trouver une confiance directe dans les gens qu'on rencontre au fil du temps et donc oui, il y a une part de confiance et donc on ne s'enferme pas dans un système financier, basé sur le fait qu'ils dépendent les uns des autres et",2,12,sm
78,"nous pourrions directement faire confiance aux personnes que nous rencontrons au fil du temps et donc oui, il existe une certaine gamme de confiance et donc ne pas nous enfermer dans un système monétaire, c'est-à-dire en termes de confiance les uns envers les autres et",2,12,gd
79,"nous pourrions avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc avoir, oui, il y a une sphère de confiance et donc nous ne nous enfermons pas dans le système monétaire, c'est-à-dire par rapport au fait que nous nous faisons confiance et",2,12,sr
80,"nous pouvons avoir une confiance directe dans les personnes que nous rencontrons au fil du temps, donc nous avons oui, il y a une place pour la confiance et donc nous ne nous reproduisons pas dans le système financier, oui, ce qui est lié à la question de la confiance mutuelle.",2,12,st
81,"nous pouvons avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc nous avons oui, il y a une place pour la confiance et donc nous ne nous enfermons pas dans le système financier, ce qui est conforme à la vérité, la confiance et",2,12,sn
82,"On peut directement faire confiance aux personnes que l'on rencontre au fil du temps et donc oui, il y a un cercle de confiance et donc ne pas s'enfermer dans le système financier, il s'agit vraiment de se faire confiance.",2,12,sd
83,"Nous pouvons avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc oui, il existe un domaine de confiance, alors ne nous enfermons pas dans un système monétaire, en termes de confiance mutuelle et",2,12,si
84,nous pourrions avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc oui il y a une sphère de confiance et donc ne pas être enfermés dans le système monétaire qui a à voir avec le fait que nous nous faisons confiance et,2,12,sk
85,"nous pourrions avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et c'est pourquoi nous avons oui il y a une sphère de confiance et c'est pourquoi nous ne nous enfermons pas dans le système monétaire, il s'agit du fait que nous nous faisons confiance et",2,12,sl
86,"Nous avons une confiance directe dans les personnes que nous rencontrons au fil du temps, donc nous avons oui, il y a de la confiance, donc nous ne verrouillons pas le système monétaire, ce qui est lié au fait que la confiance et",2,12,so
87,"on pourrait avoir une confiance directe dans les personnes que l'on rencontre au fil du temps et donc avoir oui, il y a une sphère de confiance et donc ne pas s'enfermer dans un système monétaire, c'est-à-dire par rapport au fait de se faire confiance et",2,12,es
88,"on peut avoir une confiance directe dans les personnes que l'on rencontre dans le temps et donc oui, il y a un environnement de confiance et donc ne pas s'enfermer dans le système monétaire, ce qui est lié au fait de la confiance mutuelle et",2,12,su
89,"nous pouvons avoir une confiance directe dans les personnes que nous rencontrons à temps et donc avoir un oui, il y a une sphère de confiance et donc nous ne devons pas nous enfermer dans le système financier, cela est lié au fait de la confiance mutuelle et",2,12,sw
90,"on pourrait avoir une confiance directe dans les personnes que l'on rencontre au fil du temps et donc avoir oui, il y a une sphère de confiance et donc ne pas s'enfermer dans un système monétaire, c'est-à-dire par rapport au fait de se faire confiance et",2,12,sv
91,"on pourrait avoir une confiance directe dans les gens qu'on rencontre au fil du temps, et donc oui, il y a une zone de confiance, et donc on ne s'enferme pas dans le système monétaire, c'est à dire en termes de confiance mutuelle et",2,12,tg
92,"On peut directement faire confiance aux personnes que l'on rencontre au fil du temps, donc oui, il y a une sphère de confiance, donc on ne s'enferme pas dans un système monétaire, ce qui veut dire se faire confiance et",2,12,ta
93,"Nous pouvons avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc oui, il existe une sphère de confiance et donc nous ne devrions pas nous enfermer dans un système monétaire, par rapport au fait que nous nous faisons confiance et",2,12,te
94,"Nous pouvons faire confiance aux personnes que nous rencontrons directement au fil du temps, alors oui, il y a une limite de confiance et le fait de ne pas s'enfermer dans le système financier implique la vérité de se faire confiance les uns les autres et",2,12,th
95,"avec le temps on peut directement faire confiance aux gens qu'on rencontre et donc oui, il y a une zone de confiance et donc on ne s'enferme pas dans un système monétaire, donc il faut se faire confiance et",2,12,tr
96,"on pourrait faire directement confiance aux personnes que l'on rencontre au fil du temps, et donc avoir un oui, il y a une sphère de confiance, et donc ne pas être enfermé dans le système monétaire, c'est-à-dire concernant le fait de se faire confiance et",2,12,uk
97,"Nous pouvons directement faire confiance aux personnes que nous rencontrons au fil du temps et donc oui, il existe un cercle de confiance et donc nous ne nous enfermons pas dans un système financier, qui est une question de confiance mutuelle. Il s'agit de réalité et de confiance.",2,12,ur
98,"On peut directement faire confiance aux personnes que l'on rencontre au fil du temps, donc oui, il y a une gamme de confiance, donc on ne se met pas dans le système monétaire, il s'agit de se faire confiance.",2,12,ug
99,"On peut directement faire confiance aux gens qu'on rencontre au fil du temps, et donc oui, il y a un cercle de confiance, et donc on ne se ferme pas au système monétaire, il s'agit de se faire confiance.",2,12,uz
100,"on peut faire confiance directement aux gens qu'on rencontre au fil du temps et donc oui, il y a une sphère de confiance et donc ne pas s'enfermer dans un système monétaire, cela a à voir avec le fait qu'il faut se faire confiance et",2,12,vi
101,"on pourrait faire confiance directement aux gens qu'on rencontre au fil du temps et donc oui, il y a un cercle de confiance et donc on ne s'enferme pas dans un système financier, c'est à dire par rapport au fait de se faire confiance et",2,12,cy
102,"nous pouvons avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc oui, il y a une place pour la confiance et donc nous pouvons nous enfermer dans le système financier, qui fait référence à l'élément de confiance et",2,12,xh
103,"On peut avoir une confiance directe dans les personnes que l'on rencontre au fil du temps et donc avoir oui, il y a une sphère de confiance et donc ne pas s'enfermer dans un système monétaire, cela est par rapport au fait de se faire confiance et",2,12,yi
104,"nous pouvons faire confiance directement aux personnes que nous rencontrons au fil du temps et donc oui, il y a un lieu de confiance et donc nous ne nous enfermons pas dans un système d'affaires, qui est lié à la vérité pour se faire confiance et",2,12,yo
105,"on peut directement faire confiance aux gens qu'on rencontre au fil du temps donc on a oui, il y a une sphère de confiance donc on ne s'enferme pas dans le système financier, ce qui est lié au fait de la confiance et",2,12,zu
106,"enfin, si nous nous prêtons des trucs, l'objet peut être suivi comme je l'ai prêté à tel ou tel, si quelqu'un en a besoin pour le prêter à tel ou tel, cela résout le problème de savoir où il se trouve, qui l'a, etc.",2,12,af
107,enfin si on se prête des choses l'objet peut être tracé comme je l'ai prêté à un tel si quelqu'un a besoin de le prêter à un tel ça résout le problème de savoir où il est qui l'a etc.,2,12,sq
108,"En fin de compte, si nous empruntons les uns aux autres, l'objet peut m'être emprunté, de sorte que si quelqu'un en a besoin, cela résoudra le problème de savoir où il se trouve, etc.",2,12,am
109,"Enfin, si nous nous prêtons des choses, la chose peut être tracée comme vous l'avez prêtée à un tel, si quelqu'un en a besoin, vous pouvez la prêter à un tel, et cela résout le problème de savoir où c'est le cas, à qui appartient-il, et ainsi de suite.",2,12,ar
110,"enfin, si on convertit les choses entre elles de telle manière que l'objet soit traçable, comme je l'ai donné à un tel, si quelqu'un en a besoin pour le convertir en un tel, cela résout le problème de savoir où il se trouve, qui l'a, etc.",2,12,hy
111,"enfin, si on se prête l'un à l'autre, l'objet peut être suivi comme si je le prêtais à un tel, si on a besoin de le prêter à quelqu'un, un tel résout le problème de savoir qui l'a, et bientôt.",2,12,az
112,"enfin, si on se prête la chose on peut retracer l'objet tel que je l'ai prêté et donc si quelqu'un en a besoin pour l'emprunter tel et tel cela résout le problème de savoir où il se trouve et qui l'a etc.",2,12,eu
113,"enfin, si on se prête des choses traçables, comme j'ai prêté ça à un tel, si quelqu'un a besoin de le prêter à un tel, ça résout le problème de savoir où c'est, qui l'a , etc. d.",2,12,be
114,"Enfin, si nous nous prêtons des choses, l'objet peut être suivi comme je l'ai prêté et donc si quelqu'un a besoin de le prêter, cela résout le problème de savoir qui l'a et où il se trouve.",2,12,bn
115,"enfin, si on se prête des choses traçables, l'objet comme je l'ai prêté à tel, si quelqu'un a besoin de le prêter à tel, ça résout le problème de savoir où il est, qui l'a, etc.",2,12,bs
116,"enfin si on se prête des choses l'objet peut être suivi comme je l'ai prêté à untel si quelqu'un en a besoin pour le donner à untel cela résout le problème de savoir où il se trouve, qui l'a, etc.",2,12,bg
117,"enfin si on se prête des choses que l'objet peut être suivi comme je l'ai prêté à tel et tel si quelqu'un en a besoin, le prêter à un tel résout le problème de savoir où est qui l'a etc.",2,12,ca
118,"enfin, lorsque nous nous prêtons des choses, la chose peut être suivie comme je l'ai prêtée et si quelqu'un a besoin de la prêter comme ça et pour résoudre le problème de savoir où elle se trouve, qui l'a et ainsi de suite.",2,12,ceb
119,"Enfin, lorsque nous nous prêtons des choses, nous pouvons suivre l'objet tel que je l'ai emprunté, c'est-à-dire si quelqu'un a besoin de l'emprunter, afin de résoudre le problème de savoir où se trouve le propriétaire, etc.",2,12,ny
120,"Enfin, si on se prête des choses, alors cet objet peut être suivi, comme je le prête à un tel, et si quelqu'un en a besoin, je le prête à un tel, ce qui résout le problème de savoir où c'est la question de savoir à qui il appartient, etc.",2,12,zh-cn
121,"Enfin, si on se prête des choses, alors cet objet peut être suivi, comme je le prête à un tel, et si quelqu'un en a besoin, je le prête à un tel, ce qui résout le problème de savoir où c'est la question de savoir à qui il appartient, etc.",2,12,zh-tw
122,"enfin, si on se prête les choses dont on peut tracer l'objet comme je l'ai prêté à un tel s'il y a besoin de prêter à un tel cela résout le problème de savoir où est celui qui l'a etc.",2,12,co
123,"enfin, si nous nous prêtons des choses, l'article peut être suivi comme je l'ai prêté à untel, si quelqu'un a besoin de le prêter à untel, cela résout le problème de savoir où il se trouve et qui l'a, etc.",2,12,hr
124,"enfin, quand on emprunte des choses, l'objet peut être suivi, comme je l'ai emprunté, untel, si quelqu'un en a besoin pour l'emprunter, untel, cela résout le problème de savoir où il se trouve, qui l'a, etc.",2,12,cs
125,enfin si on se prête des choses que l'objet peut être suivi comme je l'ai prêté à tel et puis si quelqu'un en a besoin de le prêter à tel et ainsi ça résout le problème de savoir où il est qui l'a etc.,2,12,da
126,"Enfin, si on se prête des choses pour que l'objet puisse être suivi, comme je l'ai prêté à un tel, si quelqu'un a besoin de le prêter à un tel, ça résout le problème de savoir où il se trouve, qui l'a, etc.",2,12,nl
127,enfin si on se prête des choses que l'objet peut être suivi comme je l'ai prêté à untel si quelqu'un en a besoin pour le prêter à untel cela résout le problème de savoir où il est qui l'a etc.,2,12,en
128,enfin si on se prête des choses que l'objet peut être suivi comme je l'ai prêté à tel et tel si quelqu'un en a besoin pour le prêter à tel et cela résout le problème de savoir où est qui l'a etc.,2,12,eo
129,"enfin, si on se prête des choses qu'on peut tracer sur l'objet, comme je l'ai emprunté à tel ou tel, si quelqu'un a besoin de l'emprunter à tel ou tel, cela résout le problème de savoir où il est, qui l'a, etc.",2,12,et
130,"enfin si on se prête des choses, la chose peut être traquée comme je l'ai prêtée à tel ou tel si quelqu'un en a besoin pour la prêter à tel ou tel, cela résout le problème de savoir où se trouve qui l'a, etc.",2,12,tl
131,"enfin, si on se prête des objets traçables, comme je l'ai prêté à un tel, si quelqu'un en a besoin pour le prêter à un tel, cela résout le problème de savoir où il se trouve, qui l'a, etc.",2,12,fi
132,enfin si on se prête des choses l'objet peut être retracé comme je l'ai emprunté tel et tel si quelqu'un en a besoin pour le prêter tel et tel cela résout le problème de savoir où il est qui a etc.,2,12,fy
133,"enfin, si on se prête des choses, on peut suivre l'objet comme je l'ai prêté à un tel et si quelqu'un en a besoin pour le prêter à un tel, le problème de savoir où il se trouve, qui l'a, etc. résolu.",2,12,gl
134,"Enfin, si on se prête des choses pour garder la trace de l'objet, comme j'ai prêté un tel, si quelqu'un a besoin d'un tel, cela résoudra le problème de savoir où il se trouve, qui l'a, etc.",2,12,ka
135,"Enfin, quand on se prête des choses, l'objet peut être suivi, tout comme je l'ai prêté à tel ou tel. Donc si quelqu’un en a besoin pour le prêter à tel ou tel, cela résout le problème de savoir où il se trouve, qui l’a, etc.",2,12,de
