,PAROLES,Dimension Dialogique,Domaine
10,heu attends j’ai acheté cette machine à laver 800 balles l’année dernière ça me casse les couilles que tu viennes laver ton linge tous les jours ,2,3
11,alors heu ce qui se passe en fait c’est que enfin si tu veux vraiment tendre vers un quartier à mon avis en termes de monnaie d’incitation monétaire qui va vraiment vers une collaboration il faut que ça soit le quartier qui investisse dans les dans les sous dans les équipements que ce soit les perceuses donc tu crées des ateliers de fabrication des choses comme ça et que notamment dans les équipements que tu utilises de temps en temps ou à lourd budget et pas les gens parce que t’as forcément parce que voilà si c’est le quartier qui les a après tu as juste une cogestion ou je ne sais pas un calendrier collaboratif heu sur un ipad quoi,1,17
12,oui voilà mais après si toi tu as un truc je sais pas heu du sel du verre de je sais pas quoi on ne va pas acheter tout ça en groupé ,1,17
13,nan je pensais justement aux équipements qui coûtent beaucoup et tu utilises peu enfin des choses ou en fait qui ont un véritable coût d’opportunité à soit prêter soit à louer ,1,17
14,et enfin c’est un peu la notion de quartier je trouve ça je trouve que tu as 30 000 façons tu peux le faire tu sais des relations monétaires ou des relations d’entraide des relations d’entraide pure je trouve ça bizarre mais enfin ce n’est pas la première question,2,20
15,c’est des trucs que tu peux capter aujourd’hui avec les capteurs tu peux savoir combien de fois tu utilises la laverie par an et donc tu ajustes la cotisation d’après en fonction de ce que tu utilises comme équipement,1,4
16,ce qui fait que le mec qui ne veut rien utiliser et qui a tout chez lui bah il paie un euro et celui qui compte sur le quartier il paiera dix euros sachant que c’est genre le grand nombre donc plein de personnes qui payent 10 euros tu achètes quatre perceuses ça suffit pour la ville,2,10
17,ceux qui veulent économiser de l’espace chez eux pour ne pas pour pas niquer l’espace et mettre une laverie par exemple et bah du coup ils pourraient se reporter sur la laverie commune,2,10
18,parce que c’est un peu le bonheur avec les capteurs aujourd’hui et l’internet d’émission on peut savoir exactement enfin si t’acceptes en fonction de enfin voilà savoir exactement quelles sont tes activités collaboratives ou pas donc par rapport à combien de fois tu as réservé cette salle-là combien de fois tu as utilisé cet atelier-là combien de fois tu as pris des cours avec le voisin de maths etc etc après le fait de le savoir tu as une forme monétaire mais plus sous forme de cotisation,1,2
19,mais c’est plus une cotisation où le coût de revient est égal à zéro,1,17
20,oui mais normalement c’est censé s’équilibrer,1,17
21,oui ça s’équilibre c’est-à-dire ça ne coûte rien à la communauté,1,17
22,oui au départ ça va coûter cher parce qu’il faut payer les nouvelles installations etc mais après,1,17
23,oui la première année elle ne sera pas rentabilisée tout de suite mais ça serait sur le long terme,1,17
24,parce que sinon si on doit faire face à tous les problèmes dès le départ genre acheter des tas de trucs ça va peut-être être trop lourd,1,17
25,c’est heu c’est difficile parce que les gens ont un travail tellement différent je veux dire on des emplois tellement différents,1,4
26,pas forcément un bureau pour le quartier  un bureau généralisé on peut embaucher d’autres gens de la ville etc,1,4
27,pour illustrer ce que tu disais en fait je me souviens d’une infographie d’un truc qui date de quelques années où il y avait un gars qui avait modélisé aux États-Unis par rapport à la France la répartition des quartiers des activités dans les quartiers type bars type n’importe quoi et la répartition des lieux de travail et en fait je crois que c’était heu pas Miami ou Seattle enfin des villes aux Etats-Unis quoi et en fait où t’avais tous les bars qu’étaient dans un quartier et tous les logements travail dans un autre et ça faisait une ville totalement schizophrène où d’un côté c’était des buildings à l’euphorie un peu comme s’il y avait que la Défense et que Oberkampf  à Paris c’était un peu ça mais très éloignés,2,18
28,nan mais et le troisième quartier qui était un quartier genre d’habitations et en fait ça faisait des villes pas du tout homogènes où les gens vont de leur travail à leur,2,18
29,et puis la journée c’est complètement mort,2,18
30,en fait ça fait des quartiers vraiment habités à certaines heures et le reste totalement mort et ils comparaissaient à Paris où en fait à Paris bah t’as les cafés sont placés de manière vachement enfin heu,2,18
31,c’est juste qu’ils disaient que enfin tu voyais des quartiers beaucoup plus vivants où les gens se rencontraient beaucoup plus quand tu avais des lieux de travail qui étaient un peu plus mélangés avec les lieux d’habitation et les lieux de sortie,2,20
32,école ils vont peut-être se plaindre à cause du bruit,1,13
33,oui et non parce que du coup il ne faut pas qu’ils fassent trois kilomètres pour déposer leurs enfants heu que ça soit galère au niveau de la crèche pour les récupérer enfin,1,2
34,j’y ai pensais aussi mais ça fait énormément de bruit et dans un quartier ça tue,1,13
35,ah oui nan nan c’est totalement possible mais en fait j’ai y’a y’a il y a une amie à ma mère qui habite en banlieue parisienne enfin plus loin que la banlieue parisienne  elle a l’aéroport à quelques kilomètres et elle a des éoliennes pas loin ,1,13
36,les deux la journée quand c’est pas quand c’est quand c’est je dis une connerie 3000 avions qui passent par jour  c’est un bruit énorme horrible et quand ce n’est pas les avions t’as les éoliennes qui font du bruit aussi donc du coup les deux associés elle a la tête comme ça,1,13
37,donc ça marche très bien  mais c’est horrible la vie en communauté là c’est horrible  les les personnes âgées les enfants ils vont péter un câble avec ça à côté,1,13
38,en plus ça demande de la place hein,1,19
39,oui nan mais ça demande oui nan mais c’est pas c’est pas au sein de la communauté c’est pas au sein du quartier c’est assez loin mais,1,19
40,ce qui évite d’avoir à payer en plus du chauffage pour continuer à chauffer l’air,1,17
41,oui la la question c’est qui sont les gens je pense c’est pas tout le monde qui fait ça qui a les choses qui comment je vais dire ça tous les quartiers collaboratifs aujourd’hui font la même chose le but c’est ils utilisent de l’énergie renouvelables,1,1
42,nan mais je trouve ça cool autosuffisant dans le sens où ça t’oblige à faire plein de projets de façon à faire des trucs localement ,2,9
43,et ça oblige les habitants à se bouger pour faire des trucs tu vois,2,9
44,moi je pense c’est d’être aussi pas tout seul à faire les trucs en commun tu vois,2,9
45,ouais et je pense qu’il y a beaucoup de personnes dans ce cas et heu beaucoup de citoyens qui veulent se sentir responsables,2,9
46,heu vis-à-vis de l’environnement vis-à-vis de l’économie et donc,2,9
47,voilà justement en recyclant on minimise heu on va soit éviter de d’avoir des emballages inutiles soit recycler pour ne pas jeter donc voilà,1,1
48,ouais recycler et minimiser la production de déchets parce que par exemple pour la minimiser pour qu’on n’ait même pas besoin de recycler des fois au lieu d’avoir un emballage heu y’a des emballages qui servent à rien on va pas les on va pas utiliser l’emballage puis le recycler parce que le recyclage ça va avoir un coût on va heu d’entrée ne pas avoir d’emballage,1,1
49,ouais recycler et minimiser la production de déchets parce que par exemple pour la minimiser pour qu’on n’ait même pas besoin de recycler des fois au lieu d’avoir un emballage heu y’a des emballages qui servent à rien on va pas les on va pas utiliser l’emballage puis le recycler parce que le recyclage ça va avoir un coût on va heu d’entrée ne pas avoir d’emballage,1,17
50,et ouais éoliennes j’avais mis mais des jolies éoliennes parce que j’ai vu qu’ils sont en train de développer des éoliennes en forme d’arbres et en fait le vent il fait enfin ils font des fausses feuilles et le vent bouge les feuilles et du coup c’est ça crée de l’énergie,1,5
51,bah c’est du coup c’est joli et en plus ça crée de l’énergie parce que les éoliennes c’est moche,1,5
52,comment comment est-ce qu’on va faire si nous sommes dans une région où il n’y a pas de soleil il n’y a pas de vent,1,11
53,comment on fait bah peut-être qu’il y aura de l’eau,1,11
54,oui après voilà on peut utiliser l’énergie hydraulique pour heu,1,11
55,donc heu c’est le même principe que y’a aussi le même principe que les éoliennes on va utiliser les courants ,1,11
56,on va utiliser c’est un peu le même principe que les éoliennes les hélices elles vont être dans l’eau ,1,11
57,oui mais ça c’est du nucléaire du coup,1,11
58,ce n’est pas tout à fait nucléaire mais c’est le même principe je crois,1,11
59,c’est ça que je demande ((utilise son ordinateur)) je pense que oui parce que j’ai déjà vu y’a des voitures qui utilisent ça,1,4
60,voilà ça dégage de la chaleur on va réutiliser ça,1,1
61,parce que je pense c’est une chose heu quand ils vont faire le traitement de l’eau tous seuls c’est on propose mais je pense que ce n’est pas faisable ça dépend de la taille du quartier,1,19
62,mais comme là on est dans le truc idéal et on ne réfléchit pas à la faisabilité mais juste à des idées,1,4
63,c’est pas faisable,1,4
64,c’est faisable ,1,4
65,la question c’est tu ne peux pas utiliser ça tout le temps parce que tu vas réduire l’humidité de l’air,1,4
66,après tu vas avoir un désert,2,11
67,c’est pas on n’a pas besoin de système embarqué c’est un système vu que les plantes heu elles sont dans un même environnement elles ont un même besoin tu as juste un capteur qui va détecter dans le niveau il va détecter le niveau d’humidité la température et aussi au niveau du sol les minéraux et tout et heu voilà c’est pas vraiment… déjà il y en a pour des usages domestiques il y a déjà des systèmes heu des objets connectés pour un pot de fleurs pour que tu saches si elles sont bien,1,2
68,pour savoir à quel moment il faut que t’arroses ta plante et de combien,1,2
69,oui je pense j’ai déjà vu de petites machines qui ont produit pour une famille de 5 personnes ,1,1
70,alors si chaque personne il a une machine comme ça,1,1
71,bah du coup de manière raisonnée pour pas que ça assèche trop l’air,2,11
72,oui la question c’est l’humidité de l’air dans ambiance où l’humidité est de 100% c’est pas mal mais si tu comptes c’est 32% c’est impossible de faire,1,1
73,ok mais si vous avez des réserves y a pas de problèmes,1,6
74,tu peux partager ! tu peux avoir tu peux partager ta douche tu partages ta douche chez toi,2,8
75,oui mais avec beaucoup de personnes c’est peut-être heu,2,8
76,c’est bizarre,2,8
77,c’est limite oui,2,8
78,pas avec tout le monde,2,8
79,bah tu peux emprunter une chemise à ton pote tu vois,2,8
80,euh ouais je voyais ça  plus dans par exemple dans un truc de ski tu peux emprunter un truc de ski mais une chemise peut-être ça sera non ,2,8
81,peut-être pas un caleçon tu vois mais si admettons ou un costume tu vois si tu as un rendez-vous important et que tu n’as pas de costume,2,8
82,parce qu’en fait tu payes genre 4 euros l’heure enfin ouais c’est par heure et tu te sers autant que tu veux de ce qu’il y a et du coup tu restes pour travailler quand tu as besoin de travailler tu vois un espace heu,1,2
83,il y en a déjà une,1,2
84,ouais les deux ne sont pas incompatibles,1,2
85,et moi ouais justement elles ne sont pas incompatibles justement elles vont pas être incompatibles ,1,2
86,donc ça va nous éviter d’imprimer à la manière du bitcoin,1,1
87,et ça va permettre justement d’échanger voilà ça va être on va échanger entre genre le fermier va échanger avec le menuisier voilà,1,2
88,voilà et on aura par exemple ça va être pour c’est compatible avec ton idée genre on va avoir on va on pourra genre si on économise si on fait moins de déchets ou bien si voilà on produit plus d’électricité pour le village on gagnera de l’argent,1,17
89,ce n’est pas un pouvoir des choses ce n’est pas créer pas une hiérarchie de pouvoirs tu comprends ,2,20
90,pour faire un truc ensemble ou tu vois ou un festival ou un truc,2,20
91,ah ouais je pense que c’est peut-être un peu fort la constitution juste heu,2,14
92,non ça c’est déjà partageable,1,2
93,bah après c’est déjà plus ou moins enfin tu vois les crèches de quartier et tout c’est quand même avec les gens du quartier quoi,1,2
94,donc heu heu ça inciterait donc j’avais marqué l’usage excessif permettrait de mettre en difficulté tous les autres donc c’est une consommation modérée et responsable je ne sais pas voilà,2,11
95,donc je voulais le principe de panneaux solaires pour pas qu’il y ait de différence dans la communauté en fait on va créer les profils genre si toi tu as plus de panneaux bah toi tu vas plus surcon- surconsommer ,2,10
96,mais si par contre si par exemple tu as genre un appartement pour quatre personnes et un studio par exemple bah  du coup enfin,2,10
97,bah par exemple s’il y a un manquement électrique à ce moment-là il y aurait une éolienne qui serait là,1,4
98,nan ce n’est pas par rapport au manquement mais c’est juste par rapport à à un studio je pense que ça consomme beaucoup moins qu’un appartement pour quatre personnes du coup tu vas lui mettre quand même le même nombre de panneaux solaires ,2,10
99,bien sûr mais après il y a aura l’éolienne qui sera là pour,1,4
100,bien sûr mais justement pour pas qu’il y ait ces différences-là il y aurait l’éolienne qui serait là pour combler le manque du panneau solaire en fait,1,4
101,j’ai plus pensé aux maisons personnelles heu aux petites maisons parce que tu as plus d’espace pour que tout ce qui est énergie pour mettre des panneaux solaires si tu as un seul bloc tu ne vas pas pouvoir mettre 60 panneaux solaires,1,19
102,ouais mais avec les maisons individuelles tu as aussi plus de déperdition,2,11
103,si tu veux  orientation plein sud pour les lieux de vie et orientation nord pour les lieux de passage c’est pour ça que les lieux en plein sud en fait ils coûtent plus chers,1,17
104,tout ce qui est orientation plein sud tu payeras un peu plus cher parce que t’auras l’orientation sud,1,17
105,oui mais je parle du marché actuel là,1,17
106,sachant que chacun peut utiliser un nombre maximal de coins par jour  donc par exemple j’ai besoin d’aller faire des courses en voiture aujourd’hui ou faire du vélo au sport pendant une heure ou de bricoler dans l’atelier sachant par exemple que j’ai 50 coins par jour à utiliser personnellement et que la voiture me coûtera 25 coins le vélo 15 la réservation des outils de bricolage 15 il ne me sera pas possible de tout faire ce jour-là ,1,4
107,donc en fait ça sera donc un système de partage des ressources d’une façon équitable pour que tout le monde puisse faire plusieurs choses dans la journée sans prendre heu un bien que pour lui pendant tout le temps,2,10
108,pour éviter qu’il y ait des monopoles,2,10
109,pour que ça soit équitable ,2,10
110,ça évite que genre tout le monde se ligue contre une personne ou,2,20
111,ouais pour éviter les conflits,2,20
112,le plus simple n’est de pas tout repousser plus tard ,2,9
113,donc du coup du quartier pour voir quelles sont les pistes de réflexion et faire évoluer les choses,2,9
114,parce que l’individu pourra toujours se ramener pourra toujours ramener les choses à la personne pourra toujours être pris de jalousie ou quelque chose comme ça,2,20
115,un peu prise de conscience générale c’est que tu si tu comprends donc si t’as une cul- enfin c’est un peu ça et t’acceptes les choses du coup tu les mets en œuvre enfin ,2,14
116,si t’as une conscience collective de ton action et tout ça,2,14
117,tu peux changer tes comportements que si tu comprends bien et que tu l’acceptes,2,14
118,et que tu l’as choi- voté enfin pas voté dans ce cas là mais,2,14
119,bah en fait c’est pas di- enfin c’est absolument compatible c’est juste qu’en fait la création d’une cul- culture commune de d’économie etc ça fait qu’on est plus dans un rapport avec soi ou avec tes croyances ou quoique ce soit on est juste dans un rapport où en fait on se dit tous qu’il faut enfin que c’est normal,2,9
120,qu’on devrait tous pouvoir,2,9
121,de pas consommer de pas surconsommer,2,9
122,et le but c’est pas de se dire ah merde il consomme mon voisin consomme plus que moi donc du coup je peux consommer d’autant plus quoi on est plus dans c’est vraiment abattre l’individualisme,2,9
123,après désolé  de faire le mec relou mais enfin pour moi c’est juste t’essaye d’améliorer ton propre comportement en espérant que les autres fassent la même chose ,2,9
124,c’est-à-dire que moi la culture commune moi clairement j’en veux pas par exemple  moi ça me ferait chier d’habiter dans un truc comme ça enfin  et du coup,2,14
125,tu vois donc du coup je pense que pour des gens comme ça c’est déjà un peu plus chiant enfin typiquement quand tu repenses aux Québécois ils avaient l’air tout très gentils hein mais moi les ateliers menuiserie moi non,2,14
126,nan mais c’est des propositions tu choisis,2,7
127,mais justement tu choisis c’est des propositions et justement tu choisis si t’y vas t’y vas pas,2,7
128,tu choisis mais tout choix tout choix implique un comment dire un une réception sociale de ton choix donc ,2,20
129,ouais c’est quand même tu as le choix,2,7
130,t’auras toujours si tu as une culture commune t’auras toujours des gens contre cette culture commune,2,14
131,mais après c’est sûr que faut faut s’entendre après faut ça doit être compliqué,2,20
132,tu vois qu’ils aient une vie à peu près agréable pour tout le monde,2,18
133,ouais mais quand on parle de culture commune on parle pas forcément effectivement d’une implication concrète,2,9
134,on parle plutôt de la décision et de l’acceptabilité par tout le monde,2,7
135,oui je comprends t’façon t’as ton t’as ton logement personnel après le mec il s’intègre ou pas mais après il peut partager en tout cas,2,7
136,mais après je veux dire après c’est après si t’as pas envie de te bouger et que tu veux pas aller dans l’atelier tu le fais pas tu vois,2,7
137,ça fait un peu comme les moines par exemple les moines bouddhistes c’est vrai qu’ils ont des trucs mais ils sont pas à eux ils les possèdent pas c’est à toute la,2,8
138,la perceuse t’as pas envie de la prêter mais ce que je veux dire c’est qu’en fait culturellement si tout es changé et que tu te dis bah en fait ma perceuse c’est un peu celle de toute le monde je veux dire t’es pas obligé d’aller taper l’atelier avec les gens tu vois,2,7
139,gestion et optimisation ouais voilà moi je vois même pas ça vraiment forcément dans un rapport social avec les autres hein enfin je considère que justement faut établir un système,2,20
140,ouais ouais en gros c’est établir un système qui convient aussi bien à l’individu en lui-même et à des groupes de gens qui veulent se rencontrer c’est ,2,20
141,en fait pour moi c’était un peu différent parce que ça c’est plutôt au niveau atteinte à l’environnement quoi c’est ce que tu prends et ce que tu rejettes,2,11
142,bah c’est surtout en fait aussi tu prends que ce que tu que ce dont tu as besoin donc ,2,11
143,avoir accès à plus de ressources quelqu’un qu’a pas pu s’acheter une voiture parce qu’il avait pas de sous s’il est dans une communauté de dix personnes il pourra y avoir accès,1,17
144,moi je voulais mettre en avant aussi cadre de vie agréable  parce que bon vivre dans des immeubles c’est sympa mais enfin s’ils sont moches c’est quand même glauque quoi aussi,2,18
145,tu penses que c’est bien panneaux solaires ? parce que moi ce que j’ai entendu dire c’est qu’en fait tu consommais vachement de minéraux rares pour les fabriquer et c’est si bien enfin,2,11
146,ouais et ça coûte cher,1,17
147,oui mais on peut imaginer qu’on est dans un futur où on peut faire des panneaux solaires en plastique,1,4
148,et ça j’ai entendu dire ça marche vachement bien,1,1
149,enfin c’est des sources d’énergie ouais non nucléaire ou des trucs comme ça,2,11
150,enfin on va peut-être pas le ou tu vois rien que la production du panneau solaire elle est déjà super polluante donc ,2,11
151,et au bout de 8 ans c’est ca- ça se casse et ça se recycle pas je veux dire c’est un peu un truc ,2,11
152,mais je pense que ça va changer justement,1,4
153,après ça dépend combien de temps le panneau dure aussi  si s’il tient 300 ans,1,4
154,si on est un peu en bordure de campagne on peut faire des éoliennes,1,4
155,parce que ça du coup on peut mettre des plantations au pied des éoliennes et tout ça,2,11
156,je crois que les éoliennes ça produit pas énormément d’énergie,1,1
157,ça marche pas tellement non plus,1,1
158,pour un quartier oui mais après,1,1
159,en plus c’est quand même moche,2,5
160,mais on s’en fout de ça si ça fait de l’énergie et tout,2,11
161,ouais mais si ça en fait pas c’est quand même chaud,1,1
162,parce qu’au final t’as un rapport enfin au final c’est pas ça la finalité de la chose mais c’est juste que t’as un rapport  différent avec ce que tu fais c’est à dire que tu prévois ta consommation en allant chercher un  tu vois si tu veux,2,9
163,ouais tout le monde te montre du doigt si tu prends trop d’eau tu vois,2,20
164,ouais parce que moi je veux pas je prends l’eau je prends l’eau,2,7
165,là c’est juste pour établir un rapport où  tu as un peu d’obligation à regarder ce que tu fais et à,2,9
166,ouais voilà nan mais le truc c’est que c’est pas une finalité dès la chose c’est juste pour dire que ce système ça t’oblige à  ,2,9
167,nan mais il impose sur quand même le fait que t’es jugé par les autres quoi si tu déconnes avec le truc ,2,20
168,bah non si ta batterie est vide parce que t’as trop consommé bah t’es t’as l’air un peu con t’es obligé de te bouger ton cul pour aller te la recharger quoi ,2,9
169,mais c’est d’être absolument pas jugé par les autres personne te jugera parce que c’est un point d’accès à,2,20
170,le principe c’est pas de faire ça mais c’est juste de dire que bon on peut trouver un moyen de sensibiliser la personne sa consommation d’énergie tu vois je te dis pas d’aller chercher de l’eau dans un puits c’est complètement,2,9
171,et du coup  ça permet que le pro- enfin celui qui fournit l’eau il entretient les réseaux parce que sinon il s’en fout il entretient pas les réseaux en cas de fuites etc mais bon ça ça dépend pas vraiment du quartier mais c’est important,2,9
172,ah bah s’ils veulent boire ils ont intérêt à se bouger le cul par exemple tu vois nan mais c’est le principe juste le principe du puits en soit tu vois,2,9
173,nan mais je veux dire en fait faut sortir du principe où on se dit ah putain pour prendre une douche ça va être chiant le puits bah oui bien sûr on va pas avoir de puits mais juste sur le principe,2,9
174,mais du coup tu vas économiser,1,17
175,sur ce principe de se bouger le cul enfin d’avoir un rapport différent avec l’accès à faire la chose,2,9
176,de quoi pardon ah la cuisine individuelle moi je veux pas qu’on salope ma cuisine,2,13
177,nan mais ça dépend en fait nan nan mais ça dépend ça peut-être aussi individuel et collectif,2,7
178,oui tu peux avoir une cuisine collective si pour les gens qui ont envie y viennent mais c’est pas forcément un truc ,2,7
179,moi je sais que je suis insomniaque et j’aime bien me faire la cuisine à 4h du mat tu vois donc si on me dit ton four tu le fais que fonctionner de 20h à 22h moi je j’aime pas je vais pas être content nan mais le but après c’est pas de créer un ,2,7
180,genre typiquement quand tu rentres chez toi il est 22h et puis t’as envie de te faire un café t’as pas de café ça t’emmerde,1,2
181,un peu une mise en commun du patrimoine que tu n’en- que tu n’emploies pas tu vois c’est ça plus que dans un rationnement quoi,2,8
182,mais par exemple si tu partages t’as pas être des points en plus j’en sais rien tu vois favoriser ça comme ça tu dépenses moins au final toi t’as pas envie sur le coup mais justement c’est apprendre à l’utilisateur justement à changer ,2,9
183,parce que ça responsabilise les gens d’avoir leur facture,2,9
184,c’est le principe un peu en gros si quelqu’un a quelque chose que t’as pas enfin si en gros tu payerais toi tu payerais la même facture si quelqu’un consomme plus que toi tu vois,2,10
185,nan parce que tu payes moins cher si tu consommes moins,2,10
186,bien sûr nan mais le principe d’avoir une facture commune  c’est comme si on va au restaurant on fait moitié moitié sur l’addition mais je mange deux fois plus que toi,2,10
187,complètement ((répond à L3))  et je peux utiliser ta machine à expresso tous les matins parce que j’en ai pas tu vois,1,2
188,tu laisses le voisin acheter une Playstation  après tu vas le voir ((rires)),2,3
189,nan mais c’est pour ça que faut une cuisine aussi commune,2,8
190,et que après c’est individuellement par exemple chaque communauté qui va décider qu’est-ce que je mets en commun,2,7
191,parce qu’effectivement c’est con d’avoir une machine à laver par appartement quand tu peux avoir une laverie avec 5 machines à laver pour tout l’immeuble tu vois,2,11
192,en fait je repensais aux truc c’était les mayas leur monnaie c’était le cacao ils s’échangeaient tout voilà leur monnaie c’était le cacao c’était quelque chose de périssable tu pouvais pas le stocker en fait donc en fait et c’est ça aussi qui ressert cette culture de l’individualisme et du fait que t’ai envie de ta voiture et pas celle des autres c’est parce que tu peux aussi banquer quoi tu vois,2,17
193,nan mais ça empêche l’épargne après,2,17
194,ah oui mais justement c’est ça l’épargne c’est de la merde quoi,2,17
195,bah l’épargne c’est important  bah l’épargne c’est de la merde c’est l’héritage de tes enfants,2,17
196,justement tout le monde est sur un plan d’égalité,2,10
197,nan mais justement si tu leur donne un héritage culturel qui le leur fait mieux vivre  avoir de l’argent ils s’en foutent quoi tu vois,2,17
198,ouais mais tu peux avoir envie de léguer  c’est toujours mieux d’avoir plus que moins quel que soit la monnaie même si elle est périssable est-ce qu’à l’instant t où elle est pas périmée vaut mieux en avoir plus qu’en avoir moins quel que soit la monnaie,2,17
199,ouais mais ça je suis complètement d’accord mais ce que je veux dire c’est que dans un système un peu fantasmé collaboratif avoir de l’argent enfin si t’essayes de minimiser la  genre le bien le bien personnel tu pourras le mais ça te servira pas à grand-chose quoi,2,17
200,bah ouais et même voilà ton lieu privatif tu peux le mettre à disposition de la communauté tu peux faire des propositions et tout si par exemple t’es très riche et que t’as une grande maison et que,2,7
201,après en termes de consommation d’énergie ça va être terrible ((rires)),2,11
202,bah nan parce qu’on aura trouvé un moyen d’ici là soyons positifs  et ça éviterai de gaspiller le comment dire le fait qu’il y ait plus de place forcément construire des immeubles un peu dégueu partout tu fais des trucs sous-marins,2,11
203,sous-marins on bousille déjà tout ((rires)),2,11
204,nan c’est c’est par exemple faut pas penser à c’est faisable ou pas en fait,1,4
205,c’est pas une question de faisable c’est une question aussi  d’atteinte à l’environnement moi je pense,2,11
206,pour pouvoir prendre la lumière et tu fais la même chose enfin les tu fais comme le tournesol en fait avec des panneaux photovoltaïques par exemple,1,1
207,ouais ouais c’est  donc tu vois c’est comme fonctionne les tournesols qui se tournent en fonction du soleil en fait là t’es tu maximises ton apport énergétique sur des panneaux photovoltaïques après faut aussi dire que t’as du photovoltaïque,1,1
208,nan mais après on n’est pas des ingénieurs enfin moi je suis pas ingénieur tout ça on va pas forcément calculer à chaque fois si  le rapport énergétique parce qu’on peut pas le calculer,1,1
209,bah nan mais si c’est clair que c’est une perte ça sert à rien quoi enfin,2,11
210,nan mais si ça bouge un tout petit peu c’est rien du tout,2,11
211,oui nan mais ce que je veux dire ce je veux dire c’est qu’on sous-entend que si on propose on sous-entend que c’est avantageux de ce point de vue là,1,1
212,ah ouais c’est faisable et d’un point de vue énergétique je pense que c’est rentable après ça dépend la taille de ton panneau et le système que t’emploies pour le faire tourner et son poids et t’as plein de facteurs qu’on va pas faire maintenant tu vois à étudier mais en soit je pense que c’est idée quoi,1,1
213,ouais ouais c’est plutôt c’est plutôt en termes d’imperméabilisation des sols et de consommation d’énergie aussi dans les deux cas c’est vertical en étant,2,11
214,après dans un rapport de diffusion du coup c’est plus facile de s’ordonner dans un immeuble parce que t’es beaucoup plus resserré quoi,2,11
215,pour que tout le monde soit justement sur un pied d- y’a pas de hiérarchisation par la distance y’a rien tu vois  on est tous on essaye de mettre une équidistance entre toutes les habitations et les points  publics donc d’espaces collaboratifs,2,10
216,moi j’étais ouais j’ai réfléchis un peu mais le vote je me dis au final c’est un peu facile si tu dis en dernier recours tu votes bah ça fait que tu vas jamais faire l’effort de,2,9
217,t’as un droit de véto mais le truc c’est que tu peux pas toujours l’employer quoi parce que sinon enfin je considère vachement que les gens sont aussi y’a des gens qui sont dans l’opposition permanente et qui,2,9
