,L,PAROLES,Dimension Dialogique,Dimension Epistémique,Domaine,N,Unnamed: 3
30,L2,alors heu ce qui se passe en fait c’est que enfin si tu veux vraiment tendre vers un quartier à mon avis en termes de monnaie d’incitation monétaire qui va vraiment vers une collaboration il faut que ça soit le quartier qui investisse dans les dans les sous dans les équipements que ce soit les perceuses donc tu crées des ateliers de fabrication des choses comme ça et que notamment dans les équipements que tu utilises de temps en temps ou à lourd budget et pas les gens parce que t’as forcément parce que voilà si c’est le quartier qui les a après tu as juste une cogestion ou je ne sais pas un calendrier collaboratif heu sur un ipad quoi,Arg+,FAI,économique,,
31,L3,bah après je pense que ça va dépendre des équipements enfin ça va être valable heu ,Préc,0,,78,
32,L2,oui clairement,[+],0,,79,
33,L3,pour la machine à laver on peut le faire avec je ne sais pas des perceuses,Préc,0,,80,
34,L2,je pensais plutôt ouais je pensais plutôt,0,0,,81,
35,L4,il a pris l’exemple du bricolage,Préc,0,,82,
36,L3,oui voilà mais après si toi tu as un truc je sais pas heu du sel du verre de je sais pas quoi on ne va pas acheter tout ça en groupé ,Arg-,FAI,économique,,
37,L4,bah nan,[+],0,,84,
38,L2,non clairement évidemment ça oui oui évidemment ,[+],0,,0085a,
39,L2,nan je pensais justement aux équipements qui coûtent beaucoup et tu utilises peu enfin des choses ou en fait qui ont un véritable coût d’opportunité à soit prêter soit à louer ,Arg-,FAI,économique,,
40,L2,et enfin c’est un peu la notion de quartier je trouve ça je trouve que tu as 30 000 façons tu peux le faire tu sais des relations monétaires ou des relations d’entraide des relations d’entraide pure je trouve ça bizarre mais enfin ce n’est pas la première question,Arg-,VA,relations sociales,,
41,L4,nan mais ce qui est quand même intéressant c’est que moi c’est quelque chose que j’ai souligné dans la question d’après que pour moi enfin la manière dont je voyais un peu les choses c’est qu’il y avait un peu une sorte ouais une sorte d’autorité du quartier avec comme ça son propre heu son propre compte bancaire consolidé par les gens en fait qui qui du coup heu qui du coup investissait dans ces différentes choses comme ça et du coup ils mutualisent sur le quartier donc avoir une laverie par exemple des trucs comme ça mais que ce soit,P4,0,,86,
42,L3,mais après il faut voir comment on gère le compte bancaire,Q,0,,87,
43,L4,nan mais tu vois oui c’est ça mais en gros il a son propre argent et en fait avec le c’est le quartier ce n’est pas directement les gens qui achetaient,Préc,0,,89,
44,L3,je pense que pour les gros investissements genre,0,0,,90,
45,L2,tu mets en place une cotisation par an,P5,0,,91,
46,L4,ouais,[+],0,,92,
47,L2,tu mets en place une cotisation en fonction de tes utilisations,Préc,0,,0093a,
48,L2,c’est des trucs que tu peux capter aujourd’hui avec les capteurs tu peux savoir combien de fois tu utilises la laverie par an et donc tu ajustes la cotisation d’après en fonction de ce que tu utilises comme équipement,Arg+,FAI,faisabilité,,
49,L2,ce qui fait que le mec qui ne veut rien utiliser et qui a tout chez lui bah il paie un euro et celui qui compte sur le quartier il paiera dix euros sachant que c’est genre le grand nombre donc plein de personnes qui payent 10 euros tu achètes quatre perceuses ça suffit pour la ville,Arg+,VA,équité,,
50,L3,ah donc tu verrais une possibilité d’avoir une laverie chez toi et une laverie généralisée,Préc,0,,94,
51,L2,bah en fait ça dépend des gens s’il y a quelqu’un qui ne veut pas participer,Préc,0,,95,
52,L4,une machine à laver plutôt pas une laverie on va faire une laverie chez moi ((rires)),Préc,0,,96,
53,L1,ceux qui veulent économiser de l’espace chez eux pour ne pas pour pas niquer l’espace et mettre une laverie par exemple et bah du coup ils pourraient se reporter sur la laverie commune,Arg+,VA,équité,,
54,L2,et tu paies une cotisation finalement en fonction de ça,Préc,0,,98,
55,L3,d’accord ok c’est pas mal,[+],0,,99,
56,L1,et ta cotisation augmente,Préc,0,,100,
57,L2,parce que c’est un peu le bonheur avec les capteurs aujourd’hui et l’internet d’émission on peut savoir exactement enfin si t’acceptes en fonction de enfin voilà savoir exactement quelles sont tes activités collaboratives ou pas donc par rapport à combien de fois tu as réservé cette salle-là combien de fois tu as utilisé cet atelier-là combien de fois tu as pris des cours avec le voisin de maths etc etc après le fait de le savoir tu as une forme monétaire mais plus sous forme de cotisation,Arg+,FAI,utilité,,
58,L3,oui mais donc dans ce cas tu te ferais payer,Q,0,,102,
59,L2,c’est une petite cotisation par an ,Préc,T12,,0103a,
60,L2,mais c’est plus une cotisation où le coût de revient est égal à zéro,Arg+,FAI,économique,,
61,L1,oui mais normalement c’est censé s’équilibrer,Arg+,FAI,économique,,
62,L2,oui ça s’équilibre c’est-à-dire ça ne coûte rien à la communauté,Arg+,FAI,économique,,
63,L3,oui au départ ça va coûter cher parce qu’il faut payer les nouvelles installations etc mais après,Arg-,FAI,économique,,
64,L2,ouais c’est ça mais après ouais en fait tu  en fait c’est,0,0,,107,
65,L1,oui la première année elle ne sera pas rentabilisée tout de suite mais ça serait sur le long terme,Arg+,FAI,économique,,
66,L2,oui nan mais c’est ça oui moi je pense c’est ça,[+],0,,109,
67,L3,ou alors c’est au moment où tu paies ton appart que déjà tu as tout l’investissement qui est fait que c’est le constructeur qui met en place tout et toi quand tu rentres l’année 1 c’est valable comme une année normale quoi,P6,0,,110,
68,L2,tu paies c’est tu paies  même ouais c’est ça  enfin moi  ,0,0,,111,
69,L3,parce que sinon si on doit faire face à tous les problèmes dès le départ genre acheter des tas de trucs ça va peut-être être trop lourd,Arg+,FAI,économique,,
70,L2,nan nan c’est clair,[+],0,,113,
71,L3,ça va demander beaucoup de temps,Préc,0,,114,
72,L2,l’organisation d’un quartier collaboratif ouais  ,[+],0,,0115a,
73,L3,moi j’aurais juste rajouté pour les objectifs du quartier c’est vivre bien moins cher aussi parce que si on n’a pas à acheter son matériel perso etc ça va revenir moins cher ,P7,0,,0118a,
74,L3,et aussi avec une tolérance à l’environnement c’est-à-dire qu’il faut réfléchir à cette notion-là c’est-à-dire qu’on y vive bien etc qu’on s’échange les trucs mais qu’il y ait un système de recyclage qui soit mis en place qu’il y ait un système de production de l’énergie qui soit aussi mis en place etc et au moins qu’on enfin qu’on qu’il y ait cette dimension-là enfin c’est peut-être à cause de mon,P7,0,,0118b,
75,L3,ok j’aimais bien l’idée de confiance quand même que  que tu as dégagé au premier truc  ,Préc,0,,146,
76,L2,ouais création d’une sphère de confiance d’un environnement de confiance en fait,[+],0,,147,
77,L3,ouais où on vit bien  j’avais rajouté aussi un système de quartier qui aussi ne soit pas qu’un quartier-dortoir ,P8,0,,0148a,
78,L3,qu’il y ait aussi des bureaux dedans enfin des sys- enfin qu’à l’échelle du quartier qu’il y ait un ou deux bureaux parce que si la journée c’est complètement mort où tout le monde va travailler,P9,0,,0148b,
79,L2,ouais,[+],0,,149,
80,L1,après il faut qu’on fasse attention à ne pas créer une ville parce que c’est ce dont je me suis rendu compte en fait en écrivant j’étais là en train de me dire il y a un centre de décision et du coup je me suis dit c’est une ville que je suis en train de créer enfin ,Préc,0,,150,
81,L3,ouais c’est vrai mais imagine un super quartier tout bien installé,Préc,0,,151,
82,L1,c’est un bout de ville c’est un quartier hein,Préc,0,,152,
83,L4,oui mais,0,0,,153,
84,L2,prends ça comme un arrondissement,Préc,0,,154,
85,L4,oui mais par rapport aux bureaux ça veut dire que,Q,0,,155,
86,L1,oui voilà mais du coup c’est c’est un arrondissement en fait,[+],0,,156,
87,L4,oui mais ça veut dire que tu dois faire… moi j’ai mis une sorte de supérette dans le quartier,P10,0,,157,
88,L3,oui une supérette un commerce mais peut-être que,[+],0,,158,
89,L4,mais pas de bureaux tu vois ,P11,0,,0159a,
90,L4,c’est heu c’est difficile parce que les gens ont un travail tellement différent je veux dire on des emplois tellement différents,Arg+,FAI,faisabilité,,
91,L3,pas forcément un bureau pour le quartier  un bureau généralisé on peut embaucher d’autres gens de la ville etc,Arg-,FAI,faisabilité,,
92,L4,oui mais ça serait quoi leur travail ?,Q,0,,161,
93,L3,je ne sais pas un travail heu,Préc,0,,162,
94,L2,pour illustrer ce que tu disais en fait je me souviens d’une infographie d’un truc qui date de quelques années où il y avait un gars qui avait modélisé aux États-Unis par rapport à la France la répartition des quartiers des activités dans les quartiers type bars type n’importe quoi et la répartition des lieux de travail et en fait je crois que c’était heu pas Miami ou Seattle enfin des villes aux Etats-Unis quoi et en fait où t’avais tous les bars qu’étaient dans un quartier et tous les logements travail dans un autre et ça faisait une ville totalement schizophrène où d’un côté c’était des buildings à l’euphorie un peu comme s’il y avait que la Défense et que Oberkampf  à Paris c’était un peu ça mais très éloignés,Arg+,VA,agréabilité,,
95,L1,et tu passes d’un truc très calme et à une ville qui bouge ouais,Préc,0,,164,
96,L4,bah c’est assez éloigné hein ((rires)),0,0,,165,
97,L2,nan mais et le troisième quartier qui était un quartier genre d’habitations et en fait ça faisait des villes pas du tout homogènes où les gens vont de leur travail à leur,Arg+,VA,agréabilité,,
98,L3,et puis la journée c’est complètement mort,Arg+,VA,agréabilité,,
99,L2,la journée bah,0,0,,168,
100,L1,tout dépend du quartier où t’es,Préc,0,,169,
101,L3,oui,[+],0,,170,
102,L2,ouais mais voilà nan mais c’est ça,[+],0,,171,
103,L1,parce que du coup tu as un quartier qui bouge ,Préc,0,,172,
104,L2,en fait ça fait des quartiers vraiment habités à certaines heures et le reste totalement mort et ils comparaissaient à Paris où en fait à Paris bah t’as les cafés sont placés de manière vachement enfin heu,Arg+,VA,agréabilité,,
105,L4,aléatoire,Préc,0,,174,
106,L2,aléatoire ouais il y en a un peu partout et les lieux de travail aussi c’est-à-dire que tu ,Préc,0,,175,
107,L1,ouais c’est ça,[+],0,,176,
108,L2,enfin je ne sais pas t’en trouves à Beaubourg et à côté un peu partout,Préc,0,,177,
109,L1,bah déjà sur le secteur gastronomique ,Préc,0,,178,
110,L2,ouais,Préc,0,,179,
111,L1,le quartier chinois italien,Préc,0,,180,
112,L2,clairement ouais mais même tu trouves plein d’agences de pub un peu dans tous les quartiers enfin des trucs comme ça  ,Préc,0,,181,
113,L2,c’est juste qu’ils disaient que enfin tu voyais des quartiers beaucoup plus vivants où les gens se rencontraient beaucoup plus quand tu avais des lieux de travail qui étaient un peu plus mélangés avec les lieux d’habitation et les lieux de sortie,Arg+,VA,relations sociales,,
114,L3,je pensais genre juste à peut-être pas un bâtiment mais une partie de bâtiment qui soit avec un petit bureau ou une supérette ou,Préc,0,,184,
115,L2,ouais ouais moi je suis d’accord avec ça,[+],0,,185,
116,L4,ouais du coup je marque quoi je marque heu ,[+],0,,186,
117,L3,bah,0,0,,187,
118,L4,emploi à proximité,Préc,0,,188,
119,L3,oui voilà emploi à proximité,[+],0,,189,
120,L4,emploi à proximité et café à proximité,P12,0,,190,
121,L2,ouais tu fais quartier hétérogène,[+],0,,191,
122,L1,Emploi et école,P13,0,,192,
123,L2,quartier hétérogène entre ouais c’est ça,[+],0,,193,
124,L3,école ils vont peut-être se plaindre à cause du bruit,Arg-,FAI,nuisance,,
125,L1,oui et non parce que du coup il ne faut pas qu’ils fassent trois kilomètres pour déposer leurs enfants heu que ça soit galère au niveau de la crèche pour les récupérer enfin,Arg+,FAI,utilité,,
126,L3,Pierre lui il avait même prévu de créer un système de crèche dans le quartier finalement c’est comme toi,Préc,0,,196,
127,L4,ouais,[+],0,,197,
128,L4,alimentation eau et électricité,0,0,,239,
129,L2,heu bah allez y,0,0,,240,
130,L1,heu électricité panneaux solaires ,P14,0,,0241a,
131,L1,récupération de l’eau de pluie ,P15,0,,0241b,
132,L1,centre de filtrage,P16,0,,0241c,
133,L2,ah ouais c’est bien ça récupération d’eau de pluie,[+],0,,242,
134,L3,heu ouais c’est quasiment la même chose mais éolienne ,P17,0,,0243a,
135,L3,ça dépend du lieu s’il y a du vent ou pas c’est pas nécessairement c’est pas obligatoire,Préc,0,,0243b,
136,L1,j’y ai pensais aussi mais ça fait énormément de bruit et dans un quartier ça tue,Arg-,FAI,nuisance,,
137,L3,bah heu ouais je sais pas je sais que ça avait déjà été mis en place dans un endroit des éoliennes et que ça avait fait,Préc,0,,245,
138,L1,ah oui nan nan c’est totalement possible mais en fait j’ai y’a y’a il y a une amie à ma mère qui habite en banlieue parisienne enfin plus loin que la banlieue parisienne  elle a l’aéroport à quelques kilomètres et elle a des éoliennes pas loin ,Arg-,FAI,nuisance,,
139,L3,oula,0,0,,247,
140,L1,les deux la journée quand c’est pas quand c’est quand c’est je dis une connerie 3000 avions qui passent par jour  c’est un bruit énorme horrible et quand ce n’est pas les avions t’as les éoliennes qui font du bruit aussi donc du coup les deux associés elle a la tête comme ça,Arg-,FAI,nuisance,,
141,L3,ouais,[+],0,,249,
142,L1,donc ça marche très bien  mais c’est horrible la vie en communauté là c’est horrible  les les personnes âgées les enfants ils vont péter un câble avec ça à côté,Arg-,FAI,nuisance,,
143,L4,en plus ça demande de la place hein,Arg-,FAI,taille,,
144,L3,oui nan mais ça demande oui nan mais c’est pas c’est pas au sein de la communauté c’est pas au sein du quartier c’est assez loin mais,Arg+,FAI,taille,,
145,L4,alors moi j’ai marqué heu moi je voyais le truc un peu de façon pyramidale  t’avais le quartier on va dire qu’il est centralisé pour les ressources en eau en électricité et qu’à partir de ça tu as t’avais genre que il c’est alloué aux habitations  ,P18,0,,263,
146,L2,en fonction des besoins ?,Q,0,,264,
147,L4,en fonction des besoins et en fonction aussi en essayant de,Préc,0,,265,
148,L1,((tends sa feuille à L4)) bah du coup c’est un système où en bleu tu produis et en vert tu répartis  tu redispatch,Préc,0,,266,
149,L4,ouais,0,0,,267,
150,L3,et heu ouais donc panneaux solaires mais aussi un système heu,0,0,,272,
151,L4,genre autosuffisance heu ,0,0,,273,
152,L3,électrique,0,0,,274,
153,L4,ouais,0,0,,275,
154,L3,avec solaire ,0,0,,276,
155,L2,ah je je ouais pas mal,0,0,,277,
156,L3,j’avais aussi une idée pour les lampadaires mettre chacun leur coller un petit truc solaire au-dessus,P19,0,,278,
157,L1,c’est pas mal ça,[+],0,,279,
158,L3,c’est toujours sur chaque truc on essaye de caser  et aussi le chauffage parce qu’en fait les les panneaux solaires en fait ça fait ça dégage quelquefois ça surchauffe et créer un système de ventilation qui passe en dessous et qui chauffe déjà heu heu l’air et chauffe l’air et qu’après on le répartisse ,P20,0,,0280a,
159,L3,ce qui évite d’avoir à payer en plus du chauffage pour continuer à chauffer l’air,Arg+,FAI,économique,,
160,L1,l’intérieur,Préc,0,,281,
161,L2,c’est cool ça,[+,0,,282,
162,L3,et aussi un système de de de truc sous-terrain c’est-à-dire en fait par exemple c’est l’idée que le sol il est à 15° tout de temps,P21,0,,283,
163,L4,ouais la géothermie ,Préc,0,,284,
164,L2,ouais,0,0,,285,
165,L3,et heu donc du coup plutôt que d’avoir à chauffer en hiver par exemple il fait 0° tu fais passer sous un tuyau ça chauffe l’air jusqu’à 15° tu as donc juste à chauffer 5° d’écart ce qui évite à avoir à en rajouter ((acquiescements général)),Préc,0,,286,
166,L3,heu alors vous aviez mis quoi vous comme objectifs du quartier,Q,0,,1,
167,L4,faciliter la vie collaborative,P1,0,,2,
168,L3,ouais,0,0,,3,
169,L4,réduire le prix d’achat d’un logement,P2,0,,4,
170,L3,ouais,0,0,,5,
171,L4,"c’est directement relationné hum aider la planète, avec la réduction des polluants",P3,0,,0006a,
172,L3,hum hum,0,0,,7,
173,L4,réduire la consommation d’énergie non renouvelable,P4,0,,8,
174,L3,ok,0,0,,9,
175,L4,et après je n’avais pas le temps pour continuer,0,0,,10,
176,L3,nan mais c’est déjà pas mal et toi t’avais mis quoi,I,0,,11,
177,L2,heu quartier autosuffisant,P5,0,,12,
178,L3,ouais,0,0,,13,
179,L2,on tout est,0,0,,14,
180,L3,ouais ouais tout est de ouais ouais carrément,0,0,,15,
181,L2,"on n’a pas besoin de tout est produit localement on n’a pas besoin de heu, on minimise la production de déchets ",Préc,0,,16,
182,L3,ouais,0,0,,17,
183,L2,heu et heu quartier où il fait bon vivre,P6,0,,18,
184,L3,ouais ok,0,0,,19,
185,L2,ouais c’est ça,0,0,,20,
186,L3,d’accord heu moi j’avais mis c’était moins détaillé j’avais juste mis heu que les habitants soient heureux et épanouis,P7,0,,21,
187,L2,d’accord,0,0,,22,
188,L3,mais du coup je trouve que enfin je sais pas toi t’en penses quoi le côté autosuffisant je trouve que ça réunit bien les problématiques,[+],0,,23,
189,L2,ouais,0,0,,24,
190,L3,et après heu,0,0,,25,
191,L4,oui la la question c’est qui sont les gens je pense c’est pas tout le monde qui fait ça qui a les choses qui comment je vais dire ça tous les quartiers collaboratifs aujourd’hui font la même chose le but c’est ils utilisent de l’énergie renouvelables,Arg+,FAI,efficacité,,
192,L3,ouais c’est d’être heu plus moins consommateur,[+],0,,27,
193,L2,ouais,[+],0,,28,
194,L3,donc du coup je peux prendre ton stylo pour écrire,0,0,,29,
195,L4,oui,0,0,,30,
196,L2,tu penses heu oui le fait d’être autosuffisant on va consommer juste ce qui est produit localement,P8,0,,31,
197,L3,ouais et du coup ça réduit forcément,[+],0,,32,
198,L2,ouais,0,0,,33,
199,L3,du coup ça te va autosuffisant ?,Q,0,,34,
200,L4,oui,0,0,,35,
201,L3,ok,0,0,,36,
202,L4,on peut créer des listes je pensais,0,0,,37,
203,L3,ouais ouais carrément,0,0,,38,
204,L2,"moi aussi j’ai pensé au fait que le coût d’exploitation et de maintenance du quartier il soit raisonnable, c’est dans l’idée autosuffisant on n’aura pas besoin",Préc,0,,39,
205,L3,mais après heu ouais ,[+],0,,40,
206,L2,ouais faut qu’il y ait une banque,P9,0,,41,
207,L3,nan mais je trouve ça cool autosuffisant dans le sens où ça t’oblige à faire plein de projets de façon à faire des trucs localement ,Arg+,VA,engagement,,
208,L2,voilà,[+],0,,43,
209,L3,et ça oblige les habitants à se bouger pour faire des trucs tu vois,Arg+,VA,engagement,,
210,L2,voilà,[+],0,,45,
211,L4,à ton avis quelle catégorie de gens qui cherchent habiter dans un quartier collaboratif,Q,0,,46,
212,L3,moi je pense c’est d’être aussi pas tout seul à faire les trucs en commun tu vois,Arg+,VA,engagement,,
213,L4,"Seulement je pense qu’il peut être une personne qui, je pense à je suis seul et je voudrais beaucoup habiter avec qui dans une ambiance collaborative, c’est une idée mais en même temps je pense qui sont les gens qui aiment beaucoup les énergies renouvelables ? ",Q,0,,48,
214,L3,oui,0,0,,49,
215,L2,ouais et je pense qu’il y a beaucoup de personnes dans ce cas et heu beaucoup de citoyens qui veulent se sentir responsables,Arg+,VA,engagement,,
216,L3,ouais,[+],0,,51,
217,L2,heu vis-à-vis de l’environnement vis-à-vis de l’économie et donc,Arg+,VA,engagement,,
218,L4,je pense que ça serait bien de mettre ça aussi,[+],0,,53,
219,L3,les coûts ?,Q,0,,60,
220,L2,les déchets des produits,Préc,0,,61,
221,L3,ouais et du coup le,0,0,,62,
222,L4,ah oui ça c’est intéressant,[+],0,,63,
223,L3,genre recycler au maximum,P10,0,,64,
224,L2,voilà,[+],0,,65,
225,L4,c’est pas seulement minimiser mais recycler ,Préc,0,,72,
226,L3,ouais,[+],0,,73,
227,L2,voilà justement en recyclant on minimise heu on va soit éviter de d’avoir des emballages inutiles soit recycler pour ne pas jeter donc voilà,Arg+,FAI,efficacité,,
228,L4,oui,[+],0,,75,
229,L2,c’est recycler aussi,Préc,0,,76,
230,L3,donc je mets recycler au maximum,0,0,,77,
231,L2,ouais recycler et minimiser la production de déchets parce que par exemple pour la minimiser pour qu’on n’ait même pas besoin de recycler des fois au lieu d’avoir un emballage heu y’a des emballages qui servent à rien on va pas les on va pas utiliser l’emballage puis le recycler parce que le recyclage ça va avoir un coût on va heu d’entrée ne pas avoir d’emballage,Arg+,FAI,efficacité,,
232,L2,ouais recycler et minimiser la production de déchets parce que par exemple pour la minimiser pour qu’on n’ait même pas besoin de recycler des fois au lieu d’avoir un emballage heu y’a des emballages qui servent à rien on va pas les on va pas utiliser l’emballage puis le recycler parce que le recyclage ça va avoir un coût on va heu d’entrée ne pas avoir d’emballage,Arg+,FAI,économique,,
233,L3,non mais carrément,[+],0,,79,
234,L2,ouais donc heu,0,0,,80,
235,L3,heu autosuffisance je mets juste entre parenthèses du coup énergie alimentation etc. ?,Q,0,,81,
236,L2,voilà,0,0,,82,
237,L3,je précise ok,0,0,,83,
238,L4,oui ça c’est intéressant,0,0,,84,
239,L3,"Energie, alimentation ((écrit))",0,0,,85,
240,L2,"même service on va avoir heu, on va pas faire appel à un mec  pour bricoler des trucs de bricolage",Préc,0,,86,
241,L3,ouais ouais,[+],0,,87,
242,L2,ouais,0,0,,89,
243,L3,et du coup est-ce que moi je peux mettre heu je fais peut-être un peu dictatrice mais sur l’épanouissement enfin qu’il n’y ait pas d’exclusion que ce soit un quartier qui rende vraiment toute sa population et qu’il y ait pas: enfin tu vois que tous les gens soient là aussi pour être épanouis et heureux,P7,0,,90,
244,L2,ouais je pense,[+],0,,91,
245,L3,"heu au-delà des aspects matériels de recyclage, on fait moins de mal à la planète etc. le côté épanouissement personnel",Préc,0,,92,
246,L2,oui où il fait bon vivre,[+],0,,93,
247,L3,voilà c’est ça ouais ,0,0,,94,
248,L2,ouais,0,0,,95,
249,L3,ça te va ?,Q,0,,96,
250,L4,oui c’est bien enfin c’est justement ce que j’avais écrit ici,[+],0,,97,
251,L3,Heu alimentation eau et électricité vous avez mis quoi ?,Q,0,,145,
252,L2,c’est l’eau et l’électricité là,0,0,,146,
253,L3,ouais ,0,0,,147,
254,L2,ouais d’accord,0,0,,148,
255,L4,ça dépend de la région à mon avis mais on peut faire l’utilisation des panneaux solaires,P11,0,,149,
256,L3,ouais moi aussi j’ai mis ça,[+],0,,150,
257,L4,et énergie du vent,P12,0,,151,
258,L3,ouais,[+],0,,152,
259,L4,heu énergie créée à partir d’une force mécanique ça vous dit j’ai j’ai déjà vu ça c’est très intéressant ,P13,0,,153,
260,L3,ah oui bah vas y,[+],0,,154,
261,L4,et les piétons les piétons ils marchent,Préc,0,,155,
262,L3,et ça créé de l’énergie,Préc,0,,156,
263,L4,ouais ils créent de l’énergie et on garde cette énergie avec une batterie ou quelque chose comme ça,Préc,0,,157,
264,L3,c’est exactement ce que j’ai mis,[+],0,,158,
265,L4,ça c’est très intéressant,0,0,,159,
266,L3,cool ,0,0,,160,
267,L4,alors oui heu,0,0,,161,
268,L3,moi j’avais mis éolienne aussi ,[+],0,,0162a,
269,L3,les solaires,[+],0,,0162b,
270,L4,ah l’éolienne c’est ça le mot que je cherchais,0,0,,163,
271,L3,et ouais éoliennes j’avais mis mais des jolies éoliennes parce que j’ai vu qu’ils sont en train de développer des éoliennes en forme d’arbres et en fait le vent il fait enfin ils font des fausses feuilles et le vent bouge les feuilles et du coup c’est ça crée de l’énergie,Arg+,FAI,esthétique,,
272,L4,ah c’est pour créer une ambiance ou quelque chose comme ça ?,Q,0,,165,
273,L3,bah c’est du coup c’est joli et en plus ça crée de l’énergie parce que les éoliennes c’est moche,Arg+,FAI,esthétique,,
