,PAROLES,Dimension Dialogique,Domaine
213,Il faut aussi penser à l'imperméabilisation des sols et à la consommation énergétique des structures verticales,Arg_value,écologique
214,"Dans un immeuble, la proximité facilite l'organisation",Arg_value,écologique
215,L'objectif est d'assurer l'égalité sans hiérarchie basée sur la distance entre les logements et les espaces publics,Arg_value,équité
216,Rendre le vote comme ultime recours semble simpliste et peut décourager les efforts de consensus,Arg_value,engagement
217,L'usage systématique du droit de veto par des opposants permanents peut être problématique,Arg_value,engagement
218,Il s'agit plus de convaincre que de forcer une décision sans vote,Arg_value,engagement
219,Cela devient plus un outil qu'une approche globale de résolution,Arg_fact,utilité
220,Les opinions sur ce qui est positif ou négatif peuvent varier,Arg_fact,praticité
221,Lister les avantages et les inconvénients peut être une méthode efficace de résolution,Arg_fact,praticité
222,Se focaliser sur un détail peut sembler limité dans le contexte d'une solution globale,Arg_fact,utilité
223,"Sans méthode définie pour gérer les oppositions, comment procéder ",Arg_fact,utilité
224,Cela force les opposants à contribuer à trouver une solution,Arg_value,engagement
225,Mais leurs propositions pourraient ne pas convenir à tous,Arg_fact,praticité
226,L'idée est de rester aligné avec les propositions initiales autant que possible,Arg_fact,praticité
227,Une personne contre peut trouver de nombreux arguments si elle est plus perspicace,Arg_fact,praticité
228,"Le plus souvent, l'opposant peut sembler difficile sans proposer de solution viable",Arg_fact,praticité
229,"Si tu es contre une proposition, ta solution alternative doit être satisfaisante",Arg_fact,praticité
230,"Les désaccords ne seront pas fréquents, mais ils sont possibles",Arg_fact,praticité
231,Cela peut ouvrir de nouvelles pistes de réflexion,Arg_fact,praticité
232,"L'essentiel est de contribuer à trouver une solution, même partiellement",Arg_value,engagement
233,Il faut justifier son opposition et ensuite participer à la recherche de solutions,Arg_value,engagement
234,Être actif dans la recherche de solutions est crucial en cas d'opposition,Arg_value,engagement
235,Rester systématiquement opposé sans proposer d'alternatives n'est pas constructif,Arg_value,engagement
236,Être constamment en désaccord est facile sans chercher de solutions,Arg_value,engagement
237,"J'ai des doutes sur l'efficacité, car l'opposant peut ne pas trouver de consensus",Arg_fact,praticité
238,Des alternatives comme le bus pourraient être envisagées pour éviter un achat inutile,Arg_fact,praticité
239,Lister les pour et les contre est aussi utile,Arg_fact,praticité
240,"Si un consensus n'est pas atteint sur un achat, chercher une meilleure option est possible",Arg_fact,praticité
241,Il est important de concrétiser les idées pour avancer,Arg_fact,praticité
242,Signaler un problème communautaire permet une intervention rapide par les membres les plus aptes,Arg_fact,utilité
243,Créer une culture communautaire aide à dépasser l'individualisme pour le bien de la communauté,Arg_value,engagement
244,Une majorité claire tend à favoriser l'avis du groupe dominant,Arg_value,équité
245,Cela donne tout de mê,Arg_value,équité
246,,Arg_value,relations sociales
247,,Arg_value,relations sociales
