N;L;PAROLES;Dimension Dialogique;Dimension Epistémique
;;;(P10);(efficacité, économique)
79;L3;non mais carrément;[+];0
;;;-78;
80;L2;ouais donc heu;0;0
81;L3;heu autosuffisance je mets juste entre parenthèses du coup énergie alimentation etc. ?;Q;0
82;L2;voilà;0;0
83;L3;je précise ok;0;0
84;L4;oui ça c’est intéressant;0;0
85;L3;Energie, alimentation ((écrit));0;0
86;L2;même service on va avoir heu, on va pas faire appel à un mec  pour bricoler des trucs de bricolage;Préc;0
87;L3;ouais ouais;[+];0
;;;-86;
89;L2;ouais;0;0
90;L3;et du coup est-ce que moi je peux mettre heu je fais peut-être un peu dictatrice mais sur l’épanouissement enfin qu’il n’y ait pas d’exclusion que ce soit un quartier qui rende vraiment toute sa population et qu’il y ait pas: enfin tu vois que tous les gens soient là aussi pour être épanouis et heureux;P7;0
91;L2;ouais je pense;[+];0
;;;-90;
92;L3;heu au-delà des aspects matériels de recyclage, on fait moins de mal à la planète etc. le côté épanouissement personnel;Préc;0
93;L2;oui où il fait bon vivre;[+];0
;;;-92;
94;L3;voilà c’est ça ouais ;0;0
95;L2;ouais;0;0
96;L3;ça te va ?;Q;0
97;L4;oui c’est bien enfin c’est justement ce que j’avais écrit ici;[+];0
;;;-92;
145;L3;Heu alimentation eau et électricité vous avez mis quoi ?;Q;0
146;L2;c’est l’eau et l’électricité là;0;0
147;L3;ouais ;0;0
148;L2;ouais d’accord;0;0
149;L4;ça dépend de la région à mon avis mais on peut faire l’utilisation des panneaux solaires;P11;0
150;L3;ouais moi aussi j’ai mis ça;[+];0
;;;-149;
151;L4;et énergie du vent;P12;0
152;L3;ouais;[+];0
;;;-151;
153;L4;heu énergie créée à partir d’une force mécanique ça vous dit j’ai j’ai déjà vu ça c’est très intéressant ;P13;0
154;L3;ah oui bah vas y;[+];0
;;;-153;
155;L4;et les piétons les piétons ils marchent;Préc;0
156;L3;et ça créé de l’énergie;Préc;0
157;L4;ouais ils créent de l’énergie et on garde cette énergie avec une batterie ou quelque chose comme ça;Préc;0
158;L3;c’est exactement ce que j’ai mis;[+];0
;;;-157;
159;L4;ça c’est très intéressant;0;0
160;L3;cool ;0;0
161;L4;alors oui heu;0;0
0162a;L3;moi j’avais mis éolienne aussi ;[+];0
;;;-151;
0162b;L3;les solaires;[+];0
;;;-149;
163;L4;ah l’éolienne c’est ça le mot que je cherchais;0;0
164;L3;et ouais éoliennes j’avais mis mais des jolies éoliennes parce que j’ai vu qu’ils sont en train de développer des éoliennes en forme d’arbres et en fait le vent il fait enfin ils font des fausses feuilles et le vent bouge les feuilles et du coup c’est ça crée de l’énergie;Arg+;FAI
;;;(P12);(esthétique)
165;L4;ah c’est pour créer une ambiance ou quelque chose comme ça ?;Q;0
166;L3;bah c’est du coup c’est joli et en plus ça crée de l’énergie parce que les éoliennes c’est moche;Arg+;FAI
;;;(P12);(esthétique)
173;L4;comment comment est-ce qu’on va faire si nous sommes dans une région où il n’y a pas de soleil il n’y a pas de vent;Arg-;FAI
;;;(P12);(climatique)
174;L3;comment on fait bah peut-être qu’il y aura de l’eau;Arg+;FAI
;;;(P12);(climatique)
175;L2;ouais heu;0;0
176;L4;de quoi ?;Q;0
177;L3;de l’eau;0;0
178;L2;de l’eau et on peut;0;0
179;L4;ah l’énergie hydr ?;Q;0
180;L3;hydraulique ouais;Préc;0
181;L2;hydraulique voilà ;Préc;0
184;L2;oui après voilà on peut utiliser l’énergie hydraulique pour heu;Arg+;FAI
;;;(P12);(climatique)
185;L3;alors je mets électricité;[+];0
;;;184;
186;L2;donc heu c’est le même principe que y’a aussi le même principe que les éoliennes on va utiliser les courants ;Arg+;FAI
;;;(P12);(climatique)
187;L3;marins;Préc;0
0192a;L2;on va utiliser c’est un peu le même principe que les éoliennes les hélices elles vont être dans l’eau ;Arg+;FAI
;;;(P12);(climatique)
0192b;L2;j’ai pensé moi à l’utilisation des alors dans le même principe que les pour les salles de sport ;P13;0
193;L3;utiliser la force générée par les;Préc;0
194;L2;voilà;0;0
195;L3;ouais;0;0
196;L2;et les vélos;Préc;0
197;L3;ouais;0;0
198;L2;le principe c’est si on se déplace en vélo ;Préc;0
199;L3;et de garder heu;0;0
200;L2;ouais on peut recharger son portable;Préc;0
201;L3;ouaisj’ai ça aussi ouais c’est ce que j’avais mis c’est cool on avait mis les mêmes choses ;[+];0
;;;-200;
215;L4;et on peut utiliser l’énergie de l’hydrogène par exemple;P14;0
216;L3;de l’hydrogène ?;Q;0
217;L4;c’est;0;0
218;L2;comment tu fais ça ?;Q;0
219;L4;c’est un processus où on crée des isotopes d’hydrogène et avec ça il y a une libération d’énergie;Préc;0
220;L2;oui mais ça c’est du nucléaire du coup;Arg-;FAI
;;;(P14);(écologique)
221;L4;ce n’est pas tout à fait nucléaire mais c’est le même principe je crois;Arg+;FAI
;;;(P14);(écologique)
222;L2;est-ce que c’est réalisable dans le cadre d’un quartier ?;Q;0
223;L4;c’est ça que je demande ((utilise son ordinateur)) je pense que oui parce que j’ai déjà vu y’a des voitures qui utilisent ça;Arg+;FAI
;;;(P14);(Faisabilité)
224;L3;du coup j’ai mis force mécanique salle de sport déplacements en vélo;0;0
225;L2;oui heu même les déplacements à pied ça sert à ça c’est le même principe;Préc;0
226;L3;ouais ok ;[+];0
;;;-225;
227;L2;ça va être le même principe;Préc;0
228;L3;après on peut pas heu tirer tu sais du genre du fait d’avoir des déchets il n’y a pas un moyen d’en tirer de l’énergie;P15;0
229;L2;heu;0;0
230;L3;près ça je ne connais pas trop;0;0
231;L2;oui heu parce que;0;0
232;L3;parce que ça dégage de la chaleur;Préc;0
233;L2;voilà ça dégage de la chaleur on va réutiliser ça;Arg+;FAI
;;;(P15);(efficacité)
234;L3;je le mets;0;0
235;L2;ouais on pourrait utiliser aussi réutilisation de la chaleur, je pense j’y réfléchis encore parce que peut-être dans le cadre d’un quartier ce n’est pas important mais si tu as des serveurs vu que tout va être connecté donc tu vas avoir des serveurs les serveurs informatiques et ça produit de la chaleur;P16;0
236;L3;ah ouais ;[+];0
;;;-235;
246;L4;On peut garder l’eau de pluie réutilisation ;P17;0
0246b;L4;utiliser des équipements qui créent de l’eau à partir des particules qu’on trouve dans l’air;P18;0
247;L3;ouais;0;0
248;L4;et fournir par une entreprise responsable;P19;0
249;L3;ok;0;0
0250a;L2;alors moi j’ai mis aussi réutilisation des eaux de pluie ;[+];0
;;;-246;
0250b;L2;alors heu système d’épuration de l’eau voire un système;P20;0
251;L3;ouais en circuit fermé qui recycle oui c’est ce que j’ai mis aussi;[+];0
;;;-251;
252;L2;pour le jardin les plantes on utilise heu;0;0
253;L3;eau de pluie ou heu;0;0
254;L2;heu des systèmes d’arrosage intelligents où tu vas avoir juste ce dont la plante a besoin;P21;0
263;L4;c’est le quartier collaboratif qui va faire le recyclage de l’eau c’est ça ?;Q;0
264;P3;bah faudrait essayer;0;0
265;L2;ça va être un niveau de ouais;0;0
266;L4;parce que je pense c’est une chose heu quand ils vont faire le traitement de l’eau tous seuls c’est on propose mais je pense que ce n’est pas faisable ça dépend de la taille du quartier;Arg-;FAI
;;;(P20);(taille)
267;L3;ouais bah après du coup;0;0
268;L2;ouais c’est vrai oui c’est vrai oui;[+];0
;;;-266;
269;L3;mais comme là on est dans le truc idéal et on ne réfléchit pas à la faisabilité mais juste à des idées;Arg+;FAI
;;;(P20);(faisabilité)
281;L3;toi tu disais récolter l’eau dans les particules d’air c’est ça;Q;0
282;L4;oui on;0;0
283;L2;c’est pas faisable;Arg-;FAI
;;;(P18);(faisabilité)
0284a;L4;c’est faisable ;Arg+;FAI
;;;(P18);(faisabilité)
0284b;L4;la question c’est tu ne peux pas utiliser ça tout le temps parce que tu vas réduire l’humidité de l’air;Arg-;FAI
;;;(P18);(faisabilité)
285;L3;ah oui du coup:;0;0
286;L4;après tu vas avoir un désert;Arg-;VA
;;;(P18);(écologique)
287;L2;et heu;0;0
288;L3;et toi t’étais ah oui utilisation de systèmes intelligents c’est ça ?;?;0
289;L2;d’arrosage intelligents oui;Préc;0
290;L4;poser des microprocesseurs c’est ça poser des petits systèmes embarqués pour contrôler les choses ?;?;0
291;L2;c’est pas on n’a pas besoin de système embarqué c’est un système vu que les plantes heu elles sont dans un même environnement elles ont un même besoin tu as juste un capteur qui va détecter dans le niveau il va détecter le niveau d’humidité la température et aussi au niveau du sol les minéraux et tout et heu voilà c’est pas vraiment… déjà il y en a pour des usages domestiques il y a déjà des systèmes heu des objets connectés pour un pot de fleurs pour que tu saches si elles sont bien;Arg+;FAI
;;;(P21);(utilité)
292;L3;pour savoir à quel moment il faut que t’arroses ta plante et de combien;Arg+;FAI
;;;(P21);(utilité)
293;L2;voilà ouais voilà;[+];0
;;;-292;
294;L3;est-ce que vous aviez d’autres trucs pour l’eau ?;Q;0
295;L4;seulement des que c’est fourni par une entreprise responsable;P19;0
296;L3;ok je mets ça dans quoi du coup ? ah pour récolter l’eau de l’air ?;Q;0
297;L4;ah oui aussi ça tu as déjà posé ça ?;Q;0
298;L3;non justement je ne l’ai pas mis je vais le mettre là;Préc;0
299;L4;et dans les pires cas où il n’y a pas de possibilité de trouver de manière renouvelable de l’eau on va acheter;P23;0
300;L2;pardon;Q;0
301;L4;s’il n’y a pas possibilité de prendre de l’eau de manière renouvelable on va acheter de l’eau ;Préc;0
302;L2;ah ouais donc on peut utiliser le… voilà donc… heu j’ai juste une remarque concernant la technique de là où on récupère l’eau de l’air;Q;0
307;L2;faut qu’on se dépêche mais bon juste pour dire pour l’idée peut-être que est-ce que c’est qu’on peut produire une grande quantité ou pour le coût;Q;0
308;L4;oui je pense j’ai déjà vu de petites machines qui ont produit pour une famille de 5 personnes ;Arg+;FAI
;;;(P18);(efficacité)
309;L2;d’accord;0;0
310;L4;alors si chaque personne il a une machine comme ça;Arg+;FAI
;;;(P18);(efficacité)
311;L3;ouais;0;0
312;L2;d’accord;0;0
313;L3;bah du coup de manière raisonnée pour pas que ça assèche trop l’air;Arg-;VA
;;;(P18);(écologique)
314;L4;oui la question c’est l’humidité de l’air dans ambiance où l’humidité est de 100% c’est pas mal mais si tu comptes c’est 32% c’est impossible de faire;Arg+;FAI
;;;(P18);(efficacité)
315;L3;ok alors ressources partageables;0;0
316;L4;ça c’est;0;0
317;L3;moi je trouve que tout est partageable;P24;0
0318a;L4;oui j’ai écrit ici toutes les ressources énergétiques ;P25;0
0318b;L4;tous les moyens de transport ;P26;0
0318c;L4;mais on peut avoir des éléments privés;P27;0
319;L3;ouais j’ai mis aussi les outils ouais;P28;0
320;L4;et avec une quantité limitée pour chaque personne heu en créant un réseau d’outils basiques à mon avis c’est créer un bâtiment;P29;0
321;L3;ouais avec plein d’outils oui;[+];0
;;;-320;
322;L4;oui et tu peux prêter et tu peux emprunter des choses et en même temps c’est je ne sais pas si on fait une personne responsable pour acheter les choses pour remplir le stock ou si c’est les personnes eux-mêmes;P30;0
323;L3;qui achètent ouais bah je sais pas après ça c’est du détail;0;0
330;L2;heu oui transport heu et on pourrait avoir par exemple des vélos disponibles;Préc;0
331;L3;ouais ouais;[+];0
;;;-330;
332;L4;comme les vélib;Préc;0
333;L3;alimentation aussi ?;Q;0
334;L2;hum;0;0
335;L3;alimentation;Q;0
336;L2;heu;0;0
337;L3;je ne sais pas moi je pensais à des potagers et du coup tout le monde travaille dedans et du coup tout le monde se sert aussi quoi;P31;0
338;L4;c’est compliqué l’alimentation je sais pas ce qui;[-];0
;;;-337;
339;L3;ok mais si vous avez des réserves y a pas de problèmes;Arg+;FAI
;;;(P31);(organisation)
340;L2;l’alimentation ça va être genre les légumes à partager des ressources heu est-ce qu’on va partager genre des légumes ?;Q;0
341;L3;bah ouais c’était plus là-dedans tu vois mais heu;Préc;0
342;L2;oui c’est possible là mais est-ce que là on parle heu oui parce que là quand on parle de ressources partageables c’est pas forcément gratuit donc heu;Q;0
343;L3;ouais ça peut enfin c’est pour ça que ça peut être un peu tout quoi;Préc;0
344;L2;donc voilà moi j’avais noté les outils de bricolage de jardinage;P28;0
345;L3;ouais ça on a mis;[+];0
;;;-344;
346;L2;heu du jardinage les matériels de sport heu matériel comme un tapis heu genre un tapis ;P32;0
347;L3;ouais;[+];0
;;;-346;
348;L2;ouais c’est des machines voilà on peut;Préc;0
349;L3;après moi je pensais heu les dans le genre immatériel les savoirs qui peuvent être partagés avec des ateliers;P33;0
350;L4;oui j’ai pensé la même chose des;[+];0
;;;-349;
351;L2;voilà des;0;0
352;L3;des mélanges de savoirs;Préc;0
353;L4;des workshops c’est ça ?;Q;0
354;L3;ouais ;0;0
355;L2;ouais les vidéos comme c’est comme les vidéos là;Préc;0
356;L3;comme les tutoriels ouais;Préc;0
357;L2;ouais les tutoriels de comment faire;Préc;0
362;L2;donc heu ouais tutoriels cours particuliers;Préc;0
363;L3;ouais voilà après moi je pensais, mais j’étais vraiment dans le genre partage partage du coup tous les trucs qui sont produits dans le quartier qui peuvent être vendus ailleurs, enfin tout ce qui génère des gains que cet argent en fait il soit partagé pour le projet en fait;P34;0
364;L2;voilà moi j’avais mis ça dans système monétaire ;[+];0
;;;-363;
369;L3;ouais du coup ressources non partageables ?;Q;0
370;L4;j’ai écrit les meubles de chacun;P35;0
375;L3;moi j’ai mis tout ce que c’était enfin tout ce que les gens ne voulaient pas partager;P36;0
376;L2;ouais donc voilà j’ai mis aussi alors les sanitaires les trucs comme ça;P37;0
377;L3;tu peux partager ! tu peux avoir tu peux partager ta douche tu partages ta douche chez toi;Arg-;VA
;;;(P37);(partage)
378;L2;oui mais avec beaucoup de personnes c’est peut-être heu;Arg+;VA
;;;(P37);(partage)
379;L4;c’est bizarre;Arg+;VA
;;;(P37);(partage)
380;L2;c’est limite oui;Arg+;VA
;;;(P37);(partage)
381;L3;ouais je sais pas ;0;0
382;L2;pas avec tout le monde;Arg+;VA
;;;(P37);(partage)
383;L3;ok alors je mets sanitaires;[+];0
;;;-376;
384;L2;les vêtements j’ai mis ça aussi;P38;0
385;L4;ouais;0;0
386;L3;bah tu peux emprunter une chemise à ton pote tu vois;Arg-;VA
;;;(P38);(partage)
387;L2;euh ouais je voyais ça  plus dans par exemple dans un truc de ski tu peux emprunter un truc de ski mais une chemise peut-être ça sera non ;Arg+;VA
;;;(P38);(partage)
388;L3;peut-être pas un caleçon tu vois mais si admettons ou un costume tu vois si tu as un rendez-vous important et que tu n’as pas de costume;Arg-;VA
;;;(P38);(partage)
389;L2;ouais ouais c’est vrai;[+];0
;;;-388;
390;L4;oui c’est ça c’est ça;[+];0
;;;-388;
391;L3;après on peut mettre moi j’avais mis genre les souvenirs de famille ou les objets de famille parce que bon ça ne se partage pas tu vois;P39;0
392;L4;oui j’ai voulu mettre ça aussi;[+];0
;;;-391;
393;L2;moi j’avais noté il faut que le partage ne crée pas un… il crée pas un impact économique négatif dans il faut que par exemple heu si on partage heu;P40;0
394;L4;ah oui pour pas éviter d’acheter des choses;0;0
395;L2;oui sinon voilà il faut que le partage je ne sais pas si tu me suis;Préc;0
396;L4;il faut avoir des ;0;0
397;L3;ouais mais après pas forcément;0;0
398;L2;pas forcément par exemple heu si y’a si on partage un truc d’artiste ou d’un écrivain ou si on a qu’un seul livre au niveau du quartier ça va pas;Préc;0
399;L3;il y aura une bibliothèque;P41;0
400;L2;voilà ça va pas être heu voilà c’était un peu ça l’idée;[+];0
;;;-399;
401;L3;ouais je vois ce que tu veux dire bah tu veux qu’on mette ça du coup en gros heu il faut un partage en gros moi c’est ce que j’avais un peu mis dans l’idée c’est que genre enfin tout est partageable tant que chacun a ce qu’il veut enfin tu vois ce que je veux dire ? tant que chacun a ce dont il a besoin;P24;0
402;L2;voilà;[+];0
;;;-401;
420;L3;alors lieux collaboratifs;Q;0
421;L2;alors j’ai pensé bon on aura une bibliothèque ;P42;0
422;L4;j’ai dans ma tête quelque chose;0;0
423;L3;ok;0;0
424;L2;alors on aura une bibliothèque ;0;0
425;L3;ouais;[+];0
;;;-421;
426;L2;c’est clair on aura un jardin potager;P43;0
427;L3;ouais ça j’ai mis aussi un jardin;[+];0
;;;-426;
428;L2;un jardin dans un jardin genre dans un parc  ;Préc;0
429;L3;ouais parc ouais;[+];0
;;;-428;
430;L2;ouais heu;0;0
431;L3;alors une bibliothèque aussi ?;Q;0
432;L2;ouais on aura;0;0
433;L3;heu vidéothèque je peux mettre cinéma;P44;0
434;L2;ouais j’ai mis aussi heu alors heu: espace d’art on aura un espace d’art genre ;P45;0
435;L3;ouais;[+];0
;;;-434;
436;L2;y’aura heu des expositions par exemple;Préc;0
437;L3;galerie d’art ((écrit);0;0
438;L2;on aura un espace créativité genre;P46;0
439;L3;ouais ouais ouais un espace genre un espace où tu peux faire des ateliers ouais;Préc;0
440;L2;atelier voilà ;Préc;0
441;L4;espace pour faire du bricolage;Préc;0
442;L2;voilà;Préc;0
443;L3;ouais atelier bricolage dessin: ;Préc;0
444;L2;atelier voilà tu as tout tu peux mettre heu:;Préc;0
445;L3;moi je pensais heu une salle de sport aussi;P47;0
446;L2;voilà salle de sport;[+];0
;;;-445;
447;L4;un gymnase nan ?;Préc;0
448;L3;ouais;Préc;0
449;L2;terrain de jeux;Préc;0
0450a;L3;gymnase terrain ((écrit)) heu: . ;Préc;0
0450b;L3;et je pensais j’avais pensé aussi à une laverie;P48;0
451;L4;c’est quoi une laverie;Q;0
452;L3;là pour laver son linge en fait ;Préc;0
453;L3;oui;[+];0
;;;-452;
454;L2;heu et j’avais mis quoi: une salle informatique;P49;0
455;L3;heu oui;0;0
456;L2;ça va avec atelier mais heu;0;0
457;L4;oui ça;0;0
458;L2;ça peut être avec pour avoir heu;0;0
459;L3;bah pour ceux qui n’ont pas d’ordinateur;Préc;0
460;L2;salle de jeux ;P50;0
461;L3;ouais;[+];0
;;;-460;
462;L2;ou bien salle de jeux aussi une salle de jeux heu soit jeux vidéo ou bien jeux de société;Préc;0
463;L3;ouais;[+];0
;;;-462;
464;L4;on fait un grand espace avec des consoles;Préc;0
465;L2;voilà ou bien ou des jeux par exemple de: . jeux de société aussi;Préc;0
466;L3;heu moi j’avais pensé à un observatoire aussi pour regarder les étoiles;P51;0
467;L2;ouais ça c’est bien;[+];0
;;;-466;
468;L4;ouais oui c’est un peu excentrique c’est ça;[+];0
;;;-466;
0469a;L3;excentrique ouais observatoire ((écrit)) ;0;0
0469b;L3;et j’avais pensé à un café un peu tu sais je sais pas si vous connaissez il y a un café qui a ouvert à Paris où c’est un anti-café ;P52;0
0469c;L3;parce qu’en fait tu payes genre 4 euros l’heure enfin ouais c’est par heure et tu te sers autant que tu veux de ce qu’il y a et du coup tu restes pour travailler quand tu as besoin de travailler tu vois un espace heu;Arg+;FAI
;;;(P52);(utilité)
470;L2;ouais un espace;[+];O55
481;L3;ok je pensais à un musée alors un musée un peu collaboratif où chacun met les objets qui sont importants pour lui je me disais que ça pouvait être marrant;P53;0
482;L2;heu ouais;[+];0
;;;-482;
483;L3;alors les habitations;Q;0
484;L2;les habitations alors ;0;0
485;L3;bah en fait je pensais à une maison avec une grande cour;P54;0
486;L2;oui;0;0
487;L3;et genre tout le rez-de-chaussée c’est les espaces communs ;P55;0
488;L3;et au-dessus c’est les logements individuels;P56;0
0489a;L3;et tout autour il y a un parc ou des jardins et y’a du compost;P57;0
0489b;L3;ah c’est cool et ouais avec genre un poulailler ;P58;0
0489c;L3;des garages à vélo ;P59;0
0489d;L3;des éoliennes;P12;0
0489e;L3;heu des réservoirs d’eau de pluie un compost;P60;0
490;L2;oui moi j’avais pensé heu des maisons éclairées y’aura beaucoup de lumière;P61;0
491;L3;ouais enfin tu veux dire avec des fenêtres ?;Q;0
492;L2;ouais de grandes fenêtres et genre et on aura une vue heu disons on aura toujours une vue sur genre on aura une vue avec un;P62;0
493;L3;Dégagée ?;Q;0
494;L2;dégagée voilà on n’aura pas un bâtiment en face ;Préc;0
495;L3;ouais ok;[+];0
;;;(;
496;L2;j’ai pensé à un  alors un système où il y aura un jardin à chaque étage;P63;0
497;L3;ouais;0;0
498;L2;genre jardin potager ou peut être;Préc;0
499;L3;carrément dans la maison ?;Q;0
500;L2;voilà y’aura genre;0;0
501;L3;avec une serre en fait une sorte de serre;Préc;0
502;L2;nan nan y’aura tu sais au niveau ça va être au niveau du balcon ou bien y’aura un gros un grand balcon genre terrasse;Préc;0
503;L3;ok ça te va ?;Q;0
504;L3;après du coup heu voilà qu’est-ce qu’il y a d’autre à mettre panneaux solaires sur le toit ?;P64;0
505;L2;heu oui ;0;0
506;L4;oui;0;0
507;L2;panneaux solaires heu;0;0
508;L3;ceci dit le toit il peut aussi servir si c’est un toit plat il peut servir aussi à mettre un jardin ou faire un espace;P65;0
531;L2;voilà un jardin voilà moi j’ai pensé à ouais j’aurai pensé genre l’environnement autour du;Préc;0
532;L3;ouais bah autour du jardin du coup;[+];0
;;;-531;
537;L2;genre tu auras des espaces verts à côté du bâtiment heu autour de la maison;Préc;0
538;L3;on peut mettre un poulailler;Préc;0
539;L2;une ferme ouais mais justement il va y avoir vu que ça va être on vise voilà on va viser un quartier autosuffisant donc il y a ce genre de choses une ferme un poulailler et tout et ça pourra être tout ça va être au centre par exemple ou bien et on va ça va les genre les maisons elles vont entourer cet espace vert;Préc;0
540;L3;d’accord ;[+];0
;;;-539;
541;L2;ou bien;0;0
542;L3;ok du coup j’ai mi que c’était autour j’ai mis un réservoir d’eau de pluie ici;Préc;0
543;L2;oui heu moi je vois ça genre heu j’avais pensé je ne sais pas si c’est vraiment faisable genre on aura genre on aura un lac;P66;0
544;L3;ouais;0;0
545;L2;on aura;0;0
546;L4;de quoi;0;0
547;L3;un lac un étang une marre tu sais un espace d’eau;Préc;0
548;L2;lake;0;0
549;L4;ah un lac étang;0;0
550;L3;oui étang ok;0;0
551;L2;voilà;0;0
552;L3;avec un peu d’eau quoi;Préc;0
553;L2;voilà ça va être:;0;0
554;L3;lac ou rivière;Préc;0
555;L2;voilà à la limite ça va être un truc artificiel mais ça va heu: ça va créer un: on va créer heu: y’aura un petit écosystème où il y aura des animaux genre;Préc;0
556;L3;ouais;[+];0
;;;-555;
564;L2;ouais les systèmes d’échange;Q;0
565;L3;vas-y t’avais;0;0
566;L4;je ne sais pas comment on dit ça des bectchs;P67;0
567;L3;ah des badges;0;0
568;L4;je ne sais pas si c’est le même mot que en anglais;0;0
569;L3;ouais c’est badge ouais;0;0
570;L4;c’est donner des badges à des personnes qui font de petits défis par exemple économiser une certaine quantité ils pourront;Préc;0
571;L2;moi j’ai pensé heu à on va avoir une monnaie locale;P68;0
572;L3;ouais;[+];0
;;;-571;
573;L4;il y en a déjà une;Arg-;FAI
;;;(P68);(utilité)
574;L3;ouais les deux ne sont pas incompatibles;Arg+;FAI
;;;(P68);(utilité)
0575a;L2;et moi ouais justement elles ne sont pas incompatibles justement elles vont pas être incompatibles ;Arg+;FAI
;;;(P68);(utilité)
0575b;L2;je termine ça va être une monnaie électronique ;Préc;0
0575c;L2;donc ça va nous éviter d’imprimer à la manière du bitcoin;Arg+;FAI
;;;(P68);(praticité)
0575d;L2;et ça va permettre justement d’échanger voilà ça va être on va échanger entre genre le fermier va échanger avec le menuisier voilà;Arg+;FAI
;;;(P68);(utilité)
576;L3;oui et et;[+];0
