N;L;PAROLES;Dimension Dialogique;Dimension Epistémique
58;L3;on parle plutôt de la décision et de l’acceptabilité par tout le monde;Arg+;VA
;;;(P4);(liberté)
59;L4;oui je comprends t’façon t’as ton t’as ton logement personnel après le mec il s’intègre ou pas mais après il peut partager en tout cas;Arg+;VA
;;;(P4);(liberté)
60;L1;enfin c’est plus d’être peut-être dans un rapport où individualiste enfin sur sur ton sur ;Préc;0
63;L2;nan nan mais je comprends ce que tu veux dire;[+];0
;;;-60;
64;L1;mais après je veux dire après c’est après si t’as pas envie de te bouger et que tu veux pas aller dans l’atelier tu le fais pas tu vois;Arg+;VA
;;;(P4);(liberté)
65;L2;nan mais après si on partage des ressources c’est juste que;0;0
66;L1;ouais;0;0
67;L4;ça fait un peu comme les moines par exemple les moines bouddhistes c’est vrai qu’ils ont des trucs mais ils sont pas à eux ils les possèdent pas c’est à toute la;Arg+;VA
;;;(P4);(partage)
68;L2;oui toute la communauté bien sûr  nan mais ça;0;0
69;L1;c’est ce que je veux dire c’est comme le coup de la perceuse tu vois je veux dire c’est ;0;0
70;L2;oui nan mais exactement;0;0
71;L1;la perceuse t’as pas envie de la prêter mais ce que je veux dire c’est qu’en fait culturellement si tout es changé et que tu te dis bah en fait ma perceuse c’est un peu celle de toute le monde je veux dire t’es pas obligé d’aller taper l’atelier avec les gens tu vois;Arg+;VA
;;;(P4);(liberté)
72;L2;nan nan ça je suis d’accord hein je suis d’accord;[+];0
;;;-71;
73;L4;et du coup moi le quartier je pensais mais je pense que ça doit être pareil pour tout le monde tout le baser au niveau numérique en fait un peu comme le vélib c’est-à-dire qu’est-ce qui est disponible;P6;0
74;L1;bah c’est vrai que au niveau interface et;0;0
75;L3;comment ça j’ai pas;0;0
76;L4;au niveau des applications tout ça savoir ce qui est disponible ce qui n’est pas disponible avec de la visualisation si c’est disponible ici ici;Préc;0
77;L2;ouais voilà oui;[+];0
;;;-76;
78;L3;ouais;[+];0
;;;-76;
79;L4;le nombre quel est le nombre aussi;Préc;0
80;L3;moi je pensais qu’il faudrait réaliser ça au niveau ;0;0
81;L4;tout numériser en fait;0;0
82;L3;qu’il faudrait en fait une appli- enfin une grosse appli où dedans t’as plein de sous trucs où tu ;P7;0
83;L4;ouais ou ouais plusieurs appli même parce que ça ferait peut-être ça prend trop de place je pense;Préc;0
84;L3;ouais je sais pas ouais c’est ça plusieurs appli mais regroupées sur un serveur;Préc;0
85;L4;oui;0;0
86;L3;je sais pas comment on appelle ça mais un truc où t’as le truc des voitures le truc des;Préc;0
87;L2;mais si t’as dix laveries dans le enfin dix machines à laver tu sais que tu regardes ce qui est libre ou pas;Préc;0
89;L3;ouais c’est ça tu regardes la libre tu peux réserver;Préc;0
90;L4;ouais ouais ;[+];0
;;;-89;
91;L2;oui ça bon ça;[+];0
;;;-89;
103;L3;le point le plus important c’était quoi c’était  économiser l’utilisation des ressources;P1;0
104;L2;oui optimisation de la gestion de ressources;Préc;0
105;L1;gestion et optimisation ouais voilà moi je vois même pas ça vraiment forcément dans un rapport social avec les autres hein enfin je considère que justement faut établir un système;Arg+;VA
;;;(P4);(relations sociales)
106;L2;nan nan mais juste d’un point de vue matériel ?;Q;0
107;L1;ouais ouais en gros c’est établir un système qui convient aussi bien à l’individu en lui-même et à des groupes de gens qui veulent se rencontrer c’est ;Arg+;VA
;;;(P4);(relations sociales)
108;L4;((acquiscements)) optimiser;[+];0
;;;(P1);
109;L3;optimiser l’utilisation des ressources;[+];0
;;;(P1);
110;L2;et de certains équipements d’intérêt général ou des trucs comme ça;Préc;0
111;L1; ((acquiescements));0;0
0112a;L3;je mets consommation ;0;0
0112b;L3;et atteinte à l’environnement ouais je voulais dire rejets et tout ça enfin;Préc;0
113;L4;oui oui t’façon les ressources c’est tout quoi en fait;Préc;0
114;L3;après je mets quoi ? y’avait le côté individuel toi t’avais dit les économies pour chacun ?;Q;0
117;L4;bah avoir nan c’est c’est comme optimiser les ressources quoi en fait c’est avoir accès à plus de ressources ça rentre dans l’optimisation je pense;P3;0
118;L3;ok;0;0
119;L4;après ouais je pensais;0;0
120;L3;en fait pour moi c’était un peu différent parce que ça c’est plutôt au niveau atteinte à l’environnement quoi c’est ce que tu prends et ce que tu rejettes;Arg+;VA
;;;(P2);(écologique)
121;L4;oui bah;0;0
122;L2;bah c’est surtout en fait aussi tu prends que ce que tu que ce dont tu as besoin donc ;Arg+;VA
;;;(P2);(écologique)
123;L3;l’autre c’est plutôt là c’est plutôt collectif;Préc;0
124;L4;oui bah oui bah tu peux mettre ça;[+];0
;;;-123;
125;L2;enfin;0;0
126;L4;avoir accès à plus de ressources quelqu’un qu’a pas pu s’acheter une voiture parce qu’il avait pas de sous s’il est dans une communauté de dix personnes il pourra y avoir accès;Arg+;FAI
;;;(P3)c;(économique)
127;L1;oui oui;[+];0
;;;-126;
128;L3;je mets au niveau individuel comme ça ;Préc;0
132;L4;qui doit apprendre quelque chose à l’utilisateur et du coup ça pourrait être réapprendre les notions de partage d’entraide;P8;0
133;L3;ouais  donc ça c’est un peu les;[+];0
;;;-132;
134;L4;d’écoute parce y’a le consensus aussi  on va en parler après t’façon;Préc;0
135;L3;ouais du coup partage partage des connaissances des compétences;Préc;0
0139b;L3;et puis y’avait l’histoire de la culture commune quoi faire  des réflexions au niveau;Q;0
140;L2;mais c’est un peu ça en fait;Préc;0
141;L1;oui bah là on établit une culture commune qui est ;Préc;0
142;L2;oui;[+];0
;;;-141;
143;L4;ouais;[+];0
;;;-141;
144;L1;on pourrait aller plus loin mais;0;0
145;L2;moi je voulais mettre en avant aussi cadre de vie agréable  parce que bon vivre dans des immeubles c’est sympa mais enfin s’ils sont moches c’est quand même glauque quoi aussi;Arg+;VA
;;;(P5);(agréabilité)
146;L4;ouais ça dépend ça peut-être aussi des maisons ou juste;Préc;0
147;L2;oui voilà bien sûr;[+];0
;;;-146;
148;L1;mais là tu veux faire comment à ce moment là ?;Q;0
149;L2;je pensais à je pensais en termes plus esthétiques;Préc;VA
;;;(P5);(agréabilité)
150;L4;ouais ouais;[+];0
;;;-149;
154;L4;bon faut avancer là parce qu’on perd trop de temps deux comment le quartier serait alimenté en eau et électricité ? bah ça suit un peu ce qu’on a vu dans les vidéos;Q;0
0155a;L2;ouais j’ai mis smart grid ;P9;0
0155b;L2;avec panneaux solaires et des trucs comme ça;P10;0
156;L4;déjà oui;[+];0
;;;-155;
157;L3;oui oui;[+];0
;;;-155;
158;L1;ouais tu marques tous les moyens de production écologiques déjà;0;0
159;L2;ouais;0;0
160;L4;et après y’avait dans une vision futuriste moi je pensais à une salle de sport  par exemple tu vas faire tourner x ça produit de l’énergie;P11;0
161;L2;ah c’est ça ton dessin;0;0
162;L1;ouais ça ça c’est avec des systèmes de dynamo tu peux ça peut être cool;[+];0
;;;-160;
163;L3;ouais on peut mettre ça;[+];0
;;;-160;
164;L1;après ouais c’est tu mets ouais système de dynamo;Préc;0
165;L4;ce qu’il faut savoir là c’est que c’est pas encore le jeu donc tu mets x;0;0
166;L3;ça produit de l’électricité donc je mets panneaux solaires ?;Q;0
0167a;L1;ouais éoliennes ;P12;0
0167b;L1;panneaux solaires;[+];0
;;;(0155b);
168;L3;tu penses que c’est bien panneaux solaires ? parce que moi ce que j’ai entendu dire c’est qu’en fait tu consommais vachement de minéraux rares pour les fabriquer et c’est si bien enfin;Arg-;VA
;;;(P10);(écologique)
169;L2;oui y’a les terres rares;[+];0
;;;-168;
170;L4;ouais et ça coûte cher;Arg-;FAI
;;;(P10);(économique)
171;L1;les panneaux solaires c’est pas;0;0
172;L2;oui mais on peut imaginer qu’on est dans un futur où on peut faire des panneaux solaires en plastique;Arg+;FAI
;;;(P10);(faisabilité)
173;L4;oui oui nan après c’est sûr;[+];0
;;;-172;
0174a;L3;et y’avait les les panneaux qui chauffent l’eau sur les toits ;P13;0
0174b;L3;et ça j’ai entendu dire ça marche vachement bien;Arg+;FAI 
;;;(P13);(effacité)
175;L1;je pense que sans  ouais et ça marche bien aussi mais en fait le truc c’est qu’on va plutôt rabaisser ça à le;0;0
176;L2;enfin c’est des sources d’énergie ouais non nucléaire ou des trucs comme ça;Arg+;VA
;;;(P10);(écologique)
177;L1;enfin on va peut-être pas le ou tu vois rien que la production du panneau solaire elle est déjà super polluante donc ;Arg-;VA
;;;(P10);(écologique)
178;L3;oui voilà c’est ça ;[+];177
;;;-177;
179;L1;et au bout de 8 ans c’est ca- ça se casse et ça se recycle pas je veux dire c’est un peu un truc ;Arg-;VA
;;;(P10);(écologique)
180;L3;on va peut-être pas parler de ça alors;0;0
181;L1;un rapport tout pourri;Préc;0
182;L4;ouais;0;0
183;L1;d’un point de vue énergétique;Préc;0
184;L4;mais je pense que ça va changer justement;Arg+;FAI
;;;(P10);(faisabilité)
185;L1;ouais x;0;0
186;L2;après ça dépend combien de temps le panneau dure aussi  si s’il tient 300 ans;Arg+;FAI
;;;(P10);(faisabilité)
187;L3;si on est un peu en bordure de campagne on peut faire des éoliennes;Arg+;FAI
;;;(P12);(faisabilité)
188;L1;ouais;[+];0
;;;-187;
189;L3;parce que ça du coup on peut mettre des plantations au pied des éoliennes et tout ça;Arg+;VA
;;;(P12);(écologique)
190;L4;je crois que les éoliennes ça produit pas énormément d’énergie;Arg-;FAI
;;;(P12);(efficacité)
191;L1;ça produit énormément;0;0
192;L2;ça marche pas tellement non plus;Arg-;FAI
;;;(P12);(efficacité)
193;L1;et ce que je veux dire c’est que;0;0
194;L4;pour un quartier oui mais après;Arg-;FAI
;;;(P12);(efficacité)
195;L2;en plus c’est quand même moche;Arg-;VA
;;;(P12);(esthétique)
196;L4;après si tu fais une énorme éolienne pour le quartier;Préc;0
197;L3;mais on s’en fout de ça si ça fait de l’énergie et tout;Arg+;VA
;;;(P12);(écologique)
198;L2;ouais mais si ça en fait pas c’est quand même chaud;Arg-;FAI
;;;(P12);(efficacité)
199;L3;et même si le vent;0;0
200;L4;tu la mets en plein milieu du quartier l’éolienne l’énorme éolienne;Préc;0
201;L3;nan mais en bordure à l’endroit où on a aussi des cultures ;Préc;0
202;L2;nan mais après faudrait faire des éoliennes horizontales une hélice énorme qui tourne comme ça  ce serait marrant ça  tu pourrais t’amuser à foutre des trucs par-dessus et de les voir flotter;Préc;0
203;L1;je trouve qu’aller chercher de l’eau au puits c’était pas mal;P14;0
204;L4;ouais aussi;[+];0
;;;-203;
205;L1;parce qu’au final t’as un rapport enfin au final c’est pas ça la finalité de la chose mais c’est juste que t’as un rapport  différent avec ce que tu fais c’est à dire que tu prévois ta consommation en allant chercher un  tu vois si tu veux;Arg+;VA
;;;(P14);(engagement)
206;L2;ça ça pourrait marcher si on avait des robots pour le faire;Préc;0
207;L4;ouais voilà une fontaine;[+];0
;;;-205;
208;L1;bah nan parce que oui enfin oui ça marche aussi;0;0
209;L4;tu vois une fontaine au milieu ou un puits où tout le monde va chercher;Préc;0
210;L1;ouais tout le monde te montre du doigt si tu prends trop d’eau tu vois;Arg+;VA
;;;(P14);(relations sociales)
211;L2;ouais parce que moi je veux pas je prends l’eau je prends l’eau;Arg-;VA
;;;(P14);(liberté)
212;L4;bah c’est pas grave;0;0
0213a;L1;nan c’est pas trop le problème mais c’est pour dire que par exemple si tu veux t’alimenter bah tu vas chercher ta batterie et tu vas la recharger dans un point commun  tu vois c’est-à-dire t’imagine que toute l’électricité elle est centralisée dans un bâtiment tu recharges des batteries et si tu veux aller t’alimenter tu vas chercher ta batterie et sachant que ta batterie a une durée de vie  limitée si tu veux la recharger il faut que tu ailles dans ce bâtiment  ;P15;0
0213b;L1;là c’est juste pour établir un rapport où  tu as un peu d’obligation à regarder ce que tu fais et à;Arg+;VA
;;;(P15);(engagement)
214;L2;ouais c’est le truc de protestants quoi;[-];0
;;;-213;
215;L4;mais parce que les gens;0;0
216;L1;ouais voilà nan mais le truc c’est que c’est pas une finalité dès la chose c’est juste pour dire que ce système ça t’oblige à  ;Arg+;VA
;;à raisonner;(P15);(engagement)
217;L2;nan mais il impose sur quand même le fait que t’es jugé par les autres quoi si tu déconnes avec le truc ;Arg-;VA
;;;(P15);(relations sociales)
218;L1;bah non si ta batterie est vide parce que t’as trop consommé bah t’es t’as l’air un peu con t’es obligé de te bouger ton cul pour aller te la recharger quoi ;Arg+;VA
;;;(P15);(engagement)
219;L2;ouais bien sûr;0;0
220;L1;mais c’est d’être absolument pas jugé par les autres personne te jugera parce que c’est un point d’accès à;Arg+;VA
;;;(P15);(relations sociales)
221;L4;mais ça peut être;0;0
222;L1;le principe c’est pas de faire ça mais c’est juste de dire que bon on peut trouver un moyen de sensibiliser la personne sa consommation d’énergie tu vois je te dis pas d’aller chercher de l’eau dans un puits c’est complètement;Arg+;VA
;;;(P15);(engagement)
0223a;L3;moi pour l’eau y’avait l’histoire que  bon ça c’est pas au niveau du quartier mais c’est facturé à l’arrivée dans ton logement ;P16;0
0223b;L3;et du coup  ça permet que le pro- enfin celui qui fournit l’eau il entretient les réseaux parce que sinon il s’en fout il entretient pas les réseaux en cas de fuites etc mais bon ça ça dépend pas vraiment du quartier mais c’est important;Arg+;VA
;;;(P16);(engagement)
224;L1;ouais pas mal ouais ouais;[+];0
;;;-223;
225;L2; ça c’est une idée;[+];0
;;;-223;
231;L3;et les trucs de, les réservoirs pour récupérer l’eau de pluie et tout ça;P17;0
232;L2;ouais ça les trucs comme ça;[+];0
;;;-231;
233;L3;mais après tu fais quoi tu fais l’arrosage des espaces verts;Préc;0
234;L1;ouais oui;[+];0
;;;-233;
235;L2;ouitu peux imaginer le recyclage en forme une forme de recyclage des eaux;P18;0
248;L3;mais le pire c’est est-ce que les gens ils le feront vraiment enfin ?;Q;0
249;L1;ah bah s’ils veulent boire ils ont intérêt à se bouger le cul par exemple tu vois nan mais c’est le principe juste le principe du puits en soit tu vois;Arg+;VA
;;;(P15);(engagement)
250;L3;parce que pour les douches et tout  ouais;0;0
251;L1;nan mais je veux dire en fait faut sortir du principe où on se dit ah putain pour prendre une douche ça va être chiant le puits bah oui bien sûr on va pas avoir de puits mais juste sur le principe;Arg+;VA
;;;(P15);(engagement)
252;L3;mais du coup tu vas économiser;Arg+;FAI
;;;(P15);(économique)
253;L1;sur ce principe de se bouger le cul enfin d’avoir un rapport différent avec l’accès à faire la chose;Arg+;VA
;;;(P15);(engagement)
254;L2;ouais genre t’as un forfait eau quoi;P19;0
255;L1;ouais ou exactement tu vois ce que je veux dire;[+];O
;;;-254;
256;L3;oui un forfait ou;[+];O
;;;-254;
257;L1;ouais voilà et bah justement à partir de cette idée de puits on arrive à une idée de forfait tu vois  et donc ce que je veux dire c’est que c’est là qu’on rebondit sur des choses quitte à aller un peu trop loin dans un premier temps ensuite se se refocaliser sur des choses du coup qui sont nouvelles tu vois tu vois c’est nouveau là c’est le seul truc qu’on a listé qu’ex- enfin ça existe déjà le forfait mais ce que je veux dire c’est que;Préc;0
258;L3;ouais ouais;[+];0
;;;-257;
259;L2;ouais nan mais le forfait bloqué quoi;Préc;0
260;L1;ouais voilà exactement  tu vois un forfait avec la 4G c’est pas mal;[+];0
;;;-260;
261;L3;c’est ce que j’ai mis ((rires));[+];0
;;;-260;
266;L4;bah justement utiliser le mouvement des gens pour produire de l’électricité en fait  je sais pas un mouvement genre même quand tu prends ta voiture faudrait que ça produise de l’électricité on peut imaginer que le sol je sais pas il récupère quelque chose ou comme la salle de sport;P11;0
271;L1;bah alors imaginons que tu mets une petite dynamo sur l’ouverture de chaque porte et avec le coup que t’opères en ouvrant tu produits une petite masse d’énergie et que si t’essayes de développer ça sur un maximum d’appareils ou sur tes chaussures ou sur la sur tes semelles je sais pas tu vois;P20;0
272;L4;faudrait déjà créer un projet sur ça en fait l’énergie dans éventuellement dans ta chaussure pourra être engagé pour ton téléphone ou autre chose;Préc;0
273;L1;ou pour ton ipod ouais ouais très bien;Préc;0
279;L1;bah en gros si si on peut aussi dire qu’on peut essayer de mettre des systèmes de dynamo sur tous les les tous les matériaux enfin tous les matériels qui ont qu’on utilise;Préc;0
280;L3;ouais ((écrit));[+];0
;;;-279;
281;L1;où il y a des forces enfin tu sais de l’inertie et tout;Préc;0
282;L4;ouais par exemple salle de sport je trouve c’est bien moi;Préc;0
283;L3;j’ai mis vélo et après j’ai rajouté portes chaussures etc quoi;Préc;0
284;L1;par exemple tu vois;[+];0
;;;-283;
285;L4;ouais;0;0
286;L3;etc quoi;0;0
287;L4;après chaussure tu peux pas le  le garder par exemple;Préc;0
288;L1;ouais mais tu peux créer de l’énergie par exemple quand tu marches avec le mouvement de tes bras;Préc;0
289;L4;ouais;[+];0
;;;-288;
290;L1;tu vois il suffit que tu mettes un petit système enfin je sais pas tu peux imaginer plein de trucs comme ça tu vois;Préc;0
294a;L3;juste pour les cuisines vous pensiez faire un truc collectif ou individuel ?;Q;0
294b;L3;on peut faire genre le four est allumé de telle re à telle re;P21;0
295;L2;de quoi pardon ah la cuisine individuelle moi je veux pas qu’on salope ma cuisine;Arg-;VA
;;;(P21);(nuisance)
296;L4;nan mais ça dépend en fait nan nan mais ça dépend ça peut-être aussi individuel et collectif;Arg+;VA
;;;(P21);(liberté)
297;L2;oui tu peux avoir une cuisine collective si pour les gens qui ont envie y viennent mais c’est pas forcément un truc ;Arg+;VA
;;;(P21);(liberté)
298;L1;moi je sais que je suis insomniaque et j’aime bien me faire la cuisine à 4h du mat tu vois donc si on me dit ton four tu le fais que fonctionner de 20h à 22h moi je j’aime pas je vais pas être content nan mais le but après c’est pas de créer un ;Arg-;VA
;;;(P21);(liberté)
0299a;L2;moi je penserais plus à des trucs dans le genre des ressources partageables des trucs de de trucs de consommation bêta genre t’as ;P22;0
0299b;L2;genre typiquement quand tu rentres chez toi il est 22h et puis t’as envie de te faire un café t’as pas de café ça t’emmerde;Arg+;FAI
;;;(P22);(utilité)
300;L4;nan mais ça dépend;0;0
301;L1;un peu une mise en commun du patrimoine que tu n’en- que tu n’emploies pas tu vois c’est ça plus que dans un rationnement quoi;Arg+;VA
;;;(P22);(partage)
302;L2;oui oui;[+];0
;;;-301;
303;L1;sortir de cette;0;0
304;L2;voilà ou alors t’as déjà prévu à l’avance tu sais que sur le quartier y’a tant de gens qui prennent du lait chaque semaine ils en consomment tant  et t’as je sais pas un énorme réservoir de lait ou un truc comme ça  et tu vas chercher là-bas;Préc;VA
;;;(P22);(partage)
305;L1;Hum;[+];0
;;;-304;
306;L3;ouais d’avoir;[+];0
;;;-304;
307;L2;qui est toujours disponible  et ça permet de d’économiser les coûts ;Préc;FAI
;;;(P22);(économique)
308;L3;dans les lieux collaboratifs du coup il peut y avoir un lieu de stockage avec épicerie machin;P23;0
309;L2;ouais voilà;[+];0
;;;-308;
310;L1;ouais ouais;[+];0
;;;-308;
311;L3;des trucs collectifs pareil des grands bacs avec des pâtes;Préc;0
312;L2;ouais voilà exactement ouais enfin un truc comme ça ouais;[+];0
;;;-311;
313;L1;oui;[+];0
;;;-311;
314;L2;puis pareil avec des trucs électroménagers type machine à laver;P24;0
315;L4;Hum;0;0
316;L2;je sais pas;0;0
317;L3;ok;[+];0
;;;-314;
318;L2;des aspirateurs Dyson sans sacs à disposition;Préc;0
319;L4;moi pour la cuisine par exemple je pensais plutôt favoriser le partage et avoir une cuisine commune bon bien sûr t’as une cuisine chez toi;Préc;0
320;L2;mais genre un congélo commun;Préc;0
321;L4;mais par exemple si tu partages t’as pas être des points en plus j’en sais rien tu vois favoriser ça comme ça tu dépenses moins au final toi t’as pas envie sur le coup mais justement c’est apprendre à l’utilisateur justement à changer ;Arg+;VA
;;;(P21);(engagement)
322;L2;nan moi j’ai pas envie ((rires)) mais pourquoi pas;[-];0
;;;-321;
326;L3a;ressources partageables du coup ?;Q;0
326;L3b;par exemple voitures vélos c’est ça;P25;0
327;L2;ouais des trucs comme ça;[+];0
;;;-326;
328;L1;ouais vas-y mets;[+];0
;;;-326;
329;L4;moi je pense tout;P26;0
330;L1;mais après effectivement c’est intéressant ce que tu dis sur  au niveau des transports par exemple si tu veux prendre un transport individuel il faut que tu justifies par exemple ce que tu emploies tu vois;P27;0
331;L3;ouais;[+];0
;;;-330;
332;L1;c’est-à-dire que c’est parce que;0;0
333;L2;moui;0;0
334;L1;après bon si t’es vraiment à devoir par exemple pour aller au boulot t’as besoin de ta voiture ;Préc;0
335;L2;ouais nan;0;0
336;L1;tu tu tu la justifies mais je veux dire;0;0
337;L2;je suis dangereux il faut que j’y aille tout seul ((rires));Préc;0
338;L1;voilà;0;0
339;L3;tu peux avoir une application comme ça où tu réserves la voiture avec des covoiturages etc;Préc;0
340;L1;voilà exactement;[+];0
;;;-339;
341;L3;par exemple ta priorité elle diminue au fur et à mesure que tu réserves ou si tu réserves tout seul;Préc;0
342;L1;voilà par exemple Marc qui a pas envie de prendre le bus pour faire trois stations;Préc;0
343;L3;tous les jours et il a une priorité nulle;Préc;0
344;L1;il veut prendre sa voiture et bah lui il va pas avoir il va pas être prioritaire sur le véhicule tu vois;Préc;0
345;L3;ouais laverie ((lit)) la laverie c’est dans les ressources partageables;P28;0
366;L4;dans ressources partageables c’est tout en fait énergétiques matérielles immatérielles;Préc;0
367;L1;moi j’ai marqué tu tu tu tu maximises les ressources partageables enfin ce que je veux dire c’est que techniquement tout peut être partageable;Préc;0
368;L4;oui c’est ça;[+];0
;;;-367;
369;L1;ça j’ai pas trop;0;0
370;L3;avec un système de points et d’échange et tout ça et tes vêtements et tout ça comme ils montrent;P29;0
371;L2;bah c’est pour ça que ouais y’a les ressources non partageables après enfin ce que tu juges non partageable c’est ça ce que je veux dire;Préc;0
372;L1;ouais;0;0
373;L4;bah oui ressources partageables c’est tout moi je mettrais énergétiques matérielles immatérielles;Préc;0
378;L2;moi j’ai mis la salle de bain et les toilettes nan;P30;0
379;L3;je mets tout avec un système d’échange ;Préc;0
380;L1;nan mais je crois c’est déjà  j’ai rien marqué en  si maximiser toutes les ressources;Préc;0
381;L4;ouais ouais et on verra après  parce que là on est obligé de x ça fait déjà dix minutes et tout;0;0
382;L2;j’ai mis certains meubles perso équipements et tout ça des trucs un peu que tu veux garder pour toi mais;P31;0
0384a;L1;c’est surtout dans le partageable ;Préc;0
0384b;L1;t’es pas dans une notion forcément de consommable;P32;0
385;L4;c’est-à-dire ?;Q;0
