,PAROLES,Dimension Dialogique,Domaine,Langue,Unnamed: 0.1,Unnamed: 0
34,"Alors tu vois, je trouve que c'est un peu plus énervant pour des gens comme ça, enfin, d'habitude quand on pense aux Québécois, ils avaient l'air très sympas, hein, mais pour moi, les ateliers de menuiserie ne l'étaient pas.",2,,hy,243.0,322.0
35,"Alors tu vois, je trouve que c'est un peu plus énervant pour des gens comme ça, bon, d'habitude quand on pense aux gens du Québec, je les trouvais vraiment cool, hein, mais pour moi, les ateliers de menuiserie ne l'étaient pas.",2,,eu,245.0,324.0
36,"Alors, tu vois, je trouve que c'est un peu plus énervant pour des gens comme ça, bon, d'habitude quand on repense aux Québécois, ils avaient l'air très sympas, euh, mais pour moi, les menuiseries ne le sont pas.",2,,be,246.0,325.0
37,"Alors tu vois, je trouve que c'est déjà un peu plus ennuyeux pour des gens comme ça, enfin, d'habitude quand on pense aux Québécois, ils avaient l'air très sympas, oui, mais pour moi, les ateliers de menuiserie, non.",2,,bn,247.0,326.0
38,"Bon, tu vois, je trouve que c'est déjà un peu plus chiant pour des gens comme ça, bon, typiquement, quand on pense aux Québécois, ils avaient l'air très sympas, hein, mais pour moi, les ateliers de menuiserie ne le sont pas.",2,,bs,248.0,327.0
39,"Tu vois, je trouve que c'est un peu plus énervant pour des gens comme ça, bon, d'habitude quand on pense aux Québécois, ils avaient l'air très sympas, mais pour moi les ateliers de menuiserie ne l'étaient pas.",2,,bg,249.0,328.0
40,bon après c'est plus ou moins enfin tu vois les crèches du quartier et tout est encore avec les gens du quartier qui,1,,af,342.0,424.0
41,bon après c'est à peu près enfin regarder les crèches du quartier et tout est toujours avec les gens du quartier quoi,1,,sq,343.0,425.0
42,"Eh bien, après cela, vous verrez déjà plus ou moins enfin les bruits du quartier et tout est toujours entre les mains de la population locale.",1,,am,344.0,426.0
43,"Eh bien, enfin, vous voyez les crèches du quartier et tout est toujours entre les mains des gens du quartier.",1,,ar,345.0,427.0
44,bon après on voit plus ou moins enfin les jardins d'enfants du quartier et tout est toujours entre les mains des gens du quartier,1,,hy,346.0,428.0
45,"eh bien, vous voyez déjà plus ou moins enfin les jardins d'enfants du quartier et tout est toujours comme ça avec les gens du quartier",1,,eu,348.0,430.0
46,"bon, après, plus ou moins enfin tu vois la crèche du quartier, et tout est encore avec des gens du coin, quoi",1,,be,349.0,431.0
47,Après c'est déjà plus ou moins jusqu'à la fin tu vois les crèches autour et tout est toujours avec les gens autour,1,,bn,350.0,432.0
48,"donc après, tu vois enfin plus ou moins la crèche du quartier et tout est encore avec les gens du quartier",1,,bs,351.0,433.0
49,ok après tu vois plus ou moins enfin les crèches du quartier et tout ça reste avec les gens du quartier quoi,1,,bg,352.0,434.0
50,ben non parce qu'on aura trouvé un moyen d'ici là soyons positifs et ça évitera le gaspillage du fait qu'il y a plus d'espace forcément construire des bâtiments un peu dégoutants partout où tu fais des trucs sous l'eau,2,,af,439.0,530.0
51,ben non parce qu'on aura trouvé un moyen d'ici là soyons positifs et ça évitera de perdre le fait qu'il y a plus d'espace forcément construire des bâtiments un peu odieux partout où tu fais des trucs sous l'eau,2,,sq,440.0,531.0
52,"Ça ne va pas aller parce que d'ici là, soyons positifs et cela nous empêche de parler du fait qu'il y a plus d'espace et de construire des petits bâtiments odieux partout où vous faites des choses sous-marines.",2,,am,441.0,532.0
53,"Bon non parce qu'on aura trouvé un moyen d'ici là, soyons positifs et cela évitera de gaspiller comment dire qu'il y a forcément plus d'espace, construire des bâtiments un peu dégueulasses partout où l'on fait des trucs sous l'eau",2,,ar,442.0,533.0
54,ben non parce qu'on trouvera un moyen alors soyons positifs et ça évitera de gaspiller comment dire le fait qu'il y a plus d'espace définitivement construire des bâtiments un peu méchants partout où tu fais des trucs sous l'eau.,2,,hy,443.0,534.0
55,"eh bien non, soyons positifs car nous avons trouvé un moyen d'ici là qui évitera de gaspiller comment dire qu'il y a plus d'espace en construisant forcément des bâtiments un peu odieux partout où vous faites des trucs sous-marins",2,,eu,445.0,536.0
56,eh bien non parce que d'ici là nous trouverons un moyen soyons positifs et cela évitera de perdre comment dire qu'il y a plus d'espace assurez-vous de construire des bâtiments un peu hideux partout où vous faites des trucs sous-marins,2,,be,446.0,537.0
57,"Eh bien non parce que d'ici là nous avons trouvé un moyen, soyons positifs et évitons de perdre comment dire qu'il y a plus d'espace forcément construire des bâtiments où l'on travaille sous l'eau est un peu ennuyeux.",2,,bn,447.0,538.0
58,"ben non parce que d'ici là on trouvera un moyen, sois positif et comme ça on évitera de dépenser comment dire le fait qu'il y a plus d'espace construit forcément des bâtiments un peu dégoutants partout où tu fais des trucs sous l'eau",2,,bs,448.0,539.0
59,ben non car d'ici là on aura trouvé un moyen soyons positifs et ça évitera de perdre comment dire le fait qu'il y a plus d'espace par tous les moyens construire des bâtiments un peu dégoutants partout où tu fais des trucs sous l'eau,2,,bg,449.0,540.0
60,c'est dommage ah la cuisine individuelle je ne veux pas qu'on gâche ma cuisine,2,,af,542.0,636.0
61,ce que je suis désolé ah cuisine individuelle je ne veux pas que quelqu'un gâche ma cuisine,2,,sq,543.0,637.0
62,Qu'est-ce que je suis désolé ah cuisine individuelle je ne veux pas que quelqu'un gâche ma cuisine.,2,,am,544.0,638.0
63,"Quelle désolée cuisine individuelle, je ne veux pas que quiconque joue avec ma cuisine",2,,ar,545.0,639.0
64,"quelle douleur oh cuisine privée, je ne veux pas que quelqu'un gâche ma cuisine",2,,hy,546.0,640.0
65,qu'est-ce qui est désolé ah cuisine individuelle je ne veux pas que quelqu'un gâche ma cuisine,2,,eu,548.0,642.0
66,"désolé, cuisine personnalisée, je ne veux pas que quelqu'un gâche ma cuisine",2,,be,549.0,643.0
67,"Désolé, cuisine privée, je ne veux pas que quelqu'un gâche ma cuisine",2,,bn,550.0,644.0
68,ce que je suis désolé ah cuisine individuelle je ne veux pas qu'on gâche ma cuisine,2,,bs,551.0,645.0
69,"ce que je regrette, ah, la cuisine individuelle, je veux pas qu'on embête ma cuisine",2,,bg,552.0,646.0
70,"pour que tout le monde soit sur le même pied - il n'y a pas de hiérarchie par distance, on ne voit rien, on essaie tous de mettre une distance égale entre toutes les maisons et les points publics, donc des espaces collaboratifs",2,,af,638.0,742.0
71,"pour que tout le monde soit sur le même pied - il n'y a pas de hiérarchie à distance, on ne voit rien, nous essayons tous d'établir une équidistance entre tous les logements et points publics, d'où les espaces collaboratifs",2,,sq,639.0,743.0
72,"Pour que tout le monde soit sur le même pied - il n'y a pas de hiérarchie lointaine, ils ne regardent rien, nous essayons tous de créer l'égalité entre toutes les maisons et les espaces publics, d'où les espaces collaboratifs.",2,,am,640.0,744.0
73,"Pour que tout le monde soit sur un pied d'égalité - il n'y a pas de hiérarchie par distance, rien à voir, nous essayons tous de mettre une distance égale entre tous les logements et points publics, donc des espaces collaboratifs",2,,ar,641.0,745.0
74,"pour que tout le monde soit au même niveau. il n'y a pas de hiérarchie dans la distance, rien ne se voit, nous essayons tous de mettre une distance égale entre toutes les maisons et points publics, donc entre les espaces collaboratifs.",2,,hy,642.0,746.0
75,"pour que tout le monde soit égal : il n’y a pas de hiérarchie basée sur la distance, rien n’est visible. Nous essayons tous de mettre une équidistance entre toutes les maisons et points publics, donc les espaces de collaboration",2,,eu,644.0,748.0
76,"pour que tout le monde soit sur un pied d'égalité - il n'y a pas de hiérarchie de distance, on ne peut rien voir, nous essayons tous de mettre une distance égale entre toutes les maisons et tous les lieux publics, nous créons donc des espaces de collaboration",2,,be,645.0,749.0
77,"Pour que tout le monde soit sur le même pied, il n'y a pas de hiérarchie par distance. Il n'y a rien que l'on puisse voir. Nous essayons tous de garder une distance égale entre tous les logements et les points publics donc les espaces collaboratifs.",2,,bn,646.0,750.0
78,"pour que tout le monde soit sur la même base - il n'y a pas de hiérarchie en termes de distance, il n'y a rien que l'on voit, nous essayons tous d'établir une équidistance entre tous les logements et les points publics, donc un espace de coopération",2,,bs,647.0,751.0
79,"pour que tout le monde soit sur le même pied - il n'y a pas de hiérarchie dans la distance, on ne voit rien, nous essayons tous de mettre une distance égale entre tous les logements et points publics, donc des espaces collaboratifs",2,,bg,648.0,752.0
80,donc ça marche très bien mais c'est horrible la vie en communauté là bas c'est horrible les vieux les enfants ils vont flipper avec ça à part,1,,af,741.0,848.0
81,"donc ça marche très bien mais c'est terrible la vie communautaire là-bas, c'est terrible les vieux et les enfants qu'ils vont mettre à l'écart",1,,sq,742.0,849.0
82,"Donc ça marche très bien, mais c'est une vie en communauté terrible, les personnes âgées sont des enfants très effrayants et effrayants.",1,,am,743.0,850.0
83,"Donc ça marche très bien mais la vie associative est terrible là-bas, c'est terrible pour les vieux et les enfants qui vont flipper à cause de ça à part",1,,ar,744.0,851.0
84,"donc ça marche très bien, mais c'est terrible la vie communautaire là-bas, c'est terrible les vieux, les enfants, ils vont avoir peur.",1,,hy,745.0,852.0
85,donc ça marche super mais c'est terrible la vie communautaire là-bas est terrible à part les personnes âgées et les enfants qui vont flipper,1,,eu,747.0,854.0
86,"donc ça marche vraiment bien mais c'est une vie sociale épouvantable là-bas, c'est épouvantable, les vieux, les enfants, ils vont devenir fous avec ça à côté",1,,be,748.0,855.0
87,"Donc ça marche très bien mais c'est une vie communautaire horrible là-bas, c'est horrible, les personnes âgées et les enfants vont être terrifiés à l'idée de la mettre de côté.",1,,bn,749.0,856.0
88,donc ça marche très bien mais c'est terrible de vivre dans la communauté là-bas c'est terrible les vieux les enfants ils vont devenir fous avec ça mis à part,1,,bs,750.0,857.0
89,"donc ça marche très bien mais la vie associative là-bas est terrible, les personnes âgées sont terribles, les enfants dont ils vont devenir fous, ça mis à part",1,,bg,751.0,858.0
90,auquel cas tu t'es vite retrouvé dans l'opposition tout le temps,2,,af,843.0,954.0
91,sur quoi tu t'es vite retrouvé dans l'opposition tout le temps,2,,sq,844.0,955.0
92,"Dans ce cas, on se retrouve toujours vite dans l’opposition",2,,am,845.0,956.0
93,Dans ce cas on se retrouve vite tout le temps dans l’opposition,2,,ar,846.0,957.0
94,auquel cas tu t'es vite retrouvé dans l'opposition,2,,hy,847.0,958.0
95,"dans ce cas-là, tu t'es vite retrouvé dans l'opposition tout le temps",2,,eu,848.0,960.0
96,dans ce cas on se retrouve vite tout le temps dans l'opposition,2,,be,849.0,961.0
97,"Dans ce cas, on se retrouve vite et tout le temps en désaccord",2,,bn,850.0,962.0
98,ben non si ta batterie est morte parce que tu as trop utilisé ok tu as l'air un peu con tu dois bouger le cul pour la recharger quoi,2,,af,915.0,1060.0
99,ben pas si ta batterie est morte parce que tu as trop bien utilisé tu as l'air un peu con tu dois bouger le cul pour la recharger,2,,sq,916.0,1061.0
100,Ben non si ta batterie est vide tu as l'air un peu bête parce que tu as tellement bien mangé qu'il faut bouger ton cul pour la recharger.,2,,am,917.0,1062.0
101,"Ben non, si ta batterie est morte parce que tu en as épuisé beaucoup pour de bon, et que tu as l'air un peu con, tu dois bouger le cul pour la recharger, quoi ?",2,,ar,918.0,1063.0
102,"ben non, si ta batterie est morte parce que tu l'as trop bien vidée, tu as l'air un peu bête, tu dois bouger le cul pour aller la recharger.",2,,hy,919.0,1064.0
103,"Bon, pas si la batterie est morte parce que tu en as trop utilisé, tu as l'air un peu con il faut bouger le cul pour recharger quoi",2,,eu,921.0,1066.0
104,ben non quand la batterie est morte parce que tu as trop bien utilisé tu as l'air un peu con il faut bouger le cul pour aller la charger quoi,2,,be,922.0,1067.0
105,Ben si ta batterie est vide parce que tu l'utilises tellement bien que tu as l'air un peu bête tu dois bouger tes fesses pour la recharger ?,2,,bn,923.0,1068.0
106,ben pas si ta batterie est morte parce que tu as trop dépensé tu as l'air un peu con tu dois bouger le cul pour la recharger quoi,2,,bs,924.0,1069.0
107,"ah non, si ta batterie est morte parce que tu as trop épuisé, tu as l'air un peu bête, tu dois bouger le cul pour aller la charger quoi",2,,bg,925.0,1070.0
108,cela oblige donc celui qui est dans l'opposition formelle à aider à résoudre ce problème dans la réalité,2,,af,1017.0,1166.0
109,cela oblige donc celui qui est dans l'opposition formelle à aider à résoudre ce problème en fait,2,,sq,1018.0,1167.0
110,"Donc, pour résoudre ce problème, il force une personne qui est un adversaire régulier.",2,,am,1019.0,1168.0
111,Cela oblige donc la personne qui est dans l'opposition officielle à réellement aider à résoudre ce problème.,2,,ar,1020.0,1169.0
112,Cela oblige donc la personne qui est dans l’opposition formelle à contribuer réellement à résoudre ce problème.,2,,hy,1021.0,1170.0
113,donc la personne en opposition formelle est obligée d'aider à résoudre ce problème,2,,eu,1023.0,1172.0
114,cela oblige donc la personne qui s'oppose formellement à réellement aider à résoudre le problème,2,,be,1024.0,1173.0
115,Cela oblige donc l'opposition formelle à contribuer à résoudre ce problème.,2,,bn,1025.0,1174.0
116,donc cela oblige celui qui est dans l'opposition formelle à aider à résoudre ce problème dans les faits,2,,bs,1026.0,1175.0
117,cela oblige donc celui qui est formellement dans l'opposition à aider à résoudre ce problème dans la réalité,2,,bg,1027.0,1176.0
118,si tu as une conscience collective de tes actes et tout ça,2,,af,1105.0,1272.0
119,si vous avez une conscience collective de votre action et de tout,2,,sq,1106.0,1273.0
120,Si vous avez une conscience collective de vos actions et tout ça,2,,am,1107.0,1274.0
121,Si vous avez une conscience massive de votre travail et tout ça,2,,ar,1108.0,1275.0
122,si tu as la conscience collective de tes actions et tout ça,2,,hy,1109.0,1276.0
123,si vous avez une conscience collective de votre action et de tout cela,2,,eu,1111.0,1278.0
124,c'est juste qu'ils disaient qu'on finissait par voir des quartiers beaucoup plus dynamiques où les gens se rencontraient beaucoup plus si on avait des lieux de travail un peu plus mélangés avec des lieux d'hébergement et des endroits pour sortir,2,,af,1152.0,1378.0
125,c'est juste qu'ils disaient qu'on finissait par voir des quartiers beaucoup plus animés où les gens se rencontraient beaucoup plus quand on avait des lieux de travail un peu plus mélangés avec des résidences et des lieux de rencontre.,2,,sq,1153.0,1379.0
126,"Enfin, vous dites voir des quartiers où les gens interagissent beaucoup, avec des lieux de travail mêlés d'espaces de vie et d'espaces extérieurs.",2,,am,1154.0,1380.0
127,C'est juste qu'on disait qu'on voyait enfin des quartiers plus vivants où les gens se retrouvaient plus souvent quand on avait des lieux de travail plus mixtes avec des lieux d'hébergement et de sorties.,2,,ar,1155.0,1381.0
128,je disais simplement qu'on finissait par voir des quartiers beaucoup plus dynamiques où les gens se rencontraient davantage quand on avait des lieux de travail un peu plus mélangés avec des zones résidentielles et piétonnes.,2,,hy,1156.0,1382.0
129,"c'est juste qu'ils disaient qu'au final ils voyaient des quartiers beaucoup plus vivants, où les gens se rencontraient beaucoup plus, alors qu'il y avait des lieux de travail un peu plus mélangés avec des résidences et des excursions.",2,,eu,1158.0,1384.0
130,c'est juste qu'ils ont dit que finalement on voyait des zones beaucoup plus fréquentées où les gens avaient beaucoup plus de chances de se rencontrer quand on avait des lieux de travail un peu plus mélangés avec des zones résidentielles et récréatives,2,,be,1159.0,1385.0
131,C'est vrai qu'on dit qu'on finit par voir un quartier beaucoup plus dynamique où les gens se rencontrent beaucoup plus quand on a un lieu de travail un peu plus mélangé avec des endroits où vivre et des endroits où aller.,2,,bn,1160.0,1386.0
132,ils ont juste dit qu'on voyait enfin des quartiers beaucoup plus vivants où les gens se rencontraient beaucoup plus quand on avait des lieux de travail un peu plus mélangés avec des lieux de vie et des lieux de sortie,2,,bs,1161.0,1387.0
133,c'est juste qu'on disait qu'on finissait par voir des quartiers beaucoup plus animés où les gens se rencontraient beaucoup plus quand on avait des lieux de travail un peu plus mélangés avec des lieux de vie et des lieux de sortie,2,,bg,1162.0,1388.0
134,oui la question est qui sont les gens je pense que ce n'est pas tout le monde qui le fait qui a les choses qui comment je vais dire que tous les quartiers coopératifs aujourd'hui font la même chose le but c'est qu'ils utilisent des énergies renouvelables,1,,af,1254.0,1484.0
135,"oui, la question est qui sont les gens, je pense que tous ceux qui font cela ne sont pas ceux qui ont les choses, qui, comment puis-je dire que tous les quartiers coopérants aujourd'hui font la même chose, le but est d'utiliser des énergies renouvelables énergie",1,,sq,1255.0,1485.0
136,"Oui, je pense que la question est qui sont-ils, pas tous ceux qui font ça, mais qui ont quelque chose, je veux dire, aujourd'hui, tous les quartiers coopératifs ont pour objectif de faire la même chose, ils utilisent des énergies renouvelables.",1,,am,1256.0,1486.0
137,"Oui, la question est de savoir qui sont les gens, je pense que tous ceux qui font cela ne sont pas propriétaires des choses, et comment dirais-je que tous les quartiers coopératifs d'aujourd'hui font la même chose et que l'objectif est d'utiliser des énergies renouvelables.",1,,ar,1257.0,1487.0
138,"Ouais, la question est qui sont les gens, je pense que tout le monde ne le fait pas, qui a le qui, comme je vais le dire, tous les districts qui collaborent aujourd'hui font la même chose, le but est d'utiliser des énergies renouvelables énergie.",1,,hy,1258.0,1488.0
139,"oui la question c'est qui sont les gens, je pense que ce n'est pas ce que fait tout le monde qui a des choses qui comment dire qu'aujourd'hui tous les quartiers collaboratifs font pareil, le but c'est d'utiliser des énergies renouvelables",1,,eu,1260.0,1490.0
140,"ouais, la question est qui sont ces gens, je pense que tous ceux qui font ça, qui ont des trucs comme je vais dire que tous les co-districts aujourd'hui font la même chose, le but est d'utiliser des énergies renouvelables",1,,be,1261.0,1491.0
141,"Ouais, la question est de savoir qui sont ces gens. Je pense que ce n'est pas tout le monde qui fait ça. Je vais dire que tous les voisins font la même chose aujourd'hui, c'est qu'ils utilisent des énergies renouvelables.",1,,bn,1262.0,1492.0
142,"oui, la question est de savoir qui sont les gens, je pense que ce n'est pas tous ceux qui le font, qui ont des choses, qui, comment puis-je dire que tous les établissements collaboratifs d'aujourd'hui font la même chose, le but est d'utiliser des énergies renouvelables",1,,bs,1263.0,1493.0
143,"oui, la question est de savoir qui sont les gens. Je pense que tous ceux qui font cela n'ont pas ce genre de choses. Comment puis-je dire que tous les quartiers collaboratifs d'aujourd'hui font la même chose, l'objectif est d'utiliser des énergies renouvelables.",1,,bg,1264.0,1494.0
144,bien sûr non mais le principe d'une facture commune c'est comme si on allait au restaurant on paye moitié-moitié sur l'addition mais je mange deux fois plus que toi,2,,af,1358.0,1590.0
145,"bien sûr que non, mais le principe d'avoir une facture commune, c'est comme si on allait au restaurant, on payait moitié-moitié, mais je mange deux fois plus que toi",2,,sq,1359.0,1591.0
146,"Bien sûr que non, mais la règle générale est que si nous allons au restaurant, nous payons la moitié et demie de l'addition, mais je mange deux fois plus que vous.",2,,am,1360.0,1592.0
147,"Bien sûr que non, mais le principe d'avoir une facture partagée c'est que si on va au restaurant, on paie la moitié de la note et la moitié mais je mange deux fois plus que toi.",2,,ar,1361.0,1593.0
148,"Bien sûr que non, mais le principe d'avoir une facture commune, c'est comme si on allait au restaurant, on paie la note moitié-moitié, mais je mange deux fois plus que toi.",2,,hy,1362.0,1594.0
149,"bien sûr que non, mais le principe d'avoir une facture commune si on va au restaurant on paie moitié-moitié de l'addition mais je mange deux fois plus que toi",2,,eu,1364.0,1596.0
150,"bien sûr que non, mais le principe de l'addition commune, c'est comme quand on va au restaurant, on paie la moitié de l'addition, mais je mange deux fois plus que toi",2,,be,1365.0,1597.0
151,"Bien sûr que non, mais le principe d'avoir une facture commune, c'est que si on va au restaurant, on paie la moitié de la note mais je mange deux fois plus que toi.",2,,bn,1366.0,1598.0
152,"bien sûr que non, mais le principe de l'addition commune c'est comme si on allait au restaurant, on paie la moitié de l'addition, mais je mange deux fois plus que toi",2,,bs,1367.0,1599.0
153,"bien sûr que non, mais le principe de l'addition partagée, c'est comme si on allait au restaurant, on paie la moitié de l'addition, mais je mange deux fois plus que toi",2,,bg,1368.0,1600.0
154,pour pouvoir prendre la lumière et tu fais la même chose finalement tu fais comme le tournesol en fait avec des panneaux photovoltaïques par exemple,1,,af,1454.0,1696.0
155,pouvoir prendre la lumière et faire la même chose au final comme un tournesol en fait avec des panneaux photovoltaïques par exemple,1,,sq,1455.0,1697.0
156,Pouvoir prendre la lumière et tu fais la même chose finalement comme le tournesol avec des panneaux photovoltaïques par exemple,1,,am,1456.0,1698.0
157,"Pouvoir capter la lumière et faire la même chose, enfin faire comme les tournesols effectivement avec des panneaux photovoltaïques par exemple",1,,ar,1457.0,1699.0
158,"pour que tu puisses prendre la lumière et que tu fasses la même chose, finalement tu es comme un tournesol, par exemple, avec des panneaux photovoltaïques",1,,hy,1458.0,1700.0
159,pour pouvoir prendre la lumière et tu fais la même chose au final tu le fais comme un tournesol en fait avec des panneaux photovoltaïques par exemple,1,,eu,1460.0,1702.0
160,pour pouvoir recevoir de la lumière et tu fais la même chose finalement tu fais comme un tournesol en fait avec des panneaux photovoltaïques comme,1,,be,1461.0,1703.0
161,Pouvoir capter la lumière et on finit par faire la même chose qu'avec un tournesol avec un panneau photovoltaïque,1,,bn,1462.0,1704.0
162,que tu peux prendre la lumière et faire la même chose que tu fais finalement comme un tournesol dans les choses avec des panneaux photovoltaïques par exemple,1,,bs,1463.0,1705.0
163,pouvoir prendre la lumière et faire la même chose que l'on finit par faire comme le tournesol en fait avec des panneaux photovoltaïques par exemple,1,,bg,1464.0,1706.0
164,oui non mais cela nécessite oui non mais ce n'est pas ce n'est pas dans la communauté ce n'est pas dans le quartier c'est assez loin mais,1,,af,1555.0,1802.0
165,oui non mais cela nécessite oui non mais ce n'est pas ce n'est pas dans la communauté ce n'est pas dans le quartier c'est trop loin mais,1,,sq,1556.0,1803.0
166,"Oui, non, mais oui, non, demande-t-il, mais il n'est pas dans la communauté, il n'est pas dans le quartier",1,,am,1557.0,1804.0
167,Oui Non mais cela nécessite Oui Non mais ce n'est pas au sein de la communauté et ce n'est pas dans le quartier c'est trop loin mais,1,,ar,1558.0,1805.0
168,oui non mais cela nécessite oui non mais ce n'est pas dans la communauté pas à proximité assez loin mais,1,,hy,1559.0,1806.0
169,oui non mais ça nécessite oui non mais ce n'est pas dans la communauté ce n'est pas dans le quartier c'est assez loin mais,1,,eu,1561.0,1808.0
170,"oui, non, mais ça demande oui, non, mais ce n'est pas, ce n'est pas dans la communauté, ce n'est pas dans le quartier, c'est assez loin, mais",1,,be,1562.0,1809.0
171,Oui Non mais cela nécessite Oui Non mais ce n'est pas dans la communauté ce n'est pas dans le quartier c'est assez loin mais,1,,bn,1563.0,1810.0
172,oui non mais ça nécessite oui non mais ce n'est pas dans la communauté pas dans le quartier c'est assez loin mais,1,,bs,1564.0,1811.0
173,"oui, non, mais ça demande oui, non, mais ce n'est pas, c'est pas dans la communauté, c'est pas dans le quartier, c'est assez loin, mais",1,,bg,1565.0,1812.0
174,"un peu un amalgame de patrimoine dont on n'utilise pas, voyez-vous, c'est plus qu'un rationnement.",2,,af,1633.0,1908.0
175,"Une petite accumulation d’héritage que vous n’utilisez pas, voyez-vous, est plus qu’un rationnement.",2,,sq,1634.0,1909.0
176,"Un petit stock qu’on n’utilise pas, voyez-vous, c’est plus qu’une ration.",2,,am,1635.0,1910.0
177,"La petite collection patrimoniale qu'on n'utilise pas, voyez-vous, c'est plus qu'un simple rationnement.",2,,ar,1636.0,1911.0
