,PAROLES,Dimension Dialogique
61,nan ce n’est pas par rapport au manquement mais c’est juste par rapport à à un studio je pense que ça consomme beaucoup moins qu’un appartement pour quatre personnes du coup tu vas lui mettre quand même le même nombre de panneaux solaires ,2
62,genre typiquement quand tu rentres chez toi il est 22h et puis t’as envie de te faire un café t’as pas de café ça t’emmerde,1
63,et au bout de 8 ans c’est ca- ça se casse et ça se recycle pas je veux dire c’est un peu un truc ,2
64,en fait ça fait des quartiers vraiment habités à certaines heures et le reste totalement mort et ils comparaissaient à Paris où en fait à Paris bah t’as les cafés sont placés de manière vachement enfin heu,2
65,en plus ça demande de la place hein,1
66,comment on fait bah peut-être qu’il y aura de l’eau,1
67,et si la personne qu’est contre est plus intelligente que toutes les toutes les personnes qu’ont proposé un truc il pourra avoir toutes les excuses,1
68,après dans un rapport de diffusion du coup c’est plus facile de s’ordonner dans un immeuble parce que t’es beaucoup plus resserré quoi,2
69,et ouais éoliennes j’avais mis mais des jolies éoliennes parce que j’ai vu qu’ils sont en train de développer des éoliennes en forme d’arbres et en fait le vent il fait enfin ils font des fausses feuilles et le vent bouge les feuilles et du coup c’est ça crée de l’énergie,1
70,parce que ça du coup on peut mettre des plantations au pied des éoliennes et tout ça,2
71,c’est des trucs que tu peux capter aujourd’hui avec les capteurs tu peux savoir combien de fois tu utilises la laverie par an et donc tu ajustes la cotisation d’après en fonction de ce que tu utilises comme équipement,1
72,ouais mais avec les maisons individuelles tu as aussi plus de déperdition,2
73,enfin on va peut-être pas le ou tu vois rien que la production du panneau solaire elle est déjà super polluante donc ,2
74,mais du coup tu vas économiser,1
75,je pense autant que lister les avantages les inconvénients,1
76,c’est ça que je demande ((utilise son ordinateur)) je pense que oui parce que j’ai déjà vu y’a des voitures qui utilisent ça,1
77,bah avec le système de confiance il n’y en a même pas besoin,2
78,tu peux avoir un pour l’achat d’une voiture tu peux proposer je sais pas prendre le bus prendre autre chose tu vois  si vraiment c’est pas possible et je sais pas moi je pense que ça pourrait marcher ,1
79,mais après c’est sûr que faut faut s’entendre après faut ça doit être compliqué,2
80,de pas consommer de pas surconsommer,2
81,je veux dire c’est plus que discuter c’est plus que essayer de convaincre l’autre etc c’est que au bout d’un moment bah si tu veux décider sans prendre de sans faire de vote et tout,2
82,oui mais normalement c’est censé s’équilibrer,1
83,oui après voilà on peut utiliser l’énergie hydraulique pour heu,1
84,oui et non parce que du coup il ne faut pas qu’ils fassent trois kilomètres pour déposer leurs enfants heu que ça soit galère au niveau de la crèche pour les récupérer enfin,1
85,parce qu’en fait tu payes genre 4 euros l’heure enfin ouais c’est par heure et tu te sers autant que tu veux de ce qu’il y a et du coup tu restes pour travailler quand tu as besoin de travailler tu vois un espace heu,1
86,après ça dépend combien de temps le panneau dure aussi  si s’il tient 300 ans,1
87,ça marche pas tellement non plus,1
88,pour que ça soit équitable ,2
89,ouais tout le monde te montre du doigt si tu prends trop d’eau tu vois,2
90,on parle plutôt de la décision et de l’acceptabilité par tout le monde,2
91,et que tu l’as choi- voté enfin pas voté dans ce cas là mais,2
92,en fait pour moi c’était un peu différent parce que ça c’est plutôt au niveau atteinte à l’environnement quoi c’est ce que tu prends et ce que tu rejettes,2
93,ouais recycler et minimiser la production de déchets parce que par exemple pour la minimiser pour qu’on n’ait même pas besoin de recycler des fois au lieu d’avoir un emballage heu y’a des emballages qui servent à rien on va pas les on va pas utiliser l’emballage puis le recycler parce que le recyclage ça va avoir un coût on va heu d’entrée ne pas avoir d’emballage,1
94,pas avec tout le monde,2
95,heu attends j’ai acheté cette machine à laver 800 balles l’année dernière ça me casse les couilles que tu viennes laver ton linge tous les jours ,2
96,ce n’est pas un pouvoir des choses ce n’est pas créer pas une hiérarchie de pouvoirs tu comprends ,2
97,c’est heu c’est difficile parce que les gens ont un travail tellement différent je veux dire on des emplois tellement différents,1
98,le principe c’est pas de faire ça mais c’est juste de dire que bon on peut trouver un moyen de sensibiliser la personne sa consommation d’énergie tu vois je te dis pas d’aller chercher de l’eau dans un puits c’est complètement,2
99,là c’est juste pour établir un rapport où  tu as un peu d’obligation à regarder ce que tu fais et à,2
100,ouais mais quand on parle de culture commune on parle pas forcément effectivement d’une implication concrète,2
101,oui mais ça c’est du nucléaire du coup,1
102,justement ou un chef de groupe faut toujours que y’ait quelque chose comme ça tu vois  ,2
103,heu vis-à-vis de l’environnement vis-à-vis de l’économie et donc,2
104,mais comme là on est dans le truc idéal et on ne réfléchit pas à la faisabilité mais juste à des idées,1
105,nan mais après on n’est pas des ingénieurs enfin moi je suis pas ingénieur tout ça on va pas forcément calculer à chaque fois si  le rapport énergétique parce qu’on peut pas le calculer,1
106,bah justement on n’a pas de méthode de tu vois quand y’a une opposition qu’est-ce que tu fais quoi,1
107,bah c’est surtout en fait aussi tu prends que ce que tu que ce dont tu as besoin donc ,2
108,bah c’est du coup c’est joli et en plus ça crée de l’énergie parce que les éoliennes c’est moche,1
109,après désolé  de faire le mec relou mais enfin pour moi c’est juste t’essaye d’améliorer ton propre comportement en espérant que les autres fassent la même chose ,2
110,pour un quartier oui mais après,1
111,nan mais ça empêche l’épargne après,2
112,bah en fait c’est pas di- enfin c’est absolument compatible c’est juste qu’en fait la création d’une cul- culture commune de d’économie etc ça fait qu’on est plus dans un rapport avec soi ou avec tes croyances ou quoique ce soit on est juste dans un rapport où en fait on se dit tous qu’il faut enfin que c’est normal,2
113,oui mais je parle du marché actuel là,1
114,oui tu peux avoir une cuisine collective si pour les gens qui ont envie y viennent mais c’est pas forcément un truc ,2
115,et c’est là où justement on en revient à ces à l’intérêt d’aller créer des  une culture parallèle qui est une culture de la communauté c’est justement t’arrives à exclure ton côté individuel et ton côté con pour pouvoir genre te focaliser sur le bienfait de la communauté parce que c’est quelque chose qui qui  qui te parle directement tu vois c’est là l’intérêt de la création d’une culture et dont comme ce tu vous disiez,2
116,ah bah s’ils veulent boire ils ont intérêt à se bouger le cul par exemple tu vois nan mais c’est le principe juste le principe du puits en soit tu vois,2
117,ouais ouais en gros c’est établir un système qui convient aussi bien à l’individu en lui-même et à des groupes de gens qui veulent se rencontrer c’est ,2
118,avoir accès à plus de ressources quelqu’un qu’a pas pu s’acheter une voiture parce qu’il avait pas de sous s’il est dans une communauté de dix personnes il pourra y avoir accès,1
119,mais si c’est le tableau là t’es plus dans une méthode de résolution enfin plutôt dans un outil de résolution que dans une méthode globale quoi ,1
120,le plus simple n’est de pas tout repousser plus tard ,2
121,oui je comprends t’façon t’as ton t’as ton logement personnel après le mec il s’intègre ou pas mais après il peut partager en tout cas,2
122,la perceuse t’as pas envie de la prêter mais ce que je veux dire c’est qu’en fait culturellement si tout es changé et que tu te dis bah en fait ma perceuse c’est un peu celle de toute le monde je veux dire t’es pas obligé d’aller taper l’atelier avec les gens tu vois,2
123,et ça oblige les habitants à se bouger pour faire des trucs tu vois,2
124,ah oui mais justement c’est ça l’épargne c’est de la merde quoi,2
125,c’est limite oui,2
126,oui la question c’est l’humidité de l’air dans ambiance où l’humidité est de 100% c’est pas mal mais si tu comptes c’est 32% c’est impossible de faire,1
127,tu choisis mais tout choix tout choix implique un comment dire un une réception sociale de ton choix donc ,2
128,c’est pas on n’a pas besoin de système embarqué c’est un système vu que les plantes heu elles sont dans un même environnement elles ont un même besoin tu as juste un capteur qui va détecter dans le niveau il va détecter le niveau d’humidité la température et aussi au niveau du sol les minéraux et tout et heu voilà c’est pas vraiment… déjà il y en a pour des usages domestiques il y a déjà des systèmes heu des objets connectés pour un pot de fleurs pour que tu saches si elles sont bien,1
129,et que après c’est individuellement par exemple chaque communauté qui va décider qu’est-ce que je mets en commun,2
130,oui mais le principe de la confiance n’est pas obligatoire c’est-à-dire que tu peux avoir fréquenté une personne pour plusieurs transactions différentes enfin vingt fois elle t’invite pour prendre le café vous discutez 5 minutes ce n’est pas pour autant que demain tu es prêt à l’inviter et à lui laisser ta baraque,2
131,bah nan mais si c’est clair que c’est une perte ça sert à rien quoi enfin,2
132,nan mais ça dépend en fait nan nan mais ça dépend ça peut-être aussi individuel et collectif,2
133,et moi ouais justement elles ne sont pas incompatibles justement elles vont pas être incompatibles ,1
134,alors si chaque personne il a une machine comme ça,1
135,donc ça va nous éviter d’imprimer à la manière du bitcoin,1
136,mais on s’en fout de ça si ça fait de l’énergie et tout,2
137,donc du coup du quartier pour voir quelles sont les pistes de réflexion et faire évoluer les choses,2
138,pour savoir à quel moment il faut que t’arroses ta plante et de combien,1
139,oui je pense j’ai déjà vu de petites machines qui ont produit pour une famille de 5 personnes ,1
140,"c’est à dire que faut que tu justifies ton rapport avec ton opposition tu vois, pourquoi t’es en opposition faut que tu le justifies que tu l’expliques et après t’aides à justement ",2
141,on va utiliser c’est un peu le même principe que les éoliennes les hélices elles vont être dans l’eau ,1
142,ouais c’est quand même tu as le choix,2
143,nan mais et le troisième quartier qui était un quartier genre d’habitations et en fait ça faisait des villes pas du tout homogènes où les gens vont de leur travail à leur,2
144,parce qu’effectivement c’est con d’avoir une machine à laver par appartement quand tu peux avoir une laverie avec 5 machines à laver pour tout l’immeuble tu vois,2
145,oui voilà mais après si toi tu as un truc je sais pas heu du sel du verre de je sais pas quoi on ne va pas acheter tout ça en groupé ,1
146,oui mais avec beaucoup de personnes c’est peut-être heu,2
147,c’est faisable ,1
148,nan mais il impose sur quand même le fait que t’es jugé par les autres quoi si tu déconnes avec le truc ,2
149,mais je pense que ça va changer justement,1
150,un ami tu ne vas pas le faire payer mais une personne que tu ne connais pas oui et à ce moment-là c’est là où la notion de quartier elle vient au-dessus c’est-à-dire que c’est la notion de quartier donc tu prêtes les choses tu ne les loues pas alors après ça ne marchera pas pour tout le monde parce que forcément il y a des gens qui ont besoin d’incitation monétaire et qui vont dire bah attend heu,2
151,nan mais c’est des propositions tu choisis,2
152,ouais pour éviter les conflits,2
153,tout ce qui est orientation plein sud tu payeras un peu plus cher parce que t’auras l’orientation sud,1
154,alors heu ce qui se passe en fait c’est que enfin si tu veux vraiment tendre vers un quartier à mon avis en termes de monnaie d’incitation monétaire qui va vraiment vers une collaboration il faut que ça soit le quartier qui investisse dans les dans les sous dans les équipements que ce soit les perceuses donc tu crées des ateliers de fabrication des choses comme ça et que notamment dans les équipements que tu utilises de temps en temps ou à lourd budget et pas les gens parce que t’as forcément parce que voilà si c’est le quartier qui les a après tu as juste une cogestion ou je ne sais pas un calendrier collaboratif heu sur un ipad quoi,1
155,bah ouais et même voilà ton lieu privatif tu peux le mettre à disposition de la communauté tu peux faire des propositions et tout si par exemple t’es très riche et que t’as une grande maison et que,2
156,ouais je suis pas sûre que ça marche normalement je me dis celui qu’est en opposition il va pas enfin il va pas trouver une solution qui convient à tout le monde ou ,1
157,t’auras toujours si tu as une culture commune t’auras toujours des gens contre cette culture commune,2
158,si on est un peu en bordure de campagne on peut faire des éoliennes,1
159,donc ça va nous éviter d’imprimer à la manière du bitcoin,1
160,ce qui évite d’avoir à payer en plus du chauffage pour continuer à chauffer l’air,1
161,mais justement tu choisis c’est des propositions et justement tu choisis si t’y vas t’y vas pas,2
162,nan mais si ça bouge un tout petit peu c’est rien du tout,2
163,nan mais justement si tu leur donne un héritage culturel qui le leur fait mieux vivre  avoir de l’argent ils s’en foutent quoi tu vois,2
164,tu peux changer tes comportements que si tu comprends bien et que tu l’acceptes,2
165,on pourrait avoir confiance directement envers les personnes qu’on fréquente au fur et à mesure dans le temps et du coup avoir oui voilà avoir une sphère de confiance et du coup ne pas s’enfermer non plus dans un système monétaire voilà par rapport au fait de se faire confiance et de,2
166,ouais parce que moi je veux pas je prends l’eau je prends l’eau,2
167,j’y ai pensais aussi mais ça fait énormément de bruit et dans un quartier ça tue,1
168,qu’on devrait tous pouvoir,2
169,un ami tu ne vas pas le faire payer mais une personne que tu ne connais pas oui et à ce moment-là c’est là où la notion de quartier elle vient au-dessus c’est-à-dire que c’est la notion de quartier donc tu prêtes les choses tu ne les loues pas alors après ça ne marchera pas pour tout le monde parce que forcément il y a des gens qui ont besoin d’incitation monétaire et qui vont dire bah attend heu,2
170,tu peux partager ! tu peux avoir tu peux partager ta douche tu partages ta douche chez toi,2
171,les deux la journée quand c’est pas quand c’est quand c’est je dis une connerie 3000 avions qui passent par jour  c’est un bruit énorme horrible et quand ce n’est pas les avions t’as les éoliennes qui font du bruit aussi donc du coup les deux associés elle a la tête comme ça,1
172,ouais les deux ne sont pas incompatibles,1
173,donc heu heu ça inciterait donc j’avais marqué l’usage excessif permettrait de mettre en difficulté tous les autres donc c’est une consommation modérée et responsable je ne sais pas voilà,2
174,nan parce que tu payes moins cher si tu consommes moins,2
