N;L;PAROLES;Dimension Dialogique;Dimension Epistémique
96;L2;bien sûr mais après il y a aura l’éolienne qui sera là pour;Arg+;FAI
;;;(P14);(faisabilité)
97;L4;ouais mais ce qu’elle veut dire c’est que une personne ne consomme pas autant que quatre par exemple;Préc;0
98;L2;bien sûr mais justement pour pas qu’il y ait ces différences-là il y aurait l’éolienne qui serait là pour combler le manque du panneau solaire en fait;Arg+;FAI
;;;(P14);(faisabilité)
99;L3;ah par exemple pour les personnes heu pour ceux qui sont quatre c’est ça ?;Q;0
100;L2;c’est ça oui;Préc;0
101;L3;ok d’accord;[+];0
;;;-100;
102;L4;ouais là c’est logique;[+];0
;;;-100;
103;L3;mais du coup ça veut dire que tu perds toute aide de l’élec- enfin de l’électricité si le studio il a quatre panneaux solaires mais qu’il lui en faut que deux  parce que là enfin je ne pense pas qu’on puisse stocker l’électricité ?;Q;0
104;L2;mais par exemple on va dire si on va dire qu’on a un studio et on va dire si tu veux créer n’importe quoi tu as besoin d’un surplus d’énergie  par exemple la famille de quatre personnes part en vacances par exemple elle peut récupérer ce surplus d’énergie pour sa consommation personnelle  ;P17;0
105;L3;ok d’accord;[+];0
;;;-104;
106;L4;donc en fait lui il dit que tous avoir tous les mêmes panneaux solaires s’il y a un surplus ça serait peut-être concentré dans quelque part d’autre vers l’éolienne disons et si quelqu’un a un surplus de consommation il utilise l’éolienne;P18;0
107;L3;ok d’accord ok;[+];0
;;;-106;
108;L2;je sais pas si c’est clair;0;0
109;L3;non c’est bon ok heu pour moi ça serait un peu genre  enfin la combinaison de panneaux et d’éoliennes s’il y a une consommation;Préc;0
110;L2;ouais c’est ça en termes d’électricité ouais ;[+];0
;;;-109;
120;L4;et tu avais mis les centrales thermiques ?;Q;0
121;L3;ouais les centrales thermiques je ne sais pas si;Préc;0
122;L2;je ne vois pas ce que tu veux dire par centrales thermiques ?;Q;0
123;L3;bah par exemple tu prends des copeaux de bois tu les fais brûler et du coup ça va dégager de la chaleur et cette chaleur tu vas pouvoir chauffer les apparts et si tu as un surplus de chaleur par rapport à ce que tu veux chauffer en fait tu peux produire de l’électricité avec;Préc;FAI
;;;(P12);(efficacité)
124;L2;tu peux rajouter ça si tu veux;[+];0
;;;-123;
125;L3;ok;[+];0
;;;-123;
126;L4;en ce qui concerne l’électricité il y a encore une idée innovante que j’ai que j’ai lue dans des articles  ça serait intéressant de l’ajouter en fait quand il y a des centres de calcul heu avec des serveurs qui sont en train de calculer des données en fait ces serveurs ils travaillent 24 heures sur 24 donc ces serveurs ils produisent de la chaleur donc je ne sais pas le système exact mais ils sont reliés à un système qui qui stocke l’énergie parce que pour faire des calculs il faut des serveurs donc ces serveurs il y a un transfert d’informations tout le temps sur ces serveurs donc heu ça crée une énergie cette énergie est transformée en énergie électrique qui est utilisée pour l’électricité ou le chauffage des des maisons donc si tu veux rajouter juste centres de calcul;P18;0
127;L2;ouais bah c’est bien ;[+];0
;;;-126;
128;L3;ouais;[+];0
;;;-126;
129;L2;des centres de calcul pour calculer les coûts pour toutes les consommations d’eau ou d’électricité ça pourra servir justement;P19;0
130;L4;bah en fait non ce n’est pas ça c’est les serveurs qui sont externes disons je ne sais pas par exemple Google qui a plein de serveurs je ne sais pas si vous en avez déjà vu des des datas centers on appelle ça des centres de données bah il y a plein de serveurs il y a plein d’équipements qui produisent plein de chaleur vu les informations qui passent dessus donc heu voilà je pense que cette énergie à à long terme elle peut être utilisée parce qu’on va vers quelque chose de technologique tout le temps donc je pense qu’ils vont devenir;Préc;FAI
;;;(P19);(faisabilité)
131;L2;je suis d’accord avec toi l’idée est intéressante mais le flux d’énergie qu’il y a par exemple sur les serveurs Google il peut servir aussi pour la communauté  parce que comme dans l’exemple précédent les tablettes si tu as besoin de savoir ta consommation  ces serveurs-là justement peuvent aider aussi;Préc;FAI
;;;(P19);(faisabilité)
132;L4;ah oui oui j’ai compris d’accord d’accord;[+];0
;;;-131;
133;L2;on peut prendre cette énergie-là pour la consommation en temps réel de tout à chacun de la communauté en fait ;Préc;0
134;L4;d’accord;[+];0
;;;-133;
135;L2;donc c’est une bonne idée;0;0
136;L3;je mets quoi;0;0
137;L4;donc pour le bah comme il avait dit heu quelque chose d’annuelle tu avais dit ?;Q;0
0138a;L2;ouais c’était plus une étude de coût pour savoir un petit peu  ;Préc;0
;;;(P15);
0138b;L2;et après en fonction de ce ratio–là tu dispatches à tout à chacun  un programme annuel pour éviter les surconsommations et le gaspillage;Préc;VA
;;;(P16);(écologique)
139;L3;ok;[+];0
;;;(0138b);
140;L4;on va faire ça peut-être par personne parce que comme on en revient toujours à l’idée qu’un studio ou deux personnes;Préc;0
141;L2;c’est individuel oui;[+];0
;;;-140;
142;L4;c’est individuel donc du coup il faut juste le préciser;Préc;0
143;L2;oui parce que comme tu dis un studio ou un truc de deux personnes c’est pas pareil;Préc;0
144;L4;exactement;[+];0
;;;-143;
145;L2;mais c’est pour éviter le gaspillage;Préc;0
146;L4;donc disons par foyer par exemple ça sera relatif au nombre de personnes vivant dans le foyer;Préc;0
147;L2;c’est ça ça sera des objectifs personnels;[+];0
;;;-146;
148;L4;donc pour avoir une consommation modérée et responsable;Préc;0
0160A;L4;donc les ressources partageables énergétiques ?;Q;0
0160B;L4;bah je pense qu’on est d’accord ça va être sur l’eau et l’électricité il y quelqu’un qui a une autre idée;P20;0
168;L3;heu moi j’ai marqué chauffage aussi;O21;0
169;L2;tu peux mettre chauffage aussi;[+];0
;;;-168;
170;L4;heu ouais chauffage;[+];0
;;;-168;
171;L3;ok donc heu ;0;0
172;L4;c’est bon;0;0
173;L3;et toi c’est immatériel;0;0
174;L4;oui  alors matériel j’avais plein d’exemples donc heu je vais en citer quelques-uns par exemple outils de jardinage de bricolage ;P22;0
175;L3;ouais  on est tous d’accord;[+];0
;;;-174;
176;L2;ouais vas-y vas-y;[+];0
;;;-174;
177;L4;donc outils de jardinage bricolage;0;0
178;L2;j’ai mis outils électroportatifs;Préc;0
179;L3;quoi;0;0
180;L2;on peut mettre outils électroportatifs  c’est jardinage etc;Préc;0
0181a;L4;d’accord j’ai marqué jardin ;P23;0
0181b;L4;ou potager;P24;0
182;L3;ouais  heu tu es d’accord;0;0
183;L2;oui oui;0;0
0184a;L4;je vais citer si quelqu’un n’est pas d’accord il le dit direct  donc jardin ;0;0
0184b;L4;potager ;0;0
0184c;L4;piscine ;P25;0
0184d;L4;voiture vélo;P26;0
185;L2;((L4 regarde L2)) ouais je dis rien;0;0
186;L3;heu ouais  heu vélo heu véhicules je vais mettre ;Préc;0
187;L4;ouais véhicules;[+];0
;;;-186;
188;L3;heu genre loisirs je peux mettre;P27;0
189;L4;ouais;[+];0
;;;-189;
190;L3;piscine heu place de jeux machin;0;0
0191a;L4;exactement donc il y a piscine ;0;0
0191b;L4;jeux de société salle de jeux ou consoles de jeux par exemple pour les enfants un espace jeux pour les enfants qui sera partageable ;Préc;0
0191c;L4;j’ai marqué garage ;P28;0
0191d;L4;dépôt ;P29;0
0191e;L4;parking;P30;0
0192a;L3;heu ouais garage  ;[+];0
;;;(0191e);
0192b;L3;heu  moi j’avais mis tout ce qui est genre lave-linge sèche-linge enfin buanderie;P31;0
193;L2;oui buanderie;[+];0
;;;(0192b);
194;L4;ah parfait  tu as quelque chose encore;0;0
195;L2;heu nan;0;0
196;L4;nan;0;0
197;L2;après moi j’ai mis tout ce qui était loisirs heu culturels DVD heu comme le fonctionnement une médiathèque ou une bibliothèque;P32;0
198;L3;culture genre livres;Préc;0
0199a;L4;livres ;Préc;0
0199b;L4;consoles de jeux;Préc;0
200;L3;heu moi j’avais mis imprimantes et scanners heu pas forcément l’ordinateur que chacun ait son ordinateur et après pour tout ce qui est imprimante machin;P33;0
201;L2;ou espace bureautique ouais;Préc;0
202;L4;un bureau  ouais un espace bureautique  et immatériel heu il y a encore quelque chose en matériel;0;0
203;L3;heu non;0;0
204;L4;moi c’est bon pour moi ;0;0
205;L2;moi aussi;0;0
206;L4;immatériel  donc ça pour moi c’est Internet téléphone;P34;0
207;L3;heu ouais j’ai mis pareil connexion Internet;[+];0
;;;-206;
208;L2;moi j’ai mis partage des savoirs  des connaissances des compétences;P35;0
209;L4;donc savoir-faire et connaissances aussi;[+];0
;;;-208;
210;L3;moi dans services et tout j’avais mis tout ce qui est garderie animation  enfin je ne sais pas si vous êtes d’accord;P36;0
211;L2;oui oui;[+];0
;;;-210;
215;L3;ressources non partageables;Q;0
216;L4;ressources non partageables  donc pour moi tout ce qui est pas partageable ce sont les biens personnels tels que les habits sac à dos téléphone portable lunettes de vue casque etc voilà donc tout ce qui est biens personnels;P37;0
217;L3;ouais je suis d’accord;[+];0
;;;-216;
218;L2;ouais c’est ça;[+];0
;;;-216;
223;L4;d’accord plus tard allez 5 heu quels lieux seraient collaboratifs ?;Q;0
0224a;L2;salle à manger ;P38;0
0224b;L2;garage ;P28;0
0224c;L2;cuisine;P39;0
225;L3;((écrit)) heu des jardins;P23;0
0226a;L4;cuisine ;0;0
0226b;L4;j’ai marqué terrasses  ;P40;0
0226c;L4;il peut y avoir un petit bar ;P41;0
0226d;L4;heu terrasse piscine je reviens toujours à la piscine ((rires));P25;0
227;L3;heu ouais les aires de loisirs tout ce qui est loisir;P27;0
0228a;L4;voilà  parking garage ;P30;0
0228b;L4;dépôts et entrepôts pour les outils de jardin avoir un coin bricolage;P29;0
229;L2;ou de stockage quoi;Préc;0
230;L4;tu as encore quelque chose;0;0
231;L3;heu moi j’avais mis un truc genre salle des fêtes;P42;0
232;L2;ouais;[+];0
;;;-232;
233;L4;ouais ouais  potager;P24;0
234;L3;heu ouais  ah j’avais mis poulailler aussi pour avoir des œufs;P43;0
243;L4;c’est pas grave 6 les habitations vas-y;0;0
244;L3;heu alors pour moi ça serait des habitations type appartements  heu dans des immeubles mais genre de deux étages avec le rez-de-chaussée et heu plutôt de forme rectangulaire ou carré enfin pas des trucs trop gros quoi;P44;0
0245a;L4;bah pour moi ça serait des petites maisons indépendantes donc chacun aurait son espace indépendant comme dans la vidéo ;P45;0
0245b;L4;et on aurait un grand espace commun pour la communauté  tout serait relié par sous-sol le sous-sol pourrait être un parking par exemple ça c’est ce qui est en bas et ce qui serait au niveau de la route ça serait par exemple un grand jardin donc en fait on aurait un jardin les petites maisons qui seraient heu ici et à l’arrière par exemple un grand espace commun avec potager espaces communs et en–dessous on aurait des sous-sols;P46;0
246;L2;ouais c’est ça j’ai mis maisons mitoyennes tout simplement;[+];0
;;;(0245a);
247;L3;maisons mitoyennes ok moi je suis un peu trop contre les maisons mais  mais c’est juste enfin c’est ma déformation de;[-];0
;;;(0245a);
248;L4;on peut mettre deux cas on peut mettre maisons individuelles et;Préc;0
249;L3;ouais sinon je sais que enfin j’ai travaillé un peu sur les écoquartiers et je sais que ça se fait genre des quartiers où il y a à la fois quelques maisons individuelles comme vous disiez et à la fois quelques petits immeubles heu;Préc;0
250;L2;ouais bah tu peux mettre ça si tu veux;[+];0
;;;-249;
251;L4;ouais on va faire ça moi ;0;0
252;L3;un mix des deux;Préc;0
253;L4;ouais un mix des deux;[+];0
;;;-252;
254;L3;comme ça;0;0
255;L4;j’ai plus pensé aux maisons personnelles heu aux petites maisons parce que tu as plus d’espace pour que tout ce qui est énergie pour mettre des panneaux solaires si tu as un seul bloc tu ne vas pas pouvoir mettre 60 panneaux solaires;Arg+;FAI
;;;(P46);(taille)
256;L3;ouais mais avec les maisons individuelles tu as aussi plus de déperdition;Arg-;VA
;;;(P46);(écologique)
257;L4;ouais mais c’est un compromis ;Arg+;FAI (taille)
;;;(P46);VA (écologique)
258;L2;ouais tu mets ça;0;0
259;L3;ouais enfin  comme ça;0;0
0260a;L4;compromis entre maisons individuelles heu petites maisons individuelles privées  ;P47;0
0260b;L4;enfin je sais pas si on peut mettre petits immeubles parce que par définition un immeuble c’est grand ((rires));Préc;FAI
;;;(P47);(taille)
261;L3;enfin;0;0
262;L4;petites résidences;Préc;FAI
;;;(P47);(taille)
263;L3;pour moi petit c’est genre pas très haut enfin deux étages ;Préc;FAI
;;;(P47);(taille)
264;L2;deux trois étages moi j’avais mis;Préc;FAI
;;;(P47);(taille)
265;L3;ouais moi deux étages plus rez-de-chaussée;Préc;FAI
;;;(P47);(taille)
266;L2;t’embêtes pas de toute façon elle comprendra;0;0
0273a;L3;ouais  heu ah oui moi j’avais un truc parce que j’avais j’avais lu il valait mieux dans les maisons quand tu construits les maisons avoir heu au sud enfin sur l’orientation sud tout ce qui est lieux enfin les pièces habitables genre le salon les chambres et tout ;P48;0
0273b;L3;et plus dans la face nord où il y a moins de soleil avoir tout ce qui est salle de bain machin machin  je ne sais pas si;P49;0
274;L2;ouais si ouais je connais  ouais c’est pour le moral etc;[+];0
;;;(0273b);
275;L3;comme ça tu as plus de chaleur dans la chambre  après je ne sais pas si je le mets ;Préc;FAI
;;;(P48);(confort)
276;L2;si tu veux  orientation plein sud pour les lieux de vie et orientation nord pour les lieux de passage c’est pour ça que les lieux en plein sud en fait ils coûtent plus chers;Arg+;FAI
;;;(P48);(économique)
277;L3;ouais;0;0
278;L2;tout ce qui est orientation plein sud tu payeras un peu plus cher parce que t’auras l’orientation sud;Arg+;FAI
;;;(P48);(économique)
279;L3;enfin ce n’est forcément enfin mettre toutes les habitations toutes plein sud mais à l’intérieur ;Préc;0
280;L2;oui mais je parle du marché actuel là;Arg+;FAI
;;;(P48);(économique)
0281b;L3;heu après systèmes d’échange ?;Q;0
282;L2;j’ai mis le troc hein;P50;0
283;L3;heu le troc et aussi l’emprunt;P51;0
289;L4;moi j’ai mis en place;0;0
290;L3;comme ça je sais il me manque je dis n’importe quoi je sais pas une casserole je vais t’emprunter ;Préc;0
;;;-283;
291;L2;oui c’est ça moi je te prête ma casserole et du coup toi tu me prête un DVD et vice versa;Préc;0
292;L3;ouais;[+];0
;;;-291;
293;L2;c’est plus ((réfléchit));0;0
294;L3;je ne sais pas si ça rentre dans ça mais genre achat de biens communs comme les genre les outils de bricolage et tout;P52;0
295;L2;ouais tout ce qui est biens d’équipement tu peux mettre tout ce qui est bien d’équipements bah achats groupés;[+];0
;;;-294;
296;L4;pour cette question moi j’ai mis en place un système totalement différent donc marquez ce que vous voulez sur ce que vous avez mis et je vais réécrire ce que j’ai fait;0;0
297;L2;non vas-y vas-y;0;0
0298a;L4;ah c’est bon donc alors j’ai mis en place un système que j’ai appelé le système de coins coins c’est en anglais donc je vais vous lire ce que j’ai mis pour pouvoir utiliser les ressources communes une voiture un vélo un système de coins pourra être mis en place;P53;0
0298b;L4;sachant que chacun peut utiliser un nombre maximal de coins par jour  donc par exemple j’ai besoin d’aller faire des courses en voiture aujourd’hui ou faire du vélo au sport pendant une heure ou de bricoler dans l’atelier sachant par exemple que j’ai 50 coins par jour à utiliser personnellement et que la voiture me coûtera 25 coins le vélo 15 la réservation des outils de bricolage 15 il ne me sera pas possible de tout faire ce jour-là ;Arg+;FAI
;;;(P53);(faisabilité)
0298c;L4;donc en fait ça sera donc un système de partage des ressources d’une façon équitable pour que tout le monde puisse faire plusieurs choses dans la journée sans prendre heu un bien que pour lui pendant tout le temps;Arg+;VA
;;;(P53);(équité)
299;L2;pour éviter qu’il y ait des monopoles;Arg+;VA
;;;(P53);(équité)
300;L4;voilà ouais c’est ça;[+];0
;;;-299;
301;L3;je mets ça donc pour les pour les équipements en commun;Préc;0
302;L2;tous les équipements collectifs;Préc;0
303;L4;si vous trouvez que c’est une bonne idée je pourrais leur lire ce petit paragraphe lors de la présentation et s’il y a des ajustements à faire allez-y il faut me dire;0;0
304;L3;donc on a un total par jour journalier de coins;Préc;0
0305a;L4;oui juste pour les ressources communes tout ce qui est utilisable par tout le monde;Préc;0
0305b;L4;pour que ça soit équitable ;Arg+;VA
;;;(P53);(équité)
309;L3;euh consensus ?;Q;0
310;L2;c’était bien l’exemple comme au Québec;0;0
311;L4;exactement;0;0
312;L3;ouais;0;0
313;L4;c’est ce que j’ai mis aussi;0;0
0314a;L3;par contre enfin je ne sais pas pour vous mais voter enfin pas le vote mais genre dire si on est d’accord ou si on a une opposition l’écrire mais anonymement en fait comme ça;P54;0
0314b;L3;ça évite que genre tout le monde se ligue contre une personne ou;Arg+;VA
;;;(P54);(relations sociales)
315;L2;ouais pour éviter les conflits;Arg+;VA
;;;(P54);(relations sociales)
316;L3;ouais;[+];315
;;;-315;
317;L2;un système de prise de décisions anonyme en fait;Préc;0
318;L3;ouais faire un débat collectif avec une prise de décision par écrit anonymement ce qui évite les conflits;P55;0
319;L4;je suis d’accord;[+];0
;;;-318;
320;L2;tu peux mettre débat public et après tout ce qui est prise de décisions heu;[+];0
;;;-318;
321;L4;donc en fait ce qui est écrit c’est ce qui va lancer le débat  donc si quelqu’un a une opposition il l’écrit et;Préc;0
322;L3;ouais;[+];0
;;;-321;
323;L2;c’est ça;[+];0
;;;-321;
324;L3;ah oui et j’avais mis aussi  que s’il y avait une opposition du coup soit c’était heu enfin soit c’était redébattu plus tard  le temps de trouver d’autres solutions soit c’était heu soit on décide qu’on abandonne l’idée carrément;P56;0
325;L2;le plus simple n’est de pas tout repousser plus tard ;Arg-;VA
;;parce que si on repousse tout plus tard ça n’avance pas;(P56);(engagement)
326;L3;ouais j’avoue ouais;[+];0
;;;-325;
327;L2;le plus simple ce serait de clôturer la chose que tout le monde soit d’accord et;P57;0
328;L3;ouais ok;[+];0
;;;-327;
338;L2;une clôture à une date fixe;Préc;0
339;L3;((écrit)) à une date fixe heu  le débat pour ne pas;[+];0
;;;-338;
340;L4;passez-moi cette première feuille je vais marquer les exemples;0;0
341;L2;et après heu concession d’une partie d’une partie ou de l’autre  ou de chacune des parties;P58;0
342;L3;ouais des deux parties comme ça;Préc;0
343;L2;des deux parties pour satisfaire tout à chacun;Préc;0
344;L3;après il y a le numérique alors je n’ai rien écrit ?;Q;0
345;L4;lequel le 9;0;0
0346a;L3;ouais  pour moi enfin je n’ai rien écrit mais alors j’avais dans l’idée que pour moi le numérique ça serait genre heu pour tout ce qui est consommation donc pouvoir voir sa consommation en direct ;P59;0
0346b;L3;pouvoir également genre heu bah les équipements publics pouvoir voir genre s’il reste des voitures de libres ou pas;P60;0
347;L2;un système de réservation;P61;0
348;L3;ouais un système de réservation machin;[+];0
;;;-347;
349;L4;c’est ce que j’ai marqué j’ai marqué un autre exemple j’ai marqué réservation de ressources via un site Internet ou une application Smartphone ou tablette en temps réel ;Préc;0
350;L3;ouais;[+];0
;;;-349;
351;L4;par exemple comme vous l’avez dit il y a l’application on peut voir en temps réel et en fait j’avais mis un exemple dans la question d’avant heu par exemple si on a un espace commun par exemple un studio de musique heu dans lequel quelqu’un peut s’entraîner donc heu un studio de musique qu’on a au quartier une plateforme ou site Web pourrait être mise en place pour faire une réservation dans les temps par exemple j’ai besoin de ce studio demain de 14h à 15h je réserve sur le site que ça c’est réservé j’en ai besoin  donc c’est un espace mais c’est toujours la même idée la réservation;Préc;FAI
;;;(P61);(utilité)
352;L3;ouais après tu peux peut-être mettre dans l’autre feuille là justement les exemples avec par exemple les vélos tout le système de salle de musique;[+];0
;;;-351;
353;L4;d’accord oui oui oui;0;0
354;L3;et aussi peut-être genre pouvoir faire des plannings pour les lieux qui sont en commun  pour le ménage et tout par exemple faire des plannings;P62;0
364;L3;heu est-ce qu’on ne peut pas faire aussi enfin je ne sais pas c’est une idée mais genre un réseau social heu juste uniquement pour le quartier où on met genre les événements qui vont se passer  ;P63;0
365;L4;ouais ouais ouais parfait;[+];0
;;;-364;
366;L2;ouais;[+];0
;;;-364;
367;L4;on peut faire un groupe Facebook ou;Préc;0
368;L3;j’ai pas trop d’autres d’idées  donc je mets le système de planning pour les tâches communes ?;Q;0
369;L2;oui tu peux mettre;[+];0
;;;-368;
370;L3;heu après il y avait alors je sais pas enfin heu je sais qu’il y avait un quartier je ne sais plus dans quel pays genre ils disaient ils avaient carrément une chaîne de télé du quartier et tout mais après c’est peut-être un peu trop;P64;0
371;L2;il faut du temps pour ça;Préc;0
372;L3;ouais voilà;[+];0
;;;-371;
377;L4;donc la 10 je n’ai pas eu le temps de la;0;0
378;L3;[moi non plus;0;0
379;L2;[non plus;0;0
380;L4;donc on va penser à ça ensemble ;0;0
381;L3;politiques climatiques ou autres ((lit les consignes));0;0
382;L4;bah là ça rejoint ton idée de chaîne de télévision;Préc;0
383;L3;du coup je ne vois pas trop les trucs climatiques je vois pas en quoi ?;Q;0
384;L2;bah climatique c’est juste pour débattre genre tiens ta consommation elle est de tant ce que tu vas faire pour faire évoluer les choses;P65;0
385;L4;on peut mettre par exemple une réunion mensuelle pour voir les consommations heu d’énergie ;P66;0
386;L2;donc du coup du quartier pour voir quelles sont les pistes de réflexion et faire évoluer les choses;Arg+;VA
;;;(P66);(engagement)
387;L4;oui donc heu on on fait ça mensuel ça sera une réunion mensuelle pour débattre de tout ce qui est consommation;Préc;0
388;L2;d’eau d’électricité ouais;[+];0
;;;-387;
389;L3;heu de la consommation;[+];0
;;;-387;
390;L2;d’eau d’électricité ou du groupe en fait pistes de réflexion pour l’évolution;Préc;0
391;L3;ouais;[+];0
;;;-390;
0392a;L4;est-ce qu’on pourrait faire heu on pourrait développer un système ;Préc;0
392;L4;heu je sais pas d’alarme je sais pas si c’est une bonne appellation alarme mais par exemple c’est quelque chose ça serait un système automatique qui fait une comparaison par exemple heu le mois dernier à ce moment-là vous aviez consommé autant attention ce mois vous avez consommé plus donc c’est un système qui qui heu;P67;0
393;L3;après je ne sais pas je pense c’est faisable genre par SMS enfin mais ;Préc;0
394;L4;ouais ouais c’est;[+];0
;;;-393;
395;L3;je sais pas  mais après pour moi je pense que ça serait plus dans les trucs numériques;Préc;0
396;L4;dans le numérique ouais  donc un système de calcul intelligent qui fait une comparaison;Préc;0
397;L2;d’autorégulation;Préc;0
398;L4;oui pour heu pour dire par exemple attention il y a un taux excessif ce mois-ci de consommation ça serait bien de de faire attention par exemple  quelque chose du genre;Préc;0
399;L2;organiser une réunion  on peut rajouter après tout ce qui est partage de la cuisine comme ils ont montré en fait partager un plat en commun;P68;0
400;L3;là;0;0
401;L2;ouais je sais pas si vous connaissez le slow food par exemple;Préc;0
402;L3;le quoi;0;0
403;L4;quoi ;0;0
404;L2;le slow food;Préc;0
405;L4;slow food;0;0
406;L2;c’est contre le fast food en fait et c’est plus pour que tout à chacun apprenne à se connaître avec des animations en fait autour;Préc;0
407;L4;ah ouais on peut mettre ça c’est une bonne idée le slow food je n’ai jamais entendu ça;[+];0
;;;-406;
408;L2;tu peux inviter à manger par exemple on va dire  heu de n’importe quelle région tu vas prendre le temps de connaître la vie du quartier;Préc;0
409;L4;est-ce qu’on pourrait faire heu  comment dire  heu imaginons que maintenant on ne pense pas justement à un seul quartier imaginons qu’il y en a plusieurs  on peut peut-être faire une réunion inter-quartiers heu;P69;0
410;L3;ouais;[+];0
;;;-409;
411;L4;je sais pas;0;0
412;L2;oui c’est ça le concept un peu du coup tu vas aller voir un peu ce qui se passe chez les voisins prendre le temps de les connaître en fait;Préc;0
413;L3;je mets heu réunion avec les autres quartiers;[+];0
;;;-412;
